,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Positioning,Infrared port,Loudspeaker,Battery (old),Messaging,Models,Phonebook,EDGE,Build,Radio,Camera,OS,Speed,Quad,Loudspeaker_1,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Display,SAR,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Announced,_2,Video,_1,USB,Chipset,Triple,Price,CPU,Resolution,Audio quality,Brand,Dual,Dual_1,Java,3.5mm jack,Single,Performance,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
,microSDXC (dedicated slot),,143 x 69.9 x 8.5 mm (5.63 x 2.75 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 40",,Up to 33 h (2G) / Up to 19 h (3G),GPS,,"Yes, with stereo speakers",,,M5_lite,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,183 g (6.46 oz),"Accelerometer, proximity, compass",32GB 3GB RAM,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)","Gold, Gray",,5 MP,"Li-Po 4000 mAh, non-removable",,,Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M5 lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-lite.jpg,"LED flash, panorama, HDR",Up to 450 h (2G) / Up to 400 h (3G),"2015, December. Released 2016, January",,1080p@30fps,,microUSB 2.0,Mediatek MT6735 (28 nm),,About 170 EUR,Quad-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-T720MP2,,,Discontinued,,Dual SIM,0.38 W/kg (head)     0.54 W/kg (body)
,microSDHC (dedicated slot),,143.3 x 72 x 8.9 mm (5.64 x 2.83 x 0.35 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,GPS,,Yes,,,P5W,,,,FM radio,,Android 5.1 (Lollipop),HSPA,,,IPS LCD,153 g (5.40 oz),"Accelerometer, proximity",16GB 1GB RAM,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)","White, Blue, Red, Yellow, Black",,2 MP,"Li-Ion 2000 mAh, removable",,,,GSM / HSPA,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P5W,https://fdn2.gsmarena.com/vv/bigpic/gionee-p5w-.jpg,LED flash,,"2015, December. Released 2016, January",,1080p@30fps,,microUSB 2.0,Mediatek MT6735 (28 nm),,About 90 EUR,Quad-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-T720MP2,,,Discontinued,,Dual SIM,
,microSDXC (uses shared SIM slot),,151.9 x 74.6 x 6.9 mm (5.98 x 2.94 x 0.27 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,S6,,Yes,,FM radio,,"Android 5.1.1 (Lollipop), Amigo 3.1","HSPA, LTE Cat4 150/50 Mbps",,,AMOLED,147 g (5.19 oz),Yes,32GB 3GB RAM,"5.5 inches, 83.4 cm2(~73.6% screen-to-body ratio)",Gold,,5 MP,"Li-Ion 3150 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee S6,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s6.jpg,"LED flash, panorama, HDR",,"2015, November. Released 2015, November",,1080p@30fps,,USB Type-C 2.0,Mediatek MT6753 (28 nm),,About 290 EUR,Octa-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, AF",,Mali-T720MP3,,,Discontinued,Yes,Nano-SIM + Micro-SIM,
,microSDXC (dedicated slot),,155 x 76.4 x 7.5 mm (6.10 x 3.01 x 0.30 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 40",,Up to 21 h (2G) / Up to 9 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 5.1.1 (Lollipop), Amigo OS 3.1","HSPA, LTE Cat4 150/50 Mbps",,,AMOLED,158 g (5.57 oz),"Accelerometer, proximity, compass",16GB 3GB RAM,"5.5 inches, 83.4 cm2(~70.4% screen-to-body ratio)","White, Gold, Dark Blue",,5 MP,"Li-Ion 3150 mAh, removable",,0.80 W/kg (head)     0.42 W/kg (body),Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Elife S Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s-plus-.jpg,"LED flash, panorama, HDR",Up to 315 h (2G) / Up to 252 h (3G),"2015, November. Released 2015, December",,1080p@30fps,,USB Type-C 2.0,Mediatek MT6753 (28 nm),,,Octa-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, AF",,Mali-T720MP3,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,143 x 70.3 x 8 mm (5.63 x 2.77 x 0.31 in),"2.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 40",,Up to 28 h (2G) / Up to 11 h (3G),GPS,,Yes,,,F103,,,,FM radio,,"Android 5 (Lollipop), Amigo 3","HSPA, LTE",,,IPS LCD,136.6 g (4.83 oz),"Accelerometer, proximity, compass",16GB 2GB RAM,"5.0 inches, 68.9 cm2(~68.6% screen-to-body ratio)","Pearl White, Dawn White & black",,5 MP,"Li-Ion 2400 mAh, removable",,0.77 W/kg (head)     0.85 W/kg (body),,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee F103,https://fdn2.gsmarena.com/vv/bigpic/gionee-f103.jpg,"LED flash, panorama, HDR",Up to 240 h (2G) / Up to 267 h (3G),"2015, September. Released 2015, October",,720p@30fps,,"microUSB 2.0, OTG",Mediatek MT6735 (28 nm),,About 130 EUR,Quad-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-T720MP2,,,Discontinued,,Dual SIM (dual stand-by),
eMMC 5.0,microSDXC (dedicated slot),,164 x 82.3 x 9.6 mm (6.46 x 3.24 x 0.38 in),"4.0, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 20, 38, 39, 40, 41",,Up to 39 h (2G) / Up to 20 h (3G),GPS,,"Yes, with stereo speakers",,,,,,,"FM radio, recording",,"Android 5.1 (Lollipop), Amigo 3.1","HSPA, LTE Cat4 150/50 Mbps",,,AMOLED,210 g (7.41 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",64GB 3GB RAM,"6.0 inches, 99.2 cm2(~73.5% screen-to-body ratio)",Gold,,"8 MP, AF","Li-Po 3500 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Yes,Gionee Elife E8,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-e8-new1.jpg,"Dual-LED dual-tone flash, panorama, HDR",Up to 437 h (2G) / Up to 500 h (3G),"2015, June. Released 2015, October",,4K@30fps,24-bit/192kHz audio,"microUSB 2.0, OTG",Mediatek MT6795 Helio X10 (28 nm),,About 480 EUR,Octa-core 2.0 GHz Cortex-A53,"1440 x 2560 pixels, 16:9 ratio (~490 ppi density)",,Gionee,,,,Yes,"24 MP, f/2.0, PDAF, OIS",,PowerVR G6200,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
TD-SCDMA,microSDXC (uses shared SIM slot),,145.1 x 70 x 6.4 mm (5.71 x 2.76 x 0.25 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,,,,,FM radio,,"Android 5.1.1 (Lollipop), Amigo 3","HSPA, LTE Cat4 150/50 Mbps",,,AMOLED,129 g (4.55 oz),"Accelerometer, gyro, proximity, compass",16GB 2GB RAM,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",White,,8 MP,"Li-Ion 2400 mAh, non-removable",,,Corning Gorilla Glass 4,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, hotspot, Wi-Fi Direct",No,Gionee S5.1 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-s51-pro.jpg,"LED flash, panorama, HDR",,"2015, September. Released 2015, November",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6753 (28 nm),,,Octa-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, AF",,Mali-T720MP3,,,Discontinued,,Nano-SIM + Micro-SIM,
,microSDHC (dedicated slot),,144.7 x 71.2 x 10.2 mm (5.70 x 2.80 x 0.40 in),"2.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 40",,Up to 50 h (2G) / Up to 18 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 5 (Lollipop), Amigo 3","HSPA, LTE",,,Super AMOLED,176 g (6.21 oz),"Accelerometer, proximity, compass",16GB 2GB RAM,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)","Black, White",,5 MP,"Li-Ion 5000 mAh, non-removable",,0.85 W/kg (head)     0.73 W/kg (body),,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M4,https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m4.jpg,"LED flash, panorama",Up to 225 h (2G) / Up to 400 h (3G),"2015, August. Released 2015, August",,1080p@30fps,,"microUSB 2.0, OTG",,,About 220 EUR,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-400,,,Discontinued,,Dual SIM,
CDMA 800,microSDXC (dedicated slot),,152 x 76 x 8.6 mm (5.98 x 2.99 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 20, 38, 39, 40, 41",,Up to 62 h (2G) / Up to 28 h (3G),GPS,Yes,Yes,Endurance rating 148h,,,,,,"FM radio, RDS, recording",,"Android 5.1 (Lollipop), Amigo 3.1","HSPA, LTE",,,AMOLED,211 g (7.44 oz),"Accelerometer, proximity, compass",32GB 3GB RAM,"5.5 inches, 83.4 cm2(~72.2% screen-to-body ratio)","White, Gold, Black",,"5 MP, f/2.2","Li-Po 6020 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / CDMA / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M5,https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-new.jpg,"LED flash, panorama, HDR",Up to 684 h (2G) / Up to 557 h (3G),"2015, June. Released 2015, November",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6735 (28 nm),,About 330 EUR,Quad-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, PDAF",,Mali-T720MP2,720p,Reverse wired,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",0.32 W/kg (head)     0.48 W/kg (body)
,microSDHC (dedicated slot),,134.5 x 67.7 x 8.7 mm (5.30 x 2.67 x 0.34 in),2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,GPS,,Yes,,,,,,,"FM radio, recording",,Android 4.4 (KitKat),HSPA,,,"TFT, 256K colors",-,"Accelerometer, proximity, compass",8GB 1GB RAM,"4.5 inches, 55.8 cm2(~61.3% screen-to-body ratio)","Black, White",,2 MP,"Li-Po 1800 mAh, removable",,,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Pioneer P4S,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p4.jpg,LED flash,,"2015, April. Released 2015, May",,720p@30fps,,microUSB,Mediatek MT6582 (28 nm),,About 120 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM (Dual stand-by),
,No,,148.8 x 72.4 x 5.5 mm (5.86 x 2.85 x 0.22 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 7, 38, 39, 40",,Up to 24 h (2G) / Up to 15 h 30 min (3G),GPS,,Yes,,,S7,,,,FM radio,,"Android 5 (Lollipop), Amigo OS 3","HSPA, LTE",,,Super AMOLED,125.3 g (4.41 oz),"Accelerometer, proximity, compass",16GB 2GB RAM,"5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)","White, Black, Maldives Blue",,"8 MP, 1/4.0""","Li-Ion 2700 mAh, non-removable",,0.52 W/kg (head)     0.64 W/kg (body),Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Elife S7,https://fdn2.gsmarena.com/vv/bigpic/Gionee-Elife-S7.jpg,"LED flash, panorama, HDR",Up to 270 h,"2015, March. Released 2015, April",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6752 (28 nm),,About 400 EUR,Octa-core 1.7 GHz Cortex-A53,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0 AF",,Mali-T760MP2,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
,microSDHC (dedicated slot),,133 x 67.4 x 11.2 mm (5.24 x 2.65 x 0.44 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 22 h 30 min (2G) / Up to 9 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1",HSPA,,,IPS LCD,161 g (5.68 oz),"Accelerometer, proximity, compass",16GB 1GB RAM,"4.5 inches, 57.6 cm2(~64.3% screen-to-body ratio)","White, Gray, Red, Gold",,VGA,"Li-Ion 2000 mAh, removable",,0.51 W/kg (head)     1.01 W/kg (body),,GSM / HSPA,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P3S,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p3s.jpg,"LED flash, panorama, HDR",Up to 240 h (2G) / Up to 200 h (3G),"2015, September. Released 2015, September",,720p@30fps,,microUSB 2.0,Mediatek MT6580 (28 nm),,,Quad-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,124 x 62.5 x 10.9 mm (4.88 x 2.46 x 0.43 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 30 h (2G) / Up to 15 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3",HSPA,,,IPS LCD,140 g (4.94 oz),"Accelerometer, proximity, compass",16GB 1GB RAM,"4.0 inches, 45.5 cm2(~58.8% screen-to-body ratio)","White, Gray, Gold",,VGA,"Li-Ion 3000 mAh, removable",,1.06 W/kg (head)     1.36 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P2M,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p2m.jpg,"LED flash, HDR, panorama",Up to 340 h (2G) / Up to 300 h (3G),"2015, June. Released 2015, June",,720p,,microUSB 2.0,Mediatek MT6580 (28 nm),,,Quad-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gionee,,,,Yes,5 MP,,Mali-400MP2,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,126 x 64 x 9.3 mm (4.96 x 2.52 x 0.37 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 12 h 30 min (2G) / Up to 9 h (3G),"GPS, GLONASS",,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,TFT,124.8 g (4.41 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~56.5% screen-to-body ratio)","Black, White, Blue, Pink",,VGA,"Li-Ion 1600 mAh, removable",,0.68 W/kg (head)     0.70 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P2S,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p2s.jpg,"LED flash, panorama",Up to 346 h (3G),"2014, May. Released 2014, May",,720p,,microUSB 2.0,Mediatek MT6572W,,,Dual-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400,,,Discontinued,,Dual SIM,
No,microSDHC (dedicated slot),Downloadable,128 x 52.8 x 7.4 mm (5.04 x 2.08 x 0.29 in),2.0,GSM 900 / 1800 - SIM 1 & SIM 2,,,Up to 8 h 20 min,No,,Yes,,"SMS, MMS, IM",,Yes,No,,FM radio,,,,,,"TFT, 256K colors",81.3 g (2.86 oz),,"64MB RAM, 128MB","2.6 inches, 20.9 cm2(~31.0% screen-to-body ratio)","White, Gold, Grey",Yes,,"Li-Ion 700 mAh, removable",,0.56 W/kg (head)     0.52 W/kg (body),,GSM,,No,No,Gionee S96,https://fdn2.gsmarena.com/vv/bigpic/gionee-s96.jpg,LED flash,Up to 206 h,"2014, March. Released 2014, March",,Yes,Audio/video player,microUSB,Mediatek MT6260,,,360 MHz,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Gionee,,,No,Yes,2 MP,,No,,,Discontinued,Yes,Dual SIM,
No,microSDHC (dedicated slot),Downloadable,121 x 51 x 15.6 mm (4.76 x 2.01 x 0.61 in),2.0,GSM 900 / 1800 - SIM 1 & SIM 2,,,Up to 45 h,No,,Yes,,"SMS, MMS, IM",,Yes,No,,FM radio,,,,,,"TFT, 256K colors",123.4 g (4.34 oz),,"8MB RAM, 16MB","2.6 inches, 20.9 cm2(~33.9% screen-to-body ratio)","Black, Gold",Yes,,"Li-Ion 3000 mAh, removable",,0.88 W/kg (head),,GSM,,No,No,Gionee L800,https://fdn2.gsmarena.com/vv/bigpic/gionee-l800.jpg,,Up to 675 h,"2015, May. Released 2015, May",,Yes,Audio/video player,microUSB,Mediatek MT6250,,,260 MHz,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Gionee,,,No,Yes,1.3 MP,,No,,,Discontinued,Yes,Dual SIM,
No,microSDHC (dedicated slot),Downloadable,119.8 x 51.4 x 13.2 mm (4.72 x 2.02 x 0.52 in),2.0,GSM 900 / 1800 - SIM 1 & SIM 2,,,Up to 16 h,No,,Yes,,"SMS, IM",,Yes,No,,FM radio,,,,,,"TFT, 256K colors",102.3 g (3.60 oz),,"8MB RAM, 16MB","2.6 inches, 20.9 cm2(~34.0% screen-to-body ratio)","Black, White",Yes,,"Li-Ion 1700 mAh, removable",,,,GSM,,No,No,Gionee L700,https://fdn2.gsmarena.com/vv/bigpic/gionee-l700.jpg,,Up to 480 h,"2015, May. Released 2015, May",,Yes,Audio/video player,microUSB,Mediatek MT6250,,,260 MHz,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Gionee,,,No,Yes,1.3 MP,,No,,,Discontinued,Yes,Dual SIM,
,microSDXC (dedicated slot),,144.5 x 71.5 x 10.4 mm (5.69 x 2.81 x 0.41 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Up to 51 h (2G) / Up to 32 h 30 min (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA,,,IPS LCD,180.3 g (6.35 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 5000 mAh, non-removable",,0.29 W/kg (head)     0.73 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M3,https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m3.jpg,"LED flash, panorama",Up to 792 h,"2014, November. Released 2014, November",,720p@30fps,,"microUSB 2.0, OTG",,,About 170 EUR,Quad-core 1.3 GHz,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, f/2.2, AF",,Mali-450,,,Discontinued,,Dual SIM (dual stand-by),
,No,,139.8 x 67.4 x 5.2 mm (5.50 x 2.65 x 0.20 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,Endurance rating 55h,,,,,,FM radio,Photo/Video,"Android 4.4.2 (KitKat), Amigo OS 2",HSPA,,Voice 64dB / Noise 64dB / Ring 66dB,AMOLED,97.7 g (3.42 oz),"Accelerometer, gyro, proximity, compass",16GB 1GB RAM,"4.8 inches, 63.5 cm2(~67.4% screen-to-body ratio)","Black, White, Pink, Mint Green",,"5 MP, f/2.4","Li-Ion 2050 mAh, non-removable","Contrast ratio: Infinite (nominal), 2.812 (sunlight)",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Elife S5.1,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s5.1.jpg,"LED flash, panorama, HDR",,"2014, September. Released 2014, November",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6592 (28 nm),,About 240 EUR,Octa-core 1.7 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Noise -91.2dB / Crosstalk -82.7dB,Gionee,,,,Yes,"8 MP, f/2.2, AF",Basemark OS II 2.0: 546Basemark X: 4150,Mali-450MP4,,,Discontinued,,Micro-SIM,
,microSDHC (dedicated slot),,142.8 x 74.3 x 8.6 mm (5.62 x 2.93 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,Up to 13 h 30 min (2G) / Up to 9 h 30 min (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA,,,TFT,150 g (5.29 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~64.9% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 1950 mAh, removable",,0.19 W/kg (head)     0.73 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P6,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p6.jpg,"LED flash, panorama",Up to 162 h (2G) / Up to 108 h (3G),"2015, January. Released 2015, January",,1080p@30fps,,microUSB 2.0,,,About 120 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDXC (dedicated slot),,143.5 x 72 x 8.3 mm (5.65 x 2.83 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 40",,Up to 24 h (2G) / Up to 9 h (3G),GPS,,Yes,,,P5L,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1","HSPA, LTE",,,IPS LCD,146.9 g (5.19 oz),"Accelerometer, proximity, compass",16GB 1GB RAM,"4.7 inches, 60.9 cm2(~58.9% screen-to-body ratio)","Red, White, Black, Blue, Yellow & golden",,5 MP,"Li-Po 2300 mAh, removable",,0.46 W/kg (head)     0.32 W/kg (body),,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P5L,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p5l.jpg,"LED flash, HDR, panorama",Up to 500 h (2G) / Up to 300 h (3G),"2014, November. Released 2014, November",,1080p@30fps,,microUSB 2.0,Mediatek MT6582 (28 nm),,,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,135 x 66.5 x 9.1 mm (5.31 x 2.62 x 0.36 in),2.1,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Up to 16 h 30 min (2G) / Up to 11 h (3G),GPS,,Yes,,,,,,,"FM radio, recording",,Android 4.2 (Jelly Bean),HSPA,,,TFT,88.2 g (3.10 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)","Black, White",,2 MP,"Li-Po 1800 mAh, removable",,0.84 W/kg (head)     0.75 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Pioneer P4,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p4.jpg,LED flash,Up to 386 h (2G) / Up to 386 h (3G),"2014, June. Released 2014, June",,Yes,,microUSB,Mediatek MT6582V/X,,About 100 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM (Dual stand-by),
