Speed,,Loudspeaker,EDGE,GPRS,_4,Card slot,Features,CPU,Sensors,Model Image,512GB 12GB RAM,Type_1,OS,Dual,Bluetooth,SIM,Performance,2G bands,Internal,_1,Video_1,Positioning,Radio,Model Name,256GB 8GB RAM,Weight,5G bands,Video,Charging,Triple,Battery (old),3G bands,_2,Status,Loudspeaker_1,Quad,NFC,3.5mm jack,Single_1,WLAN,Price,Build,GPU,_3,4G bands,512GB 16GB RAM,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Dimensions,Type,Size,Protection,Display
"HSPA, LTE",Stylus support,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t10e.jpg,,6580 mAh,Android 13,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,eMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T10E,,427 g (15.06 oz),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, August",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 130 EUR,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM / HSPA / LTE,8 MP,"2023, August 04",Doogee,"USB Type-C 2.0, OTG","Mint Green, Space Gray, Classic Black",240.8 x 159.8 x 8.7 mm (9.48 x 6.29 x 0.34 in),"IPS LCD, 360 nits","10.1 inches, 295.8 cm2(~76.9% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, gyro, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t20-mini-pro.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,eMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T20mini Pro,,316 g (11.15 oz),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2023, November",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~270 ppi density)",GSM / HSPA / LTE,13 MP,"2023, October",Doogee,USB Type-C 2.0,"Black, Purple, Green",202.5 x 125.8 x 7.4 mm (7.97 x 4.95 x 0.29 in),"IPS LCD, 350 nits","8.4 inches, 204.6 cm2(~80.3% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, gyro, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t20-mini.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,eMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T20mini,,330 g (11.64 oz),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2023, August",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 240 EUR,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~270 ppi density)",GSM / HSPA / LTE,13 MP,"2023, August 04",Doogee,USB Type-C 2.0,"Moonlit Purple, Mint Green, Midnight Black",202.5 x 125.8 x 7.4 mm (7.97 x 4.95 x 0.29 in),"IPS LCD, 350 nits","8.4 inches, 204.6 cm2(~80.3% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,Yes,,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Unspecified,https://fdn2.gsmarena.com/vv/bigpic/doogee-t20s.jpg,,7500 mAh,Android 13,13 MPsecondary unspecified camera,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 8GB RAM,UFS 2.1,Yes,Unspecified,Unspecified,Doogee T20S,,-,,1080p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, July 01",,,No,Yes,,Yes,About 270 EUR,"Glass front, aluminum frame, aluminum back",Mali-G57 MP1,,LTE,,Unisoc Tiger T616 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~218 ppi density)",GSM / HSPA / LTE,5 MP,"2023, July 01",Doogee,USB Type-C,"Green, Gray, Black",7.9 mm thickness,IPS LCD,"10.4 inches, 313.6 cm2",,
"HSPA, LTE",Stylus support,Yes,,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Unspecified,https://fdn2.gsmarena.com/vv/bigpic/doogee-t10s.jpg,,6600 mAh,Android 13,8 MPsecondary unspecified camera,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 6GB RAM,UFS 2.1,Yes,Unspecified,Unspecified,Doogee T10S,,563 g (1.24 lb),,1080p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2023, July 20",,,No,Yes,,Yes,About 180 EUR,"Glass front, aluminum frame, aluminum back",Mali-G57 MP1,,LTE,,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM / HSPA / LTE,5 MP,"2023, July 01",Doogee,USB Type-C,"Mint Green, Neptune Blue, Space Gray",8.4 mm thickness,IPS LCD,"10.1 inches, 295.8 cm2",,
"HSPA, LTE",,Yes,,,,microSDXC (uses shared SIM slot),"Triple-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-n50-pro.jpg,,4200 mAh,Android 13,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,,Yes,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee N50 Pro,,-,,Yes,18W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2023, November",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 110 EUR,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, f/1.8, (wide)","2023, October",Doogee,"USB Type-C 2.0, OTG","Black, Purple, Green",165.8 x 76.2 x 9.1 mm (6.53 x 3.00 x 0.36 in),"IPS LCD, 390 nits (peak)","6.52 inches, 102.6 cm2(~81.2% screen-to-body ratio)",,
"HSPA, LTE",,Yes,,,,microSDXC (uses shared SIM slot),"Triple-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-n50s.jpg,,4200 mAh,Android 13,"20 MP, (wide), PDAF2 MP, (depth)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,,Yes,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee N50S,,-,,Yes,10W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2023, May",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, (wide)","2023, April",Doogee,"USB Type-C 2.0, OTG","Blue, Pink, Black",165.8 x 76.2 x 9.1 mm (6.53 x 3.00 x 0.36 in),"IPS LCD, 390 nits (peak)","6.52 inches, 102.6 cm2(~81.2% screen-to-body ratio)",,
"HSPA, LTE",,Yes,,,,microSDXC (uses shared SIM slot),"Triple-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-n50.jpg,,4200 mAh,Android 13,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 8GB RAM,,Yes,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee N50,,-,,Yes,18W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2023, May",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 180 EUR,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, f/2.0, (wide)","2023, April 25",Doogee,"USB Type-C 2.0, OTG","Fairy pink, Electric blue, Granite black",165.8 x 76.2 x 9.1 mm (6.53 x 3.00 x 0.36 in),"IPS LCD, 390 nits (peak)","6.52 inches, 102.6 cm2(~81.2% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v30t.jpg,,10800 mAh,Android 12,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"4K@30fps, 1080p@30fps","GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V30T,,376 g (13.26 oz),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps","66W wired, 55% in 30 min15W wirelessReverse wired","108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF, OIS20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide), AF",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 3.1,"Available. Released 2023, May",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 420 EUR,,Mali-G68 MC4,24-bit/192kHz Hi-Res audio,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 1080 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/1.8, (wide), 1/2.8"", 0.8µm","2023, April 16",Doogee,"USB Type-C 2.0, OTG","Marble Black, Rose Gold, Galaxy Gray",178.4 x 83.1 x 17.8 mm (7.02 x 3.27 x 0.70 in),"IPS LCD, 120Hz","6.58 inches, 104.3 cm2(~70.4% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-s100-pro-new.jpg,,22000 mAh,Android 12,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantFlashlight (130 lumens),"1440p, 1080p","GPS (L1+L5), GLONASS, BDS, GALILEO",FM radio,Doogee S100 Pro,,-,,"1440p, 1080p",33W wired,"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 3.1,"Available. Released 2023, June 01",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 300 EUR,,Mali-G57 MC2,24-bit/192kHz Hi-Res audio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",,Mediatek Helio G99 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm","2023, May 28",Doogee,"USB Type-C 2.0, OTG","Black, Black/Silver, Black/Gold",178.5 x 83.1 x 27.3 mm (7.03 x 3.27 x 1.07 in),IPS LCD,"6.58 inches, 104.3 cm2(~70.3% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE, 5G",CDMA 800 / 1900,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v20-pro.jpg,,6000 mAh,Android 12,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,"1440p, 1080p","GPS, GLONASS, BDS, GALILEO",FM radio,Doogee V20 Pro,,296 g (10.44 oz),"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79","1440p, 1080p",33W wiredReverse wired,"64 MP, f/1.8, (wide), PDAF, OIS8 MP, f/1.8, (wide)24 MP, f/1.8, (night vision), 2 infrared night vision lights",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 2.2,"Available. Released 2023, June 01",,,Yes,Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 460 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 700 (7 nm),"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"16 MP, f/2.0, (wide)","2023, May 28",Doogee,"USB Type-C 2.0, OTG","Black, Silver, Orange, Blue",170.5 x 81.2 x 14 mm (6.71 x 3.20 x 0.55 in),"AMOLED, 500 nits (peak)","6.43 inches, 99.8 cm2(~72.1% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE",UFS 2.2,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30-pro.jpg,,8580 mAh,Android 13,20 MP2 MP,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 15GB RAM,24-bit/192kHz Hi-Res audio,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T30 Pro,,-,,"1440p@30fps, 1080p@30fps","18W wired, 50% in 60 min",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2023, June 12",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 330 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",GSM / HSPA / LTE,8 MP,"2023, May 23",Doogee,"USB Type-C 2.0, OTG, accessory connector","Space Gray, MInt Green, Ice Blue",257 x 168.7 x 7.6 mm (10.12 x 6.64 x 0.30 in),"IPS LCD, 350 nits (peak)","11.0 inches, 350.9 cm2(~80.9% screen-to-body ratio)",,
"HSPA, LTE",eMMC 5.1,Yes,,,,microSDXC (uses shared SIM slot),"Triple-LED flash, HDR, panorama",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"Accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-x98-pro.jpg,,4200 mAh,Android 12,"12 MP, f/1.8, (wide), PDAF2 MP, (depth)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,64GB 4GB RAM,,Yes,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee X98 Pro,,-,,Yes,10W wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2022, November 10",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 130 EUR,,PowerVR GE8320,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek MT6762 Helio G25 (12 nm),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, f/2.2, (wide)","2022, November",Doogee,"USB Type-C 2.0, OTG","Emerald Green, Ocean Blue, Graphite Gray",165.3 x 76.3 x 8.8 mm (6.51 x 3.00 x 0.35 in),IPS LCD,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)",,
"HSPA, LTE",eMMC 5.1,Yes,,,,microSDXC (uses shared SIM slot),"Triple-LED flash, HDR, panorama",Quad-core 2.0 GHz Cortex-A53,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-x98-pro.jpg,,4200 mAh,Android 12,"8 MP, f/1.8, (wide)2 MP, (depth)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,16GB 3GB RAM,,Yes,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee X98,,-,,Yes,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2022, November 10",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 100 EUR,,PowerVR GE8320,,"1, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Mediatek MT6761 Helio A22 (12 nm),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"5 MP, f/2.2, (wide)","2022, November",Doogee,"USB Type-C 2.0, OTG","Emerald Green, Ocean Blue, Graphite Gray",165.3 x 76.3 x 8.8 mm (6.51 x 3.00 x 0.35 in),IPS LCD,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)",,
"HSPA, LTE",CDMA 800 / 1900,Yes,,,,microSDXC (dedicated slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-s99-.jpg,,6000 mAh,Android 12,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 8GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee S99,,-,,"1440p@30fps, 1080p@30fps","33W wired, 45% in 30 min15W wirelessReverse wired","108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/1.8, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2022, December 05",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 250 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek MT6781 Helio G96 (12 nm),"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",GSM / CDMA / HSPA / LTE,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm","2022, December 05",Doogee,"USB Type-C 2.0, OTG","Gold, Black",172 x 82 x 15.5 mm (6.77 x 3.23 x 0.61 in),IPS LCD,"6.3 inches, 97.4 cm2(~69.1% screen-to-body ratio)",Corning Gorilla Glass,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v-max.jpg,,22000 mAh,Android 12,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,"1440p, 1080p","GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V Max,,-,"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps",33W wiredReverse wired,"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 3.1,"Available. Released 2023, February 13",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 60 EUR,,Mali-G68 MC4,24-bit/192kHz Hi-Res audio,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 1080 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/1.8, (wide), 1/2.8"", 0.8µm","2023, February 13",Doogee,"USB Type-C 2.0, OTG","Sunshine Gold, Classic Black, Moonshine Silver",178.5 x 83.1 x 27.3 mm (7.03 x 3.27 x 1.07 in),"IPS LCD, 120Hz","6.58 inches, 104.3 cm2(~70.3% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE",CDMA 800 / 1900,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-s100-pro-.jpg,,10800 mAh,Android 12,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,"1440p, 1080p","GPS, GLONASS, BDS, GALILEO",FM radio,Doogee S100,,-,,"1440p, 1080p",66W wired15W wireless,"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 2.2,"Available. Released 2023, March 20",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 270 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",,Mediatek Helio G99 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm","2023, February 07",Doogee,"USB Type-C 2.0, OTG","Ice Blue, Cyber Yellow, Classic Black",178.5 x 83.1 x 17.9 mm (7.03 x 3.27 x 0.70 in),IPS LCD,"6.58 inches, 104.3 cm2(~70.3% screen-to-body ratio)",Corning Gorilla Glass,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v30.jpg,,10800 mAh,Android 12,,"5.2, A2DP, LE",Nano-SIM +eSIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"4K@30fps, 1080p@30fps","GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V30,,376 g (13.26 oz),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps","66W wired, 55% in 30 min15W wirelessReverse wired","108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 3.1,"Available. Released 2022, December 22",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 330 EUR,,Mali-G68 MC4,24-bit/192kHz Hi-Res audio,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 900 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm","2022, December 12",Doogee,"USB Type-C 2.0, OTG","Orange, Black",178.4 x 83.1 x 18.3 mm (7.02 x 3.27 x 0.72 in),"IPS LCD, 120Hz","6.58 inches, 104.3 cm2(~70.4% screen-to-body ratio)",Corning Gorilla Glass 5,
