Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
LED flash,Octa-core 1.4 GHz,,,5 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 150 EUR,,Yes,Dual SIM,,"8 MP, AF",135 g (4.76 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, November. Released 2014, November",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-s.jpg,"5.0 inches, 68.9 cm2(~68.8% screen-to-body ratio)",Panasonic Eluga S,,"Black, White",IPS LCD,,,141 x 71 x 7.9 mm (5.55 x 2.80 x 0.31 in),8GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2100 mAh, non-removable",,"Accelerometer, proximity",
Dual-LED flash,Quad-core 1.3 GHz,,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 190 EUR,,Yes,Dual SIM,,"8 MP, AF",173.8 g (6.14 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, July. Released 2014, July",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p61.jpg,"6.0 inches, 99.2 cm2(~72.8% screen-to-body ratio)",Panasonic P61,,"Pearl White, Black",IPS LCD,,,162.7 x 83.8 x 8.2 mm (6.41 x 3.30 x 0.32 in),16GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 2100,,,Yes,"Li-Ion 2800 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz Cortex-A7,,,VGA,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,,,Yes,Dual SIM,,"5 MP, AF",120.6 g (4.27 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, July. Released 2014, July",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t41.jpg,"4.5 inches, 55.8 cm2(~64.6% screen-to-body ratio)",Panasonic T41,,"White, Black, Red",IPS LCD,,,131 x 65.9 x 8.3 mm (5.16 x 2.59 x 0.33 in),4GB 512MB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 2100,,,Yes,"Li-Po 1650 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz Cortex-A7,,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 90 EUR,,Yes,Dual SIM,,"5 MP, AF",117 g (4.13 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, October. Released 2014, October",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t40.jpg,"4.0 inches, 45.5 cm2(~57.8% screen-to-body ratio)",Panasonic T40,,"White, Dark Grey, Bright Red",IPS LCD,,,126 x 62.5 x 9 mm (4.96 x 2.46 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 2100,,,Yes,"Li-Ion 1500 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz,,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 120 EUR,,Yes,Dual SIM,,"8 MP, AF",148 g (5.22 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, November. Released 2014, November",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p55.jpg,"5.5 inches, 83.4 cm2(~72.3% screen-to-body ratio)",Panasonic P55,,"Pearl White, Deep Blue",IPS LCD,,,149.7 x 77 x 7.9 mm (5.89 x 3.03 x 0.31 in),4GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 140 EUR,,Yes,Dual SIM,,"8 MP, AF",155 g (5.47 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, November. Released 2014, November",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/Panasonic-Eluga-I.jpg,"5.0 inches, 68.9 cm2(~63.7% screen-to-body ratio)",Panasonic Eluga I,,Silver,IPS LCD,,,147.1 x 73.6 x 9 mm (5.79 x 2.90 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Po 2000 mAh, removable",,"Accelerometer, proximity",
"Leica optics, LED flash",Quad-core 2.3 GHz Krait 400,eMMC 5.0,LTE,1.1 MP,,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Yes,"4.0, A2DP, LE",,,,,About 830 EUR,,Yes,Micro-SIM,,"20.1 MP, f/2.8, 28mm (wide), 1.0"", 2.4µm, AF",204 g (7.20 oz),Qualcomm MSM8974AB Snapdragon 801 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~469 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE Cat4 150/50 Mbps",Yes,,"2014, September. Released 2014, December",720p@30fps,GSM / HSPA / LTE,,,Panasonic,,Adreno 330,https://fdn2.gsmarena.com/vv/bigpic/panasonic-lumix.jpg,"4.7 inches, 60.9 cm2(~66.1% screen-to-body ratio)",Panasonic Lumix Smart Camera CM1,,Black,IPS LCD,,Yes,135.4 x 68 x 21.1 mm (5.33 x 2.68 x 0.83 in),16GB 2GB RAM,microUSB 2.0,Yes,"GPS, GLONASS",No,HSDPA,"18W wired, QC2",DMC-CM1,"4K@15fps, 1080p@30fps","Li-Ion 2600 mAh, non-removable",,"Accelerometer, gyro, proximity, compass",
LED flash,Quad-core 1.2 GHz Cortex-A7,eMMC 4.5,,1.3 MP,,,Android 4.3 (Jelly Bean),Yes,"3.0, A2DP",,,,,About 120 EUR,,Yes,Dual SIM,,"8 MP, AF",115 g (4.06 oz),Qualcomm Snapdragon 200 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, August. Released 2014, August",,GSM / HSPA,,,Panasonic,,Adreno 302,https://fdn2.gsmarena.com/vv/bigpic/Panasonic-Eluga-A.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Panasonic Eluga A,,"Black, White",IPS LCD,,,143.8 x 72 x 9.2 mm (5.66 x 2.83 x 0.36 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz Cortex-A7,eMMC 4.5,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 240 EUR,,Yes,Dual SIM,,"13 MP, AF",141 g (4.97 oz),Qualcomm Snapdragon 400 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, July. Released 2014, August",,GSM / HSPA,,,Panasonic,Corning Gorilla Glass 3,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-u.jpg,"5.0 inches, 68.9 cm2",Panasonic Eluga U,,"Black, White",IPS LCD,,,8 mm thickness,16GB 2GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity, compass",
LED flash,Octa-core 1.7 GHz Cortex-A7,,,2 MP,,,Android 4.2.2 (Jelly Bean),Yes,"3.0, A2DP",,,,,About 220 EUR,,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,"13 MP, AF",-,Mediatek MT6592 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2014, June. Released 2014, June",,GSM / HSPA,,,Panasonic,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p81.jpg,"5.5 inches, 83.4 cm2",Panasonic P81,,Black,IPS LCD,,,7.9 mm thickness,8GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity",
HDR,Dual-core 1.3 GHz Cortex-A7,,,VGA,Up to 510 h (2G) / Up to 400 h (3G),,Android 4.2.2 (Jelly Bean),Yes,"4.0, A2DP",0.85 W/kg (head)     1.18 W/kg (body),,,,About 70 EUR,,Yes,"Dual SIM (Mini-SIM, dual stand-by)",,3.15 MP,120 g (4.23 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 3 h 30 min (2G) / Up to 9 h 30 min (3G),microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,Panasonic,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t31.jpg,"4.0 inches, 45.5 cm2(~58.0% screen-to-body ratio)",Panasonic T31,,"Pure White, Bluish Black",TFT,,,122 x 64.4 x 11.2 mm (4.80 x 2.54 x 0.44 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,,720p@24fps,"Li-Ion 1300 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.2 GHz,,,2 MP,,,Android 4.1 (Jelly Bean),Yes,"2.1, A2DP",,,,,About 170 EUR,,Yes,Dual SIM,,"8 MP, AF",140 g (4.94 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2013, Q3. Released 2013, Q3",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t21.jpg,"4.5 inches, 55.8 cm2(~64.1% screen-to-body ratio)",Panasonic T21,,"Black, White",IPS LCD,,,132 x 66 x 9.8 mm (5.20 x 2.60 x 0.39 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 1700 mAh, removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.2 GHz Cortex-A7,eMMC 4.5,,2 MP,,,Android 4.1.2 (Jelly Bean),Yes,"2.1, A2DP",,,,,About 200 EUR,,Yes,Dual SIM,,"8 MP, AF",160 g (5.64 oz),Qualcomm Snapdragon 200 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,No,,"2013, Q3. Released 2013, Q3",,GSM / HSPA,,,Panasonic,,Adreno 203,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p11.jpg,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Panasonic P11,,"Black, White, Fluorescent Green",IPS LCD,,,143.9 x 73.3 x 9.7 mm (5.67 x 2.89 x 0.38 in),4GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,720p,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.2 GHz Cortex-A7,,,VGA,,,Android 4.1 (Jelly Bean),Yes,"2.1, A2DP",,,,,About 120 EUR,,Yes,Dual SIM,,"5 MP, AF",120 g (4.23 oz),Mediatek MT6589 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2013, Q3. Released 2013, Q3",,GSM / HSPA,,,Panasonic,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t11.jpg,"4.0 inches, 45.5 cm2(~63.7% screen-to-body ratio)",Panasonic T11,,"Black, White",IPS LCD,,,112.6 x 63.5 x 9.2 mm (4.43 x 2.5 x 0.36 in),4GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 1500 mAh, removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.2 GHz Cortex-A7,,,1.3 MP,,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, EDR",,,,,About 440 EUR,,Yes,Dual SIM (Micro-SIM),,"8 MP, AF",135 g (4.76 oz),Mediatek MT6589 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA 42.2/5.76 Mbps,No,,"2013, May. Released 2013, October",720p,GSM / HSPA,,,Panasonic,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p51.jpg,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",Panasonic P51,,"Black, White",IPS LCD,,,144 x 75 x 8.5 mm (5.67 x 2.95 x 0.33 in),4GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz Cortex-A7,,,2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP, EDR",,,,,About 170 EUR,,Yes,Dual SIM,,"8 MP, AF",133 g (4.69 oz),Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2014, August. Released 2014, August",,GSM / HSPA,,,Panasonic,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p41.jpg,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)",Panasonic P41,,"Black, White",IPS LCD,,,142.4 x 71.9 x 8.2 mm (5.61 x 2.83 x 0.32 in),8GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 2100,,,1080p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
,Dual-core 1.5 GHz Krait,IP57 dust/water resistant (up to 1m for 30 min),,Yes,,,Android 4.0 (Ice Cream Sandwich),Yes,"3.0, A2DP, EDR",,,,,About 500 EUR,,Yes,Micro-SIM,,"8 MP, AF",133 g (4.69 oz),Qualcomm MSM8270,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA 14.4/5.76 Mbps,Yes,,"2012, February. Released 2012, May",,GSM / HSPA,DivX/MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,,Panasonic,,Adreno 225,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-power.jpg,"5.0 inches, 68.9 cm2(~72.4% screen-to-body ratio)",Panasonic Eluga Power,,"Black, Silver",LCD,,,136 x 70 x 9.6 mm (5.35 x 2.76 x 0.38 in),8GB 1GB RAM,microUSB 2.0,,"GPS, A-GPS",No,HSDPA 900 / 2100,,,1080p@30fps,Non-removable Li-Ion 1800 mAh battery,,"Accelerometer, proximity, compass",
,Dual-core 1.0 GHz,IP57 dust/water resistant (up to 1m for 30 min),,,Up to 300 h,,"Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Yes,"2.1, A2DP, EDR",,,,DivX/MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,About 360 EUR,,Yes,Micro-SIM,,"8 MP, AF",103 g (3.63 oz),TI OMAP 4430,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 4 h,No,,HSPA 21.1/5.76 Mbps,Yes,,"2012, February. Released 2012, April",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga.jpg,"4.3 inches, 51.0 cm2(~66.8% screen-to-body ratio)",Panasonic Eluga DL1,,"Black, Silver",OLED,,,123 x 62 x 7.8 mm (4.84 x 2.44 x 0.31 in),8GB 1GB RAM,microUSB 2.0,,"GPS, A-GPS",No,HSDPA 900 / 2100,,,Yes,Non-removable Li-Ion 1150 mAh battery,,"Accelerometer, proximity, compass",
LED flash,Dual-core 1.2 GHz Marvell,Anti-reflective and anti-glare display,,2 MP,,,Android 3.2 (Honeycomb),Yes,"2.1, A2DP, EDR",,,,,About 900 EUR,,Yes,No,,"5 MP, AF",952.5 g (2.10 lb),,,Discontinued,"Wi-Fi 802.11 а/b/g/n, hotspot",,,N/A,,,"768 x 1024 pixels, 4:3 ratio (~127 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,,,"2011, October. Released 2012, Q4",,No cellular connectivity,MIL-STD-810G and IP65 certified sealed all-weather designMagnesium alloy chassis encased with ABS and elastomerFIPS 140-2 (HIPPA compliance)micro HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerOrganizerPredictive text input,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-toughpad-fz-a1.jpg,"10.1 inches, 315.9 cm2(~55.5% screen-to-body ratio)",Panasonic Toughpad FZ-A1,,White,LCD,,No,266.7 x 213.4 x 17.8 mm (10.5 x 8.40 x 0.70 in),16GB 1GB RAM,microUSB 2.0,No,GPS,No,,,,Yes,Non-removable Li-Ion 4590 mAh battery (33.9Wh),,"Accelerometer, compass",
,,Anti-reflective and anti-glare display,,Yes,,,Android 3.2 (Honeycomb),Yes,"2.1, A2DP, EDR",,,,,About 1470 EUR,,Yes,No,,Yes,952.5 g (2.10 lb),,,Discontinued,"Wi-Fi 802.11 а/b/g/n, hotspot",,,N/A,,,"600 x 1024 pixels, 16:9 ratio",,microSDHC (dedicated slot),,,,,"2011, October. Released 2012, January",,No cellular connectivity,MIL-STD-810G and IP65 certified sealed all-weather designMagnesium alloy chassis encased with ABS and elastomermicro HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerOrganizerPredictive text input,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-toughpad-jt-b1.jpg,"7.0 inches, 137.9 cm2",Panasonic Toughpad JT-B1,,White,LCD,,No,-,16GB 1GB RAM,microUSB 2.0,No,GPS,No,,,,Yes,Non-removable Li-Ion battery,,"Accelerometer, compass",
,,FlashlightMIL-STD-810E compliant shock resistantPriority Call Key,,,Up to 280 h,,,Yes,2.0,,No,,2.5 mm audio jackHearing aid compatible (M3)Audible Dialling,,,No,Mini-SIM,,,110 g (3.88 oz),,"50 dialed, 50 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,,,220 x 176 pixels (~148 ppi density),Up to 4 h,No,,,,,"2011, October",,GSM,No,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-kx-tu311.jpg,"1.9 inches, 11.4 cm2(~16.5% screen-to-body ratio)",Panasonic KX-TU311,SMS,Black,"TFT, 65K colors",100 entries,No,121 x 57 x 19 mm (4.76 x 2.24 x 0.75 in),,No,No,No,No,,,,,Removable Li-Ion 940 mAh battery,,,No
,,FlashlightShock resistantPriority Call Key,,,Up to 280 h,,,Yes,No,,No,,2.5 mm audio jackHearing aid compatible (M3)Audible Dialling,,,No,Mini-SIM,,,128 g (4.52 oz),,"50 dialed, 50 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,,,160 x 128 pixels (~114 ppi density),Up to 4 h,No,,,,,"2011, October",,GSM,No,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-kx-tu301.jpg,"1.8 inches, 10.2 cm2(~16.3% screen-to-body ratio)",Panasonic KX-TU301,No,Black,"TFT, 65K colors",100 entries,No,"128 x 49 x 20 mm, 89 cc (5.04 x 1.93 x 0.79 in)",,No,No,No,No,,,,,Removable Li-Ion 940 mAh battery,,,No
,,"Second external CSTN display, 4096 colors, 96 x 64 pixelsDownloadable logos",,,Up to 430 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,1.2,,"Sonic the Hedgehog, Soccer",,No,,MP3/AAC playerPredictive text inputOrganizerChangeable coversVoice memo,No,Mini-SIM,,2 MP,113 g (3.99 oz),,"50 dialed, 50 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio",Up to 8 h,No,,,,,"2005, Q1",,GSM,2 MB for MMS,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-vs7.gif,,Panasonic VS7,"SMS, EMS, MMS, Email",,"TFT, 16M colors",500 entries,Class 10,"102 x 51 x 18.8 mm, 89 cc (4.02 x 2.01 x 0.74 in)",30MB,Proprietary,No,No,No,,,,QCIF,Removable Li-Ion 830 mAh battery (EB-BS001),,,Yes
,,Downloadable logos,,,Up to 430 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,1.2,,Yes,,Push-to-open mechanismMP3 playerPredictive text inputOrganizerChangeable covers,,,No,Mini-SIM,,2 MP,101 g (3.56 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 8 h,No,,,,,"2005, Q3",,GSM,No,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-vs6.gif,,Panasonic VS6,"SMS, MMS","Red, Black","TFT, 16M colors",Yes,Class 10,"96 x 46 x 21 mm, 80 cc (3.78 x 1.81 x 0.83 in)",32MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 830 mAh battery,,,"Yes, MIDP 2.0"
,,Incoming call LEDDownloadable logos,,,Up to 210 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,,"Sonic the Hedgehog, Soccer",,Push-to-open mechanismMP3/AAC playerPredictive text inputOrganizerChangeable coversSyncMLVoice memo,,,No,Mini-SIM,,1.3 MP,102 g (3.60 oz),,"50 dialed, 50 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 4 h 30 min,No,,,,,"2005, Q1",,GSM,No,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-vs3.gif,,Panasonic VS3,"SMS, EMS, MMS, Email",,"TFT, 16M colors",500 entries,Class 10,"96 x 46 x 17.6 mm, 79 cc (3.78 x 1.81 x 0.69 in)",32MB,Proprietary,No,No,No,,,,QCIF,Removable Li-Ion 830 mAh battery,,,"Yes, MIDP 2.0"
,,Incoming call LEDDownloadable logos,,,Up to 370 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,,"Sonic The Hedgehog, 3D Soccer Game",,MP3/AAC playerPredictive text inputOrganizerVoice memoSyncML,,,No,Mini-SIM,,1.3 MP,98 g (3.46 oz),,"50 dialed, 50 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 6 h,No,,,,,"2005, Q2",,GSM,No,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-vs2.gif,,Panasonic VS2,"SMS, EMS, MMS, Email","3 - pink, copper, brown","TFT, 16M colors",500 entries,Class 10,"96 x 46 x 18.2 mm, 77 cc (3.78 x 1.81 x 0.72 in)",32MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 830 mAh battery,,,"Yes, MIDP 2.0"
,,"Second external CSTN display, 4096 colors, 96 x 64 pixelsDownloadable logos",,,Up to 860 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,1.2,,Yes,,No,,MP3 playerPredictive text inputOrganizer,No,Mini-SIM,,2 MP,144 g (5.08 oz),,"20 dialed, 20 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 16 h,No,,,,,"2005, Q1",,GSM,2 MB for MMS,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/pamx7.gif,,Panasonic MX7,"SMS, MMS",,"TFT, 16M colors",Yes,Class 10,"102 x 51 x 26 mm, 118 cc (4.02 x 2.01 x 1.02 in)",30MB,,No,No,No,,,,Yes,Removable Li-Ion 1660 mAh battery,,,"Yes, MIDP 2.0"
