,256GB 12GB RAM,Dimensions,Camera,Model Image,Type_1,Build,Battery (old),_1,512GB 12GB,Model Name,Models,Loudspeaker_1,Card slot,Brand,256GB 8GB,Speed,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,64GB 4GB RAM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Features_1,128GB 6GB RAM,Price,Display,Single_1,Type,256GB 8GB RAM,Chipset,64GB 3GB RAM,WLAN,128GB 8GB RAM,3G bands,Size,Single,Bluetooth,Radio,USB,Protection,Dual,Status,Internal,Performance,OS,Colors,128GB 4GB RAM,Battery (new),5G bands,512GB 12GB RAM,Weight,Infrared port,Resolution
,,166.6 x 74.4 x 8.3 mm (6.56 x 2.93 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-19.jpg,5000 mAh,,,,,Tecno Camon 19,CI6n,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,18W wired,,Mali-G52 MC2,"2022, June 15",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"64 MP, f/1.7, 26mm (wide), 1/1.7"", 0.8µm, PDAF2 MP, f/2.4, (depth)QVGA",LTE,"Quad-LED flash, panorama, HDR",,,,,,IPS LCD,,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~88.6% screen-to-body ratio)","16 MP, f/2.0, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July 13","128GB 4GB RAM, 128GB 6GB RAM",,"Android 12, HIOS 8.6","Eco Black, Sea Salt White, Digital Green",,,,,198 g (6.98 oz),,1080 x 2460 pixels (~395 ppi density)
,,168.8 x 76.9 x 8.5 mm (6.65 x 3.03 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-19-neo-.jpg,5000 mAh,,,,,Tecno Camon 19 Neo,CH6i,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,18W wired,,Mali-G52 MC2,"2022, June 15",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (depth)QVGA",LTE,"Quad-LED flash, panorama, HDR",Dual-LED flash,,,,,IPS LCD,,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~84.6% screen-to-body ratio)","32 MP, f/2.5, 26mm (wide), 0.8µm",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July",128GB 6GB RAM,,"Android 12, HIOS 8.6","Eco Black, Ice Mirror, Dreamland Green",,,,,-,,1080 x 2460 pixels (~395 ppi density)
,,157.8 x 73.8 x 9.7 mm (6.21 x 2.91 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop6.jpg,Li-Ion 5000 mAh,,,,,Tecno Pop 6,BE7,,No,Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer",,,,,"2022, June 05",,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,,No,,LTE,Dual LED flash,LED flash,,About 120 EUR,,,IPS LCD,,,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"6.1 inches, 91.3 cm2(~78.4% screen-to-body ratio)",5 MP,"4.2, A2DP",FM radio,"microUSB 2.0, OTG",,5 MPQVGA,"Available. Released 2022, June 05",32GB 2GB RAM,,"Android 11 (Go edition), HiOS","Sea Blue, Lime Green, Sky Blue",,,,,-,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
,,164.2 x 75.6 x 8.4 mm (6.46 x 2.98 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark9-pro.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 9 Pro,"KH7, KH7n",,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,18W wired,,Mali-G52 MC2,"2022, June 02",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes (KH7n only),"50 MP, f/1.6, 27mm (wide), PDAF2 MP, f/2.4, (depth)QVGA, f/2.0",LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,,,,IPS LCD,,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 103.4 cm2(~83.3% screen-to-body ratio)","32 MP, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July","128GB 4GB RAM, 128GB 6GB RAM",,"Android 12, HIOS 8.6","Quantum Black, Burano Blue, Glacier White, Hacker Storm, Sport Edition, Kyanite Blue",,,,,-,,"1080 x 2408 pixels, 20:9 ratio (~403 ppi density)"
RGB notification light stripe on the back (Electric Blue model only),,173.1 x 78.5 x 9.4 mm (6.81 x 3.09 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova3.jpg,7000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova 3,LF7n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,33W wired10W reverse wired,,Mali-G52 MC2,"2022, May 25",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Quad-LED flash, HDR",Dual-LED flash,,About 150 EUR,,"8 MP, f/2.0","IPS LCD, 90Hz",,Mediatek MT6769H Helio G88 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.9 inches, 113.1 cm2(~83.2% screen-to-body ratio)","50 MP, (wide), PDAF0.08 MP (auxiliary lens)0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, May 25","64GB 4GB RAM, 128GB 6GB RAM",,"Android 11, HIOS","Electric Blue, Tech Silver, Eco Black",,,,,230 g (8.11 oz),,1080 x 2460 pixels (~389 ppi density)
,,160.3 x 78.8 x 10.9 mm (6.31 x 3.10 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop6go.jpg,Li-Ion 4000 mAh,,,,,Tecno Pop 6 Go,BE6j,,No,Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer",Yes,,,,"2022, May 25",,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,,No,,LTE,LED flash,LED flash,,About 100 EUR,,,IPS LCD,,,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"6.0 inches, 92.9 cm2(~73.5% screen-to-body ratio)",5 MP,"4.2, A2DP",FM radio,"microUSB 2.0, OTG",,"5 MP, f/2.2, AFQVGA","Available. Released 2022, May 25","16GB 1GB RAM, 32GB 2GB RAM",,"Android 11 (Go edition), HiOS","Ice-crystal Blue, Starfall Grey, Iris Purple, Gradation Sky Blue",,,,,-,,"480 x 960 pixels, 18:9 ratio (~179 ppi density)"
eMMC 5.1,,148 x 72.3 x 9.9 mm (5.83 x 2.85 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-5s-.jpg,Li-Ion 3020 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pop 5S,,,microSDXC,Tecno,,"HSPA 21.1/5.76 Mbps, LTE",,,"Accelerometer, proximity",,,,,"2022, February 07",,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,,No,,LTE,LED flash,LED flash,,About 60 EUR,,,IPS LCD,,,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"5.7 inches, 81.1 cm2(~75.8% screen-to-body ratio)",2 MP,"4.2, A2DP",FM radio,"microUSB 2.0, OTG",,5 MPQVGA,"Available. Released 2022, February 07",32GB 2GB RAM,,"Android 10 (Go edition), HiOS","Light Purple, Deep Blue",,,,,160 g (5.64 oz),,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)"
eMMC 5.1,,164.6 x 76 x 9 mm (6.48 x 2.99 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-8c.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 8C,"KG5k, KG5j, KG5n, MZ-TECNO KG5k",,microSDXC,Tecno,,"HSPA 21.1/5.76 Mbps, LTE",,,"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-G57 MP1,"2022, January 31",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes (market/region dependent),,LTE,"Dual-LED lash, HDR",LED flash,,,,,"IPS LCD, 90Hz",,Unisoc T606 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 104.6 cm2(~83.7% screen-to-body ratio)",8 MP,Yes,FM radio,"microUSB 2.0, OTG",,"13 MP, f/1.8, 27mm (wide)QVGA","Available. Released 2022, February","64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",,"Android 11 (Go edition), HiOS 7.6","Turquoise, Magnet Black, Iris Purple, Diamond Gray",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
eMMC 5.1,,166 x 75.9 x 8.5 mm (6.54 x 2.99 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-5x.jpg,Li-Ion 4000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pop 5X,,,microSDXC,Tecno,,HSPA 21.1/5.76 Mbps,,,"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-T820 MP1,"2022, January 27",Quad-core 1.4 GHz,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,8 MPQVGAQVGA,LTE,"LED flash, HDR",,,About 70 EUR,,,IPS LCD,,Unisoc SC9832E (28 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.52 inches, 102.6 cm2(~81.5% screen-to-body ratio)","5 MP, f/2.0",Yes,FM radio,"microUSB 2.0, OTG",,,"Available. Released 2022, January 27",32GB 2GB RAM,,"Android 10 (Go edition), HiOS","Cosmic Shine, Crystal Blue, Dazzle Black",,,,,150 g (5.29 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
Splash resistant,,164.9 x 76.1 x 9.5 mm (6.49 x 3.00 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop5-pro.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,eMMC 5.1,,Tecno Pop 5 Pro,"BD4j, BD4h",,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer",,,,PowerVR GE8320,"2022, January 19",Quad-core 2.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",LED flash,,About 100 EUR,,,"IPS LCD, 480 nits (peak)",,Mediatek MT6761 Helio A22 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.52 inches, 102.6 cm2(~81.8% screen-to-body ratio)","5 MP, f/2.0",Yes,FM radio,"microUSB 2.0, OTG",,8 MPQVGA,"Available. Released 2022, January 19",32GB 3GB RAM,,"Android 11 (Go edition), HiOS 7.6","Ice Blue, Deepsea Luster, Sky Cyan",,,,,-,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
eMMC 5.1,,169 x 76.8 x 8.8 mm (6.65 x 3.02 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark8-pro.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 8 Pro,"KG8, MZ-TECNO KG8, Mobile KG8",,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,33W wired,,Mali-G52 MC2,"2021, December 29",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"48 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)QVGA",LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,About 130 EUR,,,"IPS LCD, 500 nits (HBM)",,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~84.6% screen-to-body ratio)","8 MP, f/2.0, 26mm (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",NEG,,"Available. Released 2022, January 04","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM",,"Android 11, HIOS 7.6","Komodo Island, Interstellar Black, Winsor Violet",,,,,-,,1080 x 2460 pixels (~395 ppi density)
eMMC 5.1,,164.3 x 75.9 x 8.9 mm (6.47 x 2.99 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-8t.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 8T,KG6p,,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (rear-mounted), accelerometer, proximity",1080p@30fps,,,PowerVR GE8320,"2021, December 15",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"50 MP, f/1.6, (wide), PDAFQVGA",LTE,"Quad-LED flash, HDR, panorama",Dual-LED flash,,About 120 EUR,,,IPS LCD,,Mediatek MT6765G Helio G35 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 104.9 cm2(~84.1% screen-to-body ratio)","8 MP, f/2.0, 26mm (wide)",Yes,FM radio,Yes,,,"Available. Released 2021, December 15",64GB 4GB RAM,,"Android 11, HIOS 7.6","Atlantic Blue, Turquoise Cyan, Iris Purple, Cocoa Gold",,,,,-,,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)"
eMMC 5.1,,164.5 x 76 x 9 mm (6.48 x 2.99 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go-2022.jpg,5000 mAh,,,,,Tecno Spark Go 2022,"KG5, KG5h",,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (rear-mounted), accelerometer, proximity",,,,,"2021, December 29",Quad-core,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,LTE,"Dual-LED flash, panorama, HDR",LED flash,,About 90 EUR,,,IPS LCD,,,,Yes,,HSDPA 900 / 2100,"6.52 inches, 102.6 cm2(~82.1% screen-to-body ratio)","8 MP, f/2.0",Yes,FM radio,"microUSB 2.0, OTG",,"13 MP, f/1.8, 27mm (wide), AFQVGA","Available. Released 2021, December 29",32GB 2GB RAM,,"Android 11 (Go edition), HiOS 7.6","Turquoise Cyan, Iris Purple, Ice Silver, Atlantic Blue",,,,,199 g (7.02 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
UFS 3.1,,172.8 x 78.2 x 9.1 mm (6.80 x 3.08 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-5g-.jpg,6000 mAh,,,,,Tecno Pova 5G,LE8,,Unspecified,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer proximity","4K@30fps, 1080p@30/60fps",18W wired,,Mali-G68 MC4,"2021, December 27",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30/60fps",Yes,"50 MP, (wide), PDAF2 MPQVGA",LTE,"Quad-LED flash, panorama, HDR",Dual-LED flash,,About 270 EUR,,,"IPS LCD, 120Hz",,Mediatek Dimensity 900 (6 nm),,Yes,,HSDPA 850 / 900 / 1900 / 2100,"6.9 inches, 113.1 cm2(~83.7% screen-to-body ratio)","16 MP, (wide)",Yes,FM radio,Yes,,,"Available. Released 2021, December 27",128GB 8GB RAM,,"Android 11, HIOS 8.0",Aether Black,,,SA/NSA,,-,,1080 x 2460 pixels (~389 ppi density)
Splash resistant,,171.4 x 77.3 x 9.1 mm (6.75 x 3.04 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,eMMC 5.1,,Tecno Pova Neo,"LE6, LE6h",,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (rear-mounted), accelerometer, proximity",1080p@30fps,18W wired,,PowerVR GE8320,"2021, December 09",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Quad-LED flash, HDR, panorama","Dual-LED flash, HDR",,About 160 EUR,,,"IPS LCD, 480 nits",,Mediatek MT6762G Helio G25 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~82.9% screen-to-body ratio)","8 MP, f/2.0","5.0, A2DP, LE",FM radio,"microUSB 2.0, OTG",,"13 MP, f/1.8, (wide), AFSecondary unknown camera","Available. Released 2021, December 09","64GB 4GB RAM, 128GB 6GB RAM",,"Android 11, HIOS 7.6","Obsidian, Geek blue, Powehi",,,,,-,,720 x 1640 pixels (~263 ppi density)
,,168.9 x 76.7 x 8.9 mm (6.65 x 3.02 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-18t.jpg,5000 mAh,,,,,Tecno Camon 18T,,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,18W wired,,Mali-G52 MC2,"2021, November 30",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"48 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",LTE,"Dual-LED flash, panorama, HDR",Dual-LED flash,,About 150 EUR,,,"IPS LCD, 500 nits (typ)",,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~84.8% screen-to-body ratio)","48 MP, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2021, November 30",128GB 4GB RAM,,"Android 11, HIOS 8.0","Iris purple, Dusk Gray, Ceramic White",,,,,-,,1080 x 2460 pixels (~395 ppi density)
eMMC 5.1,,164.9 x 76.1 x 8.8 mm (6.49 x 3.00 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop5-lte.jpg,5000 mAh,,,,,Tecno Pop 5 LTE,"BD4, BD4i, BD4a",,microSDXC,Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (rear-mounted), accelerometer",,,,IMG8322,"2021, November 25",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,Dual-LED flash,LED flash,,About 80 EUR,,,IPS LCD,,Unisoc SC9863A (28 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.52 inches, 102.6 cm2(~81.8% screen-to-body ratio)",5 MP,Yes,FM radio,"microUSB 2.0, OTG",,8 MPSecondary unknown camera,"Available. Released 2021, November 25",32GB 2GB RAM,,"Android 11, HIOS 7.6","Ice Blue, Deepsea Luster, Turquoise Cyan",,,,,-,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
eMMC 5.1,,145.2 x 74.1 x 9.9 mm (5.72 x 2.92 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-5c.jpg,Li-Ion 2400 mAh,"Plastic frame, plastic back",,,,Tecno Pop 5c,,,microSDXC,Tecno,,HSPA 21.1/5.76 Mbps,,,"Accelerometer, proximity",Unspecified,,,Mali-400,"2021, November 12",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,,GSM 900 / 1800,Yes,Unspecified,No,,,LED flash,LED flash,,About 60 EUR,,2 MP,TFT LCD,,Unisoc SC7731e,,Wi-Fi 802.11 b/g,,HSDPA 900 / 2100,"5.0 inches, 68.9 cm2(~64.0% screen-to-body ratio)","5 MP, AF","4.2, A2DP, LE",FM radio,microUSB 2.0,,,"Available. Released 2021, November 12",16GB 1GB RAM,,"Android 10 (Go edition), HIOS","Lake Blue, Dark Blue",,,,,150 g (5.29 oz),,"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
eMMC 5.1,,164.5 x 76.5 x 8.9 mm (6.48 x 3.01 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-18i.jpg,5000 mAh,,,,,Tecno Camon 18i,CG6,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,18W wired,,Mali-G52 MC2,"2021, November 01",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"48 MP, (wide), AFQVGA",LTE,Quad-LED flash,Dual-LED flash,,About 150 EUR,,,"IPS LCD, 90Hz",,Mediatek MT6769Z Helio G85 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.6 inches, 103.4 cm2(~82.2% screen-to-body ratio)","16 MP, f/2.0","5.0, A2DP, LE",FM radio,"microUSB 2.0, OTG",,,"Available. Released 2021, November 01",128GB 4GB RAM,,"Android 11, HIOS 7.6","Deep Sea, Frost Silver, Tranquil Green",,,,,-,,720 x 1640 pixels (~271 ppi density)
eMMC 5.1,,164.5 x 76.1 x 8.9 mm (6.48 x 3.00 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-8p.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 8P,"KG7H, KG7, KG7n",,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,10W wired,,Mali-G52 2EEMC2 - Version 1PowerVR GE8320 - Version 2,"2021, October 13",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55) - Version 1Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - Version 2,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"50 MP, f/1.6, (wide), PDAF2 MP, f/2.4, (depth)VGA, f/2.0","1, 3, 7, 8, 20, 28","Quad-LED flash, HDR",Dual-LED flash,,About 100 EUR,,,IPS LCD,,Mediatek MT6769V Helio G70 (12 nm) - Version 1Mediatek MT6762D Helio P22 (12 nm) - Version 2,,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.9 cm2(~83.8% screen-to-body ratio)","8 MP, f/2.0, 26mm (wide)",Yes,FM radio,Yes,,,"Available. Released 2021, December 14","64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",,"Android 11, HIOS 7.6","Turquoise Cyan, Atlantic Blue, Iris Purple, Tahiti Gold",,,,,-,,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)"
UFS,,163.8 x 75.9 x 8.2 mm (6.45 x 2.99 x 0.32 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-18-premier-.jpg,4750 mAh,"Glass front, plastic frame, glass back",Endurance rating 112h,,,Tecno Camon 18 Premier,"CH9, CH9n",-26.2 LUFS (Good),microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",1080p@30fps,"33W wired, 64% in 30 min",,Mali-G57 MC2,"2021, October 04",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps, gyro-EIS",Yes,"64 MP, f/1.6, 26mm (wide), PDAF8 MP, f/3.5, 135mm (periscope telephoto), PDAF, 5x optical zoom12 MP, (ultrawide), gimbal OIS",LTE,"Quad-LED flash, panorama, HDR","Dual-LED flash, HDR",,About 390 EUR,422 nits max brightness (measured),,"AMOLED, 120Hz, 550 nits (typ)",,Mediatek MT6781 Helio G96 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.7 inches, 108.4 cm2(~87.2% screen-to-body ratio)","32 MP, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2021, October 11",256GB 8GB RAM,"AnTuTu: 293517 (v8), 346389 (v9)GeekBench: 1758 (v5.1)GFXBench: 12fps (ES 3.1 onscreen)","Android 11, HIOS 8.0","Polar night, Vast sky",,,,,200.6 g (7.09 oz),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)"
