,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
"Downloadable wallpapers, screensavers",,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,"2.0, A2DP",FM radio,Scratch-resistant glass,,,"Silver, Black, Gold Edition",,,Yes + Java downloadable,,Up to 2 h 45 min,,,,Yes,,,Nokia 8800 Sirocco,"107 x 45 x 17.5 mm, 68 cc (4.21 x 1.77 x 0.69 in)","SMS, EMS, MMS, EMail, Instant Messaging",,,"208 x 208 pixels, 1:1 ratio (~173 ppi density)",,,No,GSM,138 g (4.87 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",https://fdn2.gsmarena.com/vv/bigpic/nokia-8800-sirocco.gif,,,Stainless steel panelsMP3/AAC playerPredictive text inputOrganizerVoice dial,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 256K colors",,,128MB,,,,No,About 500 EUR,Up to 240 h,No,QCIF,,,Removable Li-Ion 700 mAh battery (BP-6X),"2006, September",Nokia,"1000 entries, Photo call",,,No,Class 8,,,,,Class 8,No,,No,2 MP,"1.7 inches, 31 x 31 mm, 9.3 cm2(~19.4% screen-to-body ratio)",,,,,,GSM 900 / 1800 / 1900,
"External 256K colors display, 160 x 128 pixelsDownloadable themes, wallpapers",,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,"2.0, A2DP",Stereo FM radio,,,,"Bronze Black, Powder Pink",,LED flash,"Music quiz, Snake, 3D race",,Up to 3 h (2G) / 2 h 30 min (3G),,,,"Yes, with stereo speakers",,,Nokia 7390,"90 x 47 x 19 mm, 76 cc (3.54 x 1.85 x 0.75 in)","SMS, MMS, Email",,UMTS 2100,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,Pop-Port,GSM / UMTS,115 g (4.06 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-7390.gif,,,,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 16M colors",,,21MB,"Yes, 384 kbps",,0.41 W/kg (head),MP3/AAC/M4A/eAAC+/AAC+ playerPredictive text inputOrganizerVoice memo/dial,About 210 EUR,Up to 220 h,microSD (dedicated slot),Yes,,0.26 W/kg (head)     0.29 W/kg (body),Removable Li-Ion (BP-5M),"2006, September",Nokia,"Yes, Photo call",,,No,,,,,,,No,VGA videocall camera,No,"3.15 MP, AF","2.3 inches, 16.4 cm2(~38.7% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
"180-degree rotator designDownloadable themes, wallpapers",,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,"2.0, A2DP",Stereo FM radio,,,,"Bronze Black, Powder Pink",,,"Sudoku, Music Guess",,Up to 2 h 30 min,,,,"Yes, with stereo speakers",,,Nokia 7373,"88 x 43 x 23 mm, 75 cc (3.46 x 1.69 x 0.91 in)","SMS, MMS, Email",,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,Pop-Port,GSM,104 g (3.67 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-7373.gif,,,No,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 256K colors",,,8MB,,,0.73 W/kg (head),2.5 MB free memory,About 150 EUR,Up to 250 h,microSD (dedicated slot),QCIF,,0.56 W/kg (head)     0.47 W/kg (body),Removable Li-Ion 700 mAh battery (BL-4B),"2006, September",Nokia,"1000 x 23 fields, Photo call",,,No,Class 10,MP3/AAC/M4A/eAAC+/AAC+ playerPush to talkPredictive text inputOrganizerVoice memo/dial,,,,Class 10,No,,No,2 MP,"2.0 inches, 30 x 40 mm, 12.4 cm2(~32.7% screen-to-body ratio)",,,,,,GSM 900 / 1800 / 1900,
"5-way navigation keyDownloadable wallpapers, screensavers",,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,"2.0, A2DP",Stereo FM radio,,,,Black,,,"Nokia World Cup, 3D Street Racer, 3D Snake   + Downloadable",,Up to 4 h 30 min (2G) / 3 h 30 min (3G),,,,"Yes, with stereo speakers",,,Nokia 6151,"108 x 47 x 19 mm, 88 cc (4.25 x 1.85 x 0.75 in)","SMS, MMS, EMail, Instant Messaging",,UMTS 2100,128 x 160 pixels (~114 ppi density),,,Pop-Port 2.0,GSM / UMTS,98 g (3.46 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6151.gif,,,Push to talkMP3/AAC/M4A stereo player3GPP/MP4 playerPredictive text inputOrganizerVoice memoVoice command,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 256K colors",,,30MB,"Yes, 384 kbps",,1.02 W/kg (head),No,About 120 EUR,Up to 340 h (2G) / 250 h (3G),microSD (dedicated slot),QCIF,,0.98 W/kg (head)     0.36 W/kg (body),Removable Li-Ion 1100 mAh battery (BP-6M),"2006, June",Nokia,"1000 entries, Photocall",,,No,,,,,,,No,,No,1.3 MP,"1.8 inches, 29 x 35 mm, 10.2 cm2(~20.1% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
GSM 850 / 1800 / 1900 - US version,,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,No,Stereo FM radio,,,,"Black, Gold",,,Yes  + Downloadable,,Up to 3 h 30 min,,,,Yes,,,Nokia 6080,105.4 x 44.3 x 18.6 mm (4.15 x 1.74 x 0.73 in),"SMS, MMS, Email, Instant Messaging",,,128 x 160 pixels (~115 ppi density),,,Pop-Port,GSM,91 g (3.21 oz),,,,,"Vibration; Downloadable polyphonic, MP3, monophonic ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6080.gif,,,No,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 65K colors",,,4.3MB,,,0.73 W/kg (head),"Downloadable wallpapers, screensavers",About 70 EUR,Up to 300 h,No,SQCIF,,1.06 W/kg (head)     0.46 W/kg (body),Removable Li-Ion 820 mAh battery (BL-5B),"2006, June",Nokia,"Yes, Photo call",,,No,Class 6,Push to talkVideo playerVoice memoVoice commandPredictive text inputOrganizer,,,,Class 10,No,,No,VGA,"1.78 inches, 10.0 cm2(~21.4% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
GSM 850 / 1900 - US version,,,,,,Mini-SIM,,,,,,,No,No,,,,Xpress-on covers,,,"3 - Snake Xenzia, Dice Games, Pocket Carrom",,Up to 5 h 20 min,,,,Yes,,,Nokia 1110i,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),"SMS, Instant Messaging",,,96 x 68 pixels,,,,GSM,80 g (2.82 oz),,,,,"Vibration; Polyphonic(20) ringtones, composer",https://fdn2.gsmarena.com/vv/bigpic/nokia-1110i.gif,,,No,,Discontinued,No,"10 dialed, 10 received, 10 missed calls",Monochrome graphic,,,4MB,,,0.85 W/kg (head),4-way scroll keyAnimated screensavers,About 40 EUR,Up to 380 h,No,,,1.21 W/kg (head)     1.19 W/kg (body),Removable Li-Ion 900 mAh battery (BL-5C),"2006, June",Nokia,200 entries,,,No,No,Predictive text inputChangeable Xpress-on coversPicture messagingSpeaking alarm and clockRemindersDemo mode for phoneStopwatch,,,Most major European and Asian,No,No,,No,,,,,,,,GSM 900 / 1800,
5-way joystick navigationDownloadable themes,,,,,,Mini-SIM,Up to 240 h,,,"WAP 2.0/xHTML, HTML",,,2.0,No,,,,"Silver, Black",,also available without camera,,,Up to 6 h 40 min,,,,Yes,,,Nokia E50,"113 x 43.5 x 15.5 mm, 70 cc (4.45 x 1.71 x 0.61 in)",,,,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",235 MHz ARM 9,,Pop-Port 2.0,GSM,104 g (3.67 oz),"Symbian OS 9.1, S60 3rd edition",,,,"Vibration; Downloadable polyphonic, monophonic, MP3, ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-e50.gif,,,"Push to talkWMV/RV/MP4/3GP playerMP3/WMA/WAV/RA/AAC/M4A playerDocument viewer (Word, Excel, PowerPoint, PDF)Blackberry connectivityPredictive text inputVoice command/memoOrganizer",,Discontinued,,,"TFT, 256K colors",,,70MB 32MB RAM,,,0.97 W/kg (head),No,About 150 EUR,Up to 215 h,microSD (dedicated slot),QCIF,,0.96 W/kg (head)     1.33 W/kg (body),Removable Li-Ion 970 mAh battery (BL-5C),"2006, May",Nokia,,Up to 8 h,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"2.1 inches, 31 x 42 mm, 13.7 cm2(~27.8% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
Dust and splash resistantFlashlight,,,,,,Mini-SIM,,,,"WAP 2.0/xHTML, HTML",,,2.0,Stereo FM radio,,,,Black and gray,,,,,Up to 4 h,,,,Yes,,,Nokia 5500 Sport,"107 x 45 x 18 mm, 77 cc (4.21 x 1.77 x 0.71 in)",,,,"208 x 208 pixels, 1:1 ratio (~173 ppi density)",235 MHz ARM 9,,Pop-Port 2.0,GSM,103 g (3.63 oz),"Symbian 9.1, Series 60 rel. 3.0",,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-5500s.gif,,,No,,Discontinued,,,"TFT, 256K colors",,,8MB 64MB RAM,,,0.50 W/kg (head),Downloadable themes,About 200 EUR,Up to 270 h,microSD (dedicated slot),QCIF,,0.53 W/kg (head)     0.92 W/kg (body),Removable Li-Ion 860 mAh battery (BL-5B),"2006, May",Nokia,,,,No,Class 10,"Sports tracking (stopwatch, steps calculator, calories burned)Text-to-speech capabilities to read SMS messages out loudAccelerometer sensor for tapping commands (music or voice feedback)Push to talkWMV/RV/MP4/3GP playerMP3/WMA/WAV/RA/AAC/M4A playerPredictive text inputVoice command/memoOrganizer",,,,Class 10,No,,No,2 MP,"1.7 inches, 31 x 31 mm, 9.3 cm2(~19.4% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
Second 65K colors display (128 x 36 pixels)Twist and rotating screenDownloadable themes,,,,,,Mini-SIM,,,,"WAP 2.0/xHTML, HTML",,,2.0,Stereo FM radio,,,,"Black, Silver",,"Carl Zeiss optics, LED flash",,,Up to 5 h (2G) / 3 h 42 min (3G),3D Graphics HW Accelerator,,,Yes,,,Nokia N93,"118 x 55.5 x 28.2 mm, 133 cc (4.65 x 2.19 x 1.11 in)",,,UMTS 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",332 MHz Dual ARM 11,,2.0,GSM / UMTS,180 g (6.35 oz),"Symbian OS 9.1, S60 3rd edition",,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-n93.gif,,,,,Discontinued,,,"TFT, 256K colors",,,50MB 64MB RAM,"Yes, 384 kbps",,0.54 W/kg (head),Video downloadUPnP technologyPush to talkWMV/RV/MP4/3GP playerMP3/WMA/WAV/RA/AAC/M4A playerPredictive text inputTV-outVoice command/memoOrganizerPrintingPhoto/video editor,About 440 EUR,Up to 240 h (2G) / 240 h (3G),"miniSD, 128 MB included",480p@30fps,,0.69 W/kg (head)     1.23 W/kg (body),Removable Li-Po 1100 mAh battery (BP-6M),"2006, April",Nokia,,,,Wi-Fi 802.11b/g,,,,,,,No,CIF videocall camera,No,"3.15 MP, 3x optical zoom, AF","2.4 inches, 36 x 48 mm, 17.8 cm2(~27.2% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
Downloadable themes,,,,,,Mini-SIM,,,,"WAP 2.0/xHTML, HTML",,,"2.0, A2DP (latest firmware)",Stereo FM radio,,,,"Silver Grey/Deep Plum, Frost White/Metallic Red, Black (Music Edition)",,"Carl Zeiss optics, LED flash",,,Up to 6 h (2G) / 3 h 46 min (3G),,,,"Yes, with stereo speakers",,,Nokia N73,110 x 49 x 19 mm (4.33 x 1.93 x 0.75 in),,,UMTS 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",220 MHz Dual ARM 9,,Pop-Port 2.0,GSM / UMTS,116 g (4.09 oz),"Symbian OS 9.1, S60 3rd edition",,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-n73.gif,,,,,Discontinued,,,"TFT, 256K colors",,,42MB 64MB RAM,"Yes, 384 kbps",,1.13 W/kg (head),"Push to talkVideo downloadWMV/RV/MP4/3GP playerMP3/WMA/WAV/RA/AAC/M4A playerPredictive text inputVoice command/dialOrganizerPrintingDocument viewer (Word, Excel, PowerPoint, PDF)Photo/video editor",About 100 EUR,Up to 350 h (2G) / 370 h (3G),miniSD,CIF,,1.22 W/kg (head)     0.69 W/kg (body),Removable Li-Ion 1100 mAh battery (BP-6M ),"2006, April. Released 2006, August",Nokia,,,,No,,,,,,,No,VGA videocall camera,No,"3.15 MP, AF","2.4 inches, 36 x 48 mm, 17.8 cm2(~33.1% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
Downloadable themes,,,,,,Mini-SIM,,,,"WAP 2.0/xHTML, HTML",,,2.0,Stereo FM radio,,,,"Gloss Black, Pearl Pink",,LED flash,,,Up to 3 h 35 min,,,,Yes,,,Nokia N72,109 x 53 x 21.8 mm (4.29 x 2.09 x 0.86 in),,,,176 x 208 pixels (~130 ppi density),220 MHz,,Pop-Port 2.0,GSM,124 g (4.37 oz),"Symbian OS 8.1, Series 60 UI 2.8",,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-n72.gif,,,Push to talkWMV/RV/MP4/3GP playerMP3/WAV/RA/AAC/M4A playerPredictive text inputVoice command/dialOrganizerPrinting,TI OMAP 1710,Discontinued,,,"TFT, 256K colors",,,20MB,,,0.76 W/kg (head),No,About 150 EUR,Up to 260 h,"RS-DV-MMC, 128 MB included",CIF,,0.40 W/kg (head)     0.69 W/kg (body),Removable Li-Ion 970 mAh battery (BL-5C),"2006, April",Nokia,,,,No,Class 10,,,,,Class 10,No,,No,2 MP,"2.1 inches, 14.0 cm2(~24.3% screen-to-body ratio)",,,,,,GSM 900 / 1800 / 1900,
GSM 850 / 1900 - US version,,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,No,No,,,,"Black, Brown",,,Coin Flipping + downloadable,,Up to 3 h,,,,Yes,,,Nokia 2610,104 x 43 x 18 mm (4.09 x 1.69 x 0.71 in),"SMS, MMS, Email, Instant Messaging",,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",,,No,GSM,91 g (3.21 oz),,,,,"Vibration; Polyphonic(24), MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-2610.gif,,,No,,Discontinued,"Yes, MIDP 2.0","10 dialed, 10 received, 10 missed calls","CSTN, 65K colors",,,3MB,,,0.68 W/kg (head),"4-way navi keyScreensavers, themes and wallpapers",About 50 EUR,Up to 300 h,No,,,1.10 W/kg (head)     0.84 W/kg (body),Removable Li-Ion 970 mAh battery (BL-5C),"2006, March",Nokia,300 entries,,,No,No,Predictive text inputVoice memoCalculatorCurrency converterExchangeable covers,,,Major European and Asia-Pacific languages,Yes,No,,No,,"1.6 inches, 8.3 cm2(~18.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
"Themes, wallpapers, screensavers",,,,,,Mini-SIM,,,,,,,No,FM radio,,,,"Red, Blue, White",,,"3 - Nature Park, Snake Xenia, Bounce",,Up to 6 h,,,,Yes,,,Nokia 2310,105.4 x 43.9 x 19.1 mm (4.15 x 1.73 x 0.75 in),SMS,,,"96 x 68 pixels, 4 lines (~78 ppi density)",,,No,GSM,85 g (3.00 oz),,,,,Vibration; Downloadable polyphonic ringtones,https://fdn2.gsmarena.com/vv/bigpic/nokia-2310.gif,,,Predictive text inputCalculatorStopwatchPicture messaging,,Discontinued,No,"10 dialed, 10 received, 10 missed calls","CSTN, 65K colors",,,4MB,,,0.64 W/kg (head),No,About 60 EUR,Up to 400 h,No,,,,Removable Li-Ion 970 mAh battery (BL-5C),"2006, March",Nokia,200 entries,,,No,No,,,,Most major European and Asian,No,No,,No,,"1.5 inches, 6.8 cm2(~14.8% screen-to-body ratio)",,,,,,GSM 900 / 1800,
GSM 850 / 1900 - US version,,,,,,Mini-SIM,,,,No,,,No,No,,,,"Red, Blue, Black",,,"3 - Snake Xenzia, Dice Games, Pocket Carrom",,Up to 5 h,,,,Yes,,,Nokia 1112,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),"SMS, EMS",,,96 x 68 pixels,,,No,GSM,80 g (2.82 oz),,,,,"Vibration; Polyphonic(20) ringtones, composer",https://fdn2.gsmarena.com/vv/bigpic/nokia-1112.gif,,,No,,Discontinued,No,"10 dialed, 10 received, 10 missed calls",Monochrome graphic,,,4MB,,,0.72 W/kg (head),4-way scroll key,About 50 EUR,Up to 380 h,No,,,1.03 W/kg (head)     0.62 W/kg (body),Removable Li-Ion 700 mAh battery (BL-5CA),"2006, March",Nokia,200 entries,,,No,No,Predictive text inputPicture messagingSpeaking alarm and clockRemindersDemo mode for phoneExchangeable covers,,,Most major European and Asian,No,No,,No,,,,,,,,GSM 900 / 1800,
Second external CSTN display 65K colors (96 x 65 pixels)Downloadable themes,,,,,,Mini-SIM,,,,WAP/xHTML,,,No,FM radio,,,,Black,,,Yes + downloadable,,Up to 3 h 20 min,,,,Yes,,,Nokia 6136,90 x 46 x 23 mm (3.54 x 1.81 x 0.91 in),"SMS, MMS, Email, Instant Messaging",,,128 x 160 pixels (~114 ppi density),,,Pop-Port,GSM,98 g (3.46 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6136.gif,,,No,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 256K colors",,,32MB,,,0.73 W/kg (head),8 MB of user memory available,About 110 EUR,Up to 240 h,microSD (dedicated slot),QCIF,,0.83 W/kg (head)     0.62 W/kg (body),Removable Li-Ion 820 mAh battery (BL-4C),"2006, February",Nokia,"Yes, Photo call",,,"Wi-Fi 802.11b/g, UMA",Class 10,Push to talkMP3/MP4/AAC/3GPP playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,,,Class 10,No,,No,1.3 MP,"1.8 inches, 29 x 35 mm, 10.2 cm2(~24.6% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
Second external display 256K colors (128 x 160 pixels)Downloadable themes,,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,Yes,FM radio,,,,Black,,,Yes + downloadable,,Up to 3 h 30 min,,,,Yes,,,Nokia 6133,92 x 48 x 20 mm (3.62 x 1.89 x 0.79 in),"SMS, MMS, Email, Instant Messaging",,,"240 x 320 pixels, 2.2 inch, 4:3 ratio (~182 ppi density)",,,"Proprietary,",GSM,102 g (3.60 oz),,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6133.gif,,,MP3/MP4/AAC playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 16M colors",,,11MB,,,0.76 W/kg (head),No,About 130 EUR,Up to 285 h,microSD (dedicated slot),Yes,,0.89 W/kg (head)     0.93 W/kg (body),Removable Li-Ion 820 mAh battery,"2006, October",Nokia,"500 entries, Photocall",,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"2.2 inches, 34 x 44 mm, 15.0 cm2(~33.9% screen-to-body ratio)",,,,,,GSM 850 / 900 / 1800 / 1900,
"Second external display256K colors, 1.36 inches, 128 x 160 pixelsDownloadable themes",,,,,,Mini-SIM,,Yes (payments),,,,,2.0,FM radio,,,,"Black, White, Red, Sand",,,3D Soccer and Snake + downloadable,,Up to 3 h 20 min,,,,Yes,,,Nokia 6131 NFC,92 x 47 x 20 mm (3.62 x 1.85 x 0.79 in),"SMS, MMS, Email, Instant Messaging",,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,Pop-Port,GSM,104 g (3.67 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-6131.gif,,,Push-to-open mechanismPush to talkMP3/MP4/AAC playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT LCD, 16M colors",,,11MB,,,0.96 W/kg (head),No,About 250 EUR,Up to 240 h,microSD (dedicated slot),Yes,,1.23 W/kg (head)     0.47 W/kg (body),"Li-Ion 860 mAh, removable (BL-4C)","2007, February. Released 2007, Q1",Nokia,"1000 x 15 fields, Photo call",,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"2.2 inches, 15.0 cm2(~34.7% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
"Second external display256K colors, 1.36 inches, 128 x 160 pixelsDownloadable themes",,,,,,Mini-SIM,,,,WAP/xHTML,,,2.0,FM radio,,,,"Black, White, Red, Sand",,,3D Soccer and Snake + downloadable,,Up to 3 h 20 min,,,,Yes,,,Nokia 6131,92 x 48 x 20 mm (3.62 x 1.89 x 0.79 in),"SMS, MMS, Email, Instant Messaging",,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,Pop-Port,GSM,112 g (3.95 oz),,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6131.gif,,,Push-to-open mechanismPush to talkMP3/MP4/AAC playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 16M colors",,,11MB,,,0.96 W/kg (head),No,About 120 EUR,Up to 240 h,microSD (dedicated slot),Yes,,1.23 W/kg (head)     0.47 W/kg (body),Removable Li-Ion 820 mAh battery (BL-4C),"2006, February",Nokia,"1000 x 15 fields, Photo call",,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"2.2 inches, 15.0 cm2(~33.9% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
Second external display 256K colors (128 x 160 pixels)Downloadable themes,,,,,,Mini-SIM,,,,WAP/xHTML,,,2.0,No,,,,"Black, White, Red, Sand",,,3D Soccer and Snake + downloadable,,Up to 3 h 20 min,,,,Yes,,,Nokia 6126,92 x 48 x 20 mm (3.62 x 1.89 x 0.79 in),"SMS, MMS, Email, Instant Messaging",,,"240 x 320 pixels, 2.2 inch, 4:3 ratio (~182 ppi density)",,,Pop-Port,GSM,112 g (3.95 oz),,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6126.gif,,,Push to talkMP3/MP4/AAC playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 16M colors",,,10MB,,,0.76 W/kg (head),No,About 120 EUR,Up to 240 h,microSD (dedicated slot),Yes,,0.89 W/kg (head)     0.93 W/kg (body),Removable Li-Ion 820 mAh battery (BL-4C),"2006, February",Nokia,"1000 x 15 fields, Photo call",,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"2.2 inches, 34 x 44 mm, 15.0 cm2(~33.9% screen-to-body ratio)",,,,,,GSM 850 / 900 / 1800 / 1900,
GSM 850 / 1800 / 1900 - US version,,,,,,Mini-SIM,,,,WAP 2.0/xHTML,,,No,Stereo FM radio,,,,Silver,,,Yes  + Downloadable,,Up to 3 h,,,,Yes,,,Nokia 6070,105.4 x 44.3 x 18.6 mm (4.15 x 1.74 x 0.73 in),"SMS, MMS, Email, Instant Messaging",,,128 x 160 pixels (~114 ppi density),,,Pop-Port,GSM,88 g (3.10 oz),,,,,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6070.gif,,,No,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","CSTN, 65K colors",,,3.2MB,,,0.73 W/kg (head),"Downloadable wallpapers, screensavers",About 90 EUR,Up to 300 h,No,Yes,,1.06 W/kg (head)     0.46 W/kg (body),Removable Li-Ion 760 mAh battery (BL-5B),"2006, February",Nokia,"Yes, Photo call",,,No,Class 6,Push to talkVideo playerVoice memoVoice commandPredictive text inputOrganizer,,,,Class 10,No,,No,VGA,"1.8 inches, 28 x 35 mm, 10.2 cm2(~21.8% screen-to-body ratio)",,,Yes,,,GSM 900 / 1800 / 1900,
Second external display 65K colors (96 x 65 pixels)5-way navi keyDownloadable themes,,,,,,Mini-SIM,,,,WAP/xHTML,,,2.0,FM radio,,,,Black,,,Yes + downloadable,,Up to 5 h,,,,Yes,,,Nokia 6125,90 x 46 x 23.6 mm (3.54 x 1.81 x 0.93 in),"SMS, MMS, Email, Instant Messaging",,,128 x 160 pixels (~114 ppi density),,,Pop-Port,GSM,98 g (3.46 oz),,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",https://fdn2.gsmarena.com/vv/bigpic/nokia-6125.gif,,,Push to talkAudio/video playerSyncMLPredictive text inputPresence enhanced contactsOrganizerVoice dial/memo,,Discontinued,"Yes, MIDP 2.0","20 dialed, 20 received, 20 missed calls","TFT, 256k colors",,,11MB,,,0.64 W/kg (head),No,About 130 EUR,Up to 280 h,microSD (dedicated slot),QCIF,,0.66 W/kg (head)     0.54 W/kg (body),Removable Li-Ion 820 mAh battery (BL-4C),"2006, Q1",Nokia,"Yes, Photo call",,,No,Class 10,,,,,Class 10,No,,No,1.3 MP,"1.8 inches, 29 x 35 mm, 10.2 cm2(~24.6% screen-to-body ratio)",,,Yes,,,GSM 850 / 900 / 1800 / 1900,
