,Positioning,Resolution,Type_1,Loudspeaker_1,Java,Triple,4G bands,Status,_3,Display,Video_1,128GB 4GB RAM,3.5mm jack,Battery (old),_2,Features_1,Quad,_1,Models,Performance,_4,Unspecified,256GB 8GB RAM,Protection,_6,Bluetooth,Music play,GPU,Chipset,OS,2G bands,Card slot,256GB,SAR EU,Single,Speed,GPRS,Weight,128GB 6GB RAM,CPU,Sensors,Size,Model Name,USB,512GB 12GB RAM,Browser,Price,Talk time,128GB 8GB RAM,EDGE,Battery (new),_5,64GB 4GB RAM,Internal,Stand-by,Video,Dual,Dimensions,Announced,Single_1,Dual_1,Audio quality,SIM,Radio,Camera,1TB 16GB RAM,Features,WLAN,Infrared port,Phonebook,Messaging,Keyboard,256GB 12GB RAM,Model Image,Call records,3G bands,Technology,Games,Brand,512GB 16GB RAM,SAR,Colors,Type,Charging,5G bands,Loudspeaker,Build,NFC
HSDPA 850 / 1900 / 2100,GPS,"480 x 854 pixels, 16:9 ratio (~218 ppi density)","Li-Ion 1730 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,"Y511-U30, Y511-U10",,,,,,,"4.0, A2DP, EDR",,Mali-400,Mediatek MT6572 (28 nm),Android 4.2 (Jelly Bean),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,3.15 MP,HSPA,,150 g (5.29 oz),,Dual-core 1.3 GHz Cortex-A7,"Accelerometer, proximity","4.5 inches, 55.8 cm2(~62.3% screen-to-body ratio)",Huawei Ascend Y511,microUSB 2.0,,,About 110 EUR,Up to 5 h,,,,,,4GB 512MB RAM,Up to 300 h,Yes,,132.8 x 67.4 x 10.5 mm (5.23 x 2.65 x 0.41 in),"2013, October. Released 2013, November",VGA,,,"Dual SIM (Mini-SIM, dual stand-by)",FM radio,,,,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-y511.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
HSDPA 850 / 1900 / 2100,GPS,"480 x 800 pixels, 5:3 ratio (~217 ppi density)","Li-Ion 1700 mAh, removable",,,,,Discontinued,,,,,Yes,,No,,,eMMC 4.5,,,,,,,,"3.0, A2DP",,Adreno 305,Qualcomm MSM8230 Snapdragon 400 (28 nm),Microsoft Windows Phone 8,GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,0.69 W/kg (head)     0.58 W/kg (body),5 MP,HSPA,,160 g (5.64 oz),,Dual-core 1.4 GHz Krait,"Accelerometer, proximity","4.3 inches, 52.6 cm2(~58.6% screen-to-body ratio)",Huawei Ascend W2,microUSB 2.0,,,About 150 EUR,Up to 9 h 30 min,,,,,,8GB 512MB RAM,Up to 395 h,720p@30fps,,134 x 67 x 9.9 mm (5.28 x 2.64 x 0.39 in),"2013, November. Released 2013, December",,,,Yes,No,,,,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/Huawei-Ascend-W2.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,"Black, Blue, Red, Yellow",IPS LCD,,,Yes,,No
No,No,"320 x 240 pixels, 4:3 ratio (~167 ppi density)","Li-Ion 1050 mAh, removable",,Yes,,,Discontinued,,,,,Yes,,,,,MP3/WAV playerMP4/H.263 playerOrganizerPredictive text input,,,,,,,,"2.1, A2DP",,,Mediatek MT6250,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),microSDHC (dedicated slot),,,1.3 MP,,Yes,89.9 g (3.14 oz),,260 MHz,,"2.4 inches, 17.8 cm2(~26.3% screen-to-body ratio)",Huawei G6153,microUSB,,,About 40 EUR,,,Yes,,,,"16MB ROM, 8MB RAM",,Yes,,113 x 60 x 11.5 mm (4.45 x 2.36 x 0.45 in),"2013, Q3. Released 2013, Q3",,,,"Dual SIM (Mini-SIM, dual stand-by)",FM radio,,,,Wi-Fi 802.11 b/g (optional),,Yes,"SMS, MMS",QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/huawei-g6153.jpg,Yes,,GSM,Yes,Huawei,,,"White, Black","TFT, 256K colors",,,Yes,,No
GSM 850 / 1900 - SIM 1 & SIM 2,No,128 x 160 pixels (~114 ppi density),"Li-Ion 600 mAh, removable",,,,,Discontinued,,,,,Yes,,MP3/MP4 player,,,No,,,,,,,,No,,,Mediatek MT6250M,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,,,Yes,80 g (2.82 oz),,,,"1.8 inches, 10.2 cm2(~20.8% screen-to-body ratio)",Huawei G3621L,microUSB,,,About 20 EUR,Up to 2 h 20 min,,No,,,,"3MB ROM, 4MB RAM",Up to 300 h,,,109 x 45 x 13.5 mm (4.29 x 1.77 x 0.53 in),"2013, Q2. Released 2013, Q2",,,,"Dual SIM (Mini-SIM, dual stand-by)",FM radio (optional),,,,No,,Yes,SMS,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-g3621.jpg,Yes,,GSM,No,Huawei,,,"Black, Red","TFT, 256K colors",,,Yes,,No
,GPS,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Li-Ion 2150 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,"G700-U10, G700-U20",,,,,,,"4.0, A2DP",,PowerVR SGX544,Mediatek MT6589 (28 nm),Android 4.2 (Jelly Bean),GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,"8 MP, AF",HSPA 42.2/5.76 Mbps,,155 g (5.47 oz),,Quad-core 1.2 GHz Cortex-A7,"Accelerometer, proximity, compass","5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",Huawei Ascend G700,microUSB 2.0,,,About 190 EUR,,,,,,,8GB 2GB RAM,,1080p@30fps,,142.5 x 72.8 x 9 mm (5.61 x 2.87 x 0.35 in),2013. Released 2013,1.3 MP,,,"Dual SIM (Mini-SIM, dual stand-by)","FM radio, RDS",,,LED flash,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g700.jpg,,HSDPA 900 / 2100 - SIM 1,GSM / HSPA,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
,GPS,"540 x 960 pixels, 16:9 ratio (~220 ppi density)","Li-Ion 2150 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,"G610-U00, G610-U20",,,,,,,Yes,,PowerVR SGX544,Mediatek MT6589 (28 nm),Android 4.2 (Jelly Bean),GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,0.39 W/kg (head),"5 MP, AF",HSPA 7.2/5.76 Mbps,,170 g (6.00 oz),,Quad-core 1.2 GHz Cortex-A7,"Accelerometer, proximity","5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",Huawei G610s,microUSB 2.0,,,About 150 EUR,,,,,,,4GB 1GB RAM,,720p,,142 x 73.6 x 9.9 mm (5.59 x 2.90 x 0.39 in),"2013, July. Released 2013, August",VGA,,,Dual SIM (Mini-SIM),FM radio,,,LED flash,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-g610s.jpg,,HSDPA 900 / 2100 - SIM 1,GSM / HSPA,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
No,GPS,"320 x 480 pixels, 3:2 ratio (~165 ppi density)","Li-Ion, removable",,,,,Discontinued,,,,,Yes,,,,,,,,,,,,,"3.0, A2DP",,Adreno 200,Qualcomm MSM7225A Snapdragon S1,Android 4.0 (Ice Cream Sandwich),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,3.15 MP,HSPA,,-,,1.0 GHz Cortex-A5,"Accelerometer, proximity","3.5 inches, 36.5 cm2(~50.2% screen-to-body ratio)",Huawei U8687 Cronos,microUSB 2.0,,,About 50 EUR,,,,,,,4GB 512MB RAM,,Yes,,117.1 x 62 x 12.5 mm (4.61 x 2.44 x 0.49 in),"2013, November. Released 2013, November",,,,Mini-SIM,FM radio,,,,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-u8687-cronos.jpg,,HSDPA 850 / 1700 / 1900 / 2100 - USA model,GSM / HSPA,,Huawei,,1.00 W/kg (head)     0.56 W/kg (body),Black,TFT,,,Yes,,No
,GPS,"540 x 960 pixels, 16:9 ratio (~245 ppi density)","Li-Ion 1700 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,G525-U00,,,,,,,"2.0, A2DP, EDR",,Adreno 203,Qualcomm MSM8225Q Snapdragon S4 Play,Android 4.1 (Jelly Bean),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,"5 MP, AF",HSPA 7.2/5.76 Mbps,,155 g (5.47 oz),,Quad-core 1.2 GHz Cortex-A5,"Accelerometer, proximity","4.5 inches, 55.8 cm2(~62.4% screen-to-body ratio)",Huawei Ascend G525,microUSB 2.0,,,About 160 EUR,Up to 5 h 50 min,,,,,,4GB 1GB RAM,Up to 340 h,Yes,,134 x 66.8 x 9.9 mm (5.28 x 2.63 x 0.39 in),2013. Released 2013,VGA,,,Dual SIM (Mini-SIM),FM radio,,,,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g525.jpg,,HSDPA 900 / 2100 - SIM 1,GSM / HSPA,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Po 4100 mAh, non-removable",,,,,Discontinued,,,,,Yes,,,,,,,,,,,,,Yes,,,,Android 4.1.2 (Jelly Bean),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,3.15 MP,HSPA 21.1/5.76 Mbps,,350 g (12.35 oz),,Dual-core 1.6 GHz Cortex-A9,Accelerometer,"7.0 inches, 137.9 cm2(~59.1% screen-to-body ratio)",Huawei MediaPad 7 Youth,microUSB 2.0,,,About 150 EUR,,,,,,,8GB 1GB RAM,,Yes,,193.4 x 120.6 x 9.9 mm (7.61 x 4.75 x 0.39 in),"2013, July. Released 2013, August",,,,MIni-SIM,No,,,,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-7-youth.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,Black/Silver,TFT,,,Yes,,No
,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Po 4100 mAh, non-removable",Voice 64dB / Noise 72dB / Ring 67dB,,,,Discontinued,,Contrast ratio: 945:1 (nominal) / 2.504:1 (sunlight),,,Yes,Endurance rating 62h,,,,,,,,,,,,"3.0, A2DP, EDR",,Vivante GC4000,Huawei K3V2,"Android 4.1 (Jelly Bean), EMUI 1.5",GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,3.15 MP,HSPA 42.2/5.76 Mbps,,335 g (11.82 oz),,Quad-core 1.2 GHz Cortex-A9,"Accelerometer, proximity","7.0 inches, 137.9 cm2(~58.7% screen-to-body ratio)",Huawei MediaPad 7 Vogue,"microUSB 2.0, OTG",,,About 180 EUR,Up to 20 h (multimedia),,,,,,8GB 1GB RAM,,Yes,,193.8 x 121.3 x 9.5 mm (7.63 x 4.78 x 0.37 in),"2013, June. Released 2013, July",VGA,,Noise -87.7dB / Crosstalk -86.4dB,Mini-SIM,No,Photo/Video,,,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-7-vogue.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
GSM 900 / 1800 / 1900  - SIM 1 - for ChinaCDMA - SIM 2 - for China,"GPS, GLONASS","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Li-Po 2000 mAh, non-removable",Voice 64dB / Noise 66dB / Ring 75dB,,,,Discontinued,,Contrast ratio: 1080:1 (nominal) / 1.865:1 (sunlight),720p,,Yes,Endurance rating 46h,,,,CDMA2000 1xEV-DO - for China,"P6-U06, P6",,,,,Corning Gorilla Glass,,"3.0, A2DP, EDR, LE",,Vivante GC4000,Huawei K3V2,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat), EMUI 1.6",GSM 850 / 900 / 1800 / 1900 - international version,microSDXC (uses shared SIM slot) - dual SIM model only,,0.64 W/kg (head),"8 MP, f/2.0, AF","HSPA 21.1/5.76 Mbps, EV-DO Rev. A 3.1 Mbps (version for China)",,120 g (4.23 oz),,Quad-core 1.5 GHz Cortex-A9,"Accelerometer, gyro, proximity, compass, temperature","4.7 inches, 60.9 cm2(~70.1% screen-to-body ratio)",Huawei Ascend P6,"microUSB 2.0, OTG",,,About 230 EUR,Up to 28 h (2G) / Up to 14 h 30 min (3G),,,,,,"8GB 2GB RAM, 16GB 2GB RAM",Up to 416 h (2G) / Up to 315 h (3G),1080p@30fps,,132.7 x 65.5 x 6.2 mm (5.22 x 2.58 x 0.24 in),"2013, June. Released 2013, June",5 MP,,,"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",FM radio,Photo/Video,,"LED flash, HDR","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-p6-ofic.jpg,,HSDPA 850 / 900 / 1700 / 1900 / 2100 - international version,GSM / HSPA / EVDO,,Huawei,,,"Black, White, Pink",IPS+ LCD,,,Yes,,No
HSDPA 850 / 1900 / 2100 - Y300-0151 model,GPS,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Li-Ion 1730 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,"Y300-0100, Y300-0151",,,,,Scratch-resistant glass,,"2.1, A2DP, EDR",,Adreno 203,Qualcomm MSM8225 Snapdragon S4 Play,Android 4.1 (Jelly Bean),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,0.75 W/kg (head)     0.77 W/kg (body),"5 MP, AF",HSPA 7.2/5.76 Mbps,,130 g (4.59 oz),,Dual-core 1.0 GHz Cortex-A5,"Accelerometer, proximity","4.0 inches, 45.5 cm2(~57.3% screen-to-body ratio)",Huawei Ascend Y300,microUSB 2.0,,,About 90 EUR,Up to 5 h (2G) / Up to 5 h (3G),,,,,,4GB 512MB RAM,Up to 320 h (2G) / Up to 320 h (3G),480p@30fps,,124.5 x 63.8 x 11.2 mm (4.90 x 2.51 x 0.44 in),"2013, March. Released 2013, March",VGA,,,Mini-SIM,FM radio,,,LED flash,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-y300.jpg,,HSDPA 900 / 2100 - Y300-0100 model,GSM / HSPA,,Huawei,,0.82 W/kg (head)     1.02 W/kg (body),"Black, White",IPS LCD,,,Yes,,No
,GPS,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Li-Ion 1650 mAh, removable",,,,"2, 4",Discontinued,,,720p,,Yes,,,,,,,,,,,Corning Gorilla Glass,,"3.0, A2DP",,Adreno 225,Qualcomm MSM8960 Snapdragon S4 Plus,Android 4.0 (Ice Cream Sandwich),CDMA 850 / 1700 / 1900,microSDHC (dedicated slot),,,"5 MP, AF",LTE,No,140 g (4.94 oz),,Dual-core 1.5 GHz Krait,"Accelerometer, proximity, compass","4.0 inches, 45.5 cm2(~56.2% screen-to-body ratio)",Huawei Premia 4G M931,microUSB 2.0,,,About 120 EUR,Up to 6 h,,No,,,,4GB 1GB RAM,Up to 150 h,Yes,,126 x 64.3 x 12.2 mm (4.96 x 2.53 x 0.48 in),"2013, March. Released 2013, March",1.3 MP,,,Mini-SIM,No,,,LED flash,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-premia-4g.jpg,,,CDMA / LTE,,Huawei,,,Black,TFT,,,Yes,,No
HSDPA 850 / 1900 / 2100 - Y210-0251 model,GPS,"320 x 480 pixels, 3:2 ratio (~165 ppi density)","Li-Ion 1700 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,No,"Y210-0251, Y210-0200",,,,,,,"2.1, EDR",,Adreno 200,Qualcomm MSM7225A Snapdragon S1,Android 2.3.6 (Gingerbread),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,0.78 W/kg (head)     1.15 W/kg (body),2 MP,HSPA 7.2/0.384 Mbps,,120 g (4.23 oz),,1.0 GHz Cortex-A5,Accelerometer,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Huawei Ascend Y210D,microUSB 2.0,,,About 70 EUR,,,,,,,512MB 256MB RAM,,480p@30fps,,117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in),"2013, March. Released 2013, March",,,,"Dual SIM (Mini-SIM, dual stand-by)",No,,,,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-y210d.jpg,,HSDPA 900 / 2100 - Y210-0200 model,GSM / HSPA,,Huawei,,,Black,"TFT, 256K colors",,,Yes,,No
,"GPS, GLONASS","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Li-Ion 2420 mAh, removable",,,,LTE,Discontinued,,,720p@30fps,,Yes,,,,,,,,,,,Corning Gorilla Glass 2,,"4.0, A2DP, EDR, LE",,Vivante GC4000,Huawei K3V2,"Android 4.1.2 (Jelly Bean), EMUI 1.6",GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, AF","HSPA, LTE Cat4 150/50 Mbps",,122 g (4.30 oz),,Quad-core 1.5 GHz Cortex-A9,"Accelerometer, gyro, proximity, compass","4.7 inches, 60.9 cm2(~67.0% screen-to-body ratio)",Huawei Ascend P2,microUSB 2.0,,,About 210 EUR,,,,,,,16GB 1GB RAM,Up to 310 h (3G),"1080p@30fps, HDR",,136.2 x 66.7 x 8.4 mm (5.36 x 2.63 x 0.33 in),"2013, February. Released 2013, April",1.3 MP,,,Micro-SIM,FM radio,,,"LED flash, HDR","Wi-Fi 802.11 b/g/n, dual band, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-p2.jpg,,HSDPA 900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, White",IPS LCD,,,Yes,,Yes
,"GPS, GLONASS","720 x 1280 pixels, 16:9 ratio (~330 ppi density)","Li-Po 2150 mAh, removable",,,,,Discontinued,,,720p,,Yes,,,,,,G615-U10,,,,,,,"3.0, A2DP",,Vivante GC4000,Huawei K3V2,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,0.69 W/kg (head),"8 MP, AF",HSPA 21.1/5.76 Mbps,,145 g (5.11 oz),,Quad-core 1.4 GHz Cortex-A9,"Accelerometer, gyro, proximity, compass","4.5 inches, 54.5 cm2(~60.2% screen-to-body ratio)",Huawei Ascend G615,microUSB 2.0,,,About 250 EUR,Up to 11 h,,,,,,8GB 1GB RAM,Up to 360 h,1080p@30fps,,134 x 67.5 x 10.5 mm (5.28 x 2.66 x 0.41 in),"2013, January. Released 2013, March",1.3 MP,,,Mini-SIM,No,,,Dual-LED flash,"Wi-Fi 802.11 b/g/n, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/ascend-g615.jpg,,HSDPA 850 / 900 / 1700 / 1900 / 2100,GSM / HSPA,,Huawei,,,"Metallic black, Ceramic white",Super IPS+ LCD,,,"Yes, with stereo speakers",,No
GSM 850 / 1800 / 1900 - G526-L33,GPS,"540 x 960 pixels, 16:9 ratio (~245 ppi density)","Li-Ion 1950 mAh, removable",,,,"3, 7, 20 - G526-L11",Discontinued,"3, 7 - G526-L22",,,,Yes,,HSDPA 850 / 1700 / 1900 / 2100 - G526-L33,,,HSDPA 850 / 900 / 2100 - G526-L22,"G526-L11, G526-L22, G526-L33",,LTE 1700 / 2100 / 2600 - G526-L33,,,,,"3.0, A2DP",,,,Android 4.1 (Jelly Bean),"GSM 850 / 900 / 1800 / 1900 - G526-L11, G526-L22",microSDHC (dedicated slot),,,"5 MP, AF",HSPA 21.1/5.76 Mbps,,150 g (5.29 oz),,Quad-core 1.2 GHz,"Accelerometer, proximity, compass","4.5 inches, 55.8 cm2(~61.5% screen-to-body ratio)",Huawei Ascend G526,microUSB 2.0,,,About 260 EUR,Up to 8 h 20 min (2G) / Up to 3 h 40 min (3G),,,,,,4GB 1GB RAM,Up to 648 h (2G) / Up to 336 h (3G),720p@30fps,,134.5 x 67.5 x 9.9 mm (5.30 x 2.66 x 0.39 in),"2013, February. Released 2013, July",VGA,,,Micro-SIM,FM radio,,,LED flash,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g526-new.jpg,,HSDPA 900 / 2100 - G526-L11,GSM / HSPA / LTE,,Huawei,,,"Black, White",IPS LCD,,,Yes,,No
HSDPA 850 / 1900 / 2100,GPS,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Li-Ion 1730 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2m,,,,,,,,"2.1, A2DP, EDR",,Adreno 203,Qualcomm MSM8225 Snapdragon S4 Play,Android 4.1 (Jelly Bean),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,"5 MP, AF",HSPA 7.2/5.76 Mbps,,140 g (4.94 oz),,Dual-core 1.0 GHz Cortex-A5,"Accelerometer, proximity, compass (optional)","4.0 inches, 45.5 cm2(~55.8% screen-to-body ratio)",Huawei Ascend G350,microUSB 2.0,,,About 170 EUR,,,,,,,4GB 512MB RAM,,720p,,125.2 x 65.2 x 12 mm (4.93 x 2.57 x 0.47 in),"2013, February. Released 2013, April",VGA,,,Mini-SIM,FM radio,,,LED flash,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g350.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,"Black, Black/Red, Black/Green",IPS LCD,,,Yes,,No
,GPS,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Li-Ion 1500 mAh, removable",,,,,Discontinued,,,,,Yes,,,,,,,,,,,,,"3.0, A2DP",,,,Android 4.0 (Ice Cream Sandwich),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,0.97 W/kg (head),"5 MP, AF",HSPA,,140 g (4.94 oz),,1.4 GHz,Accelerometer,"4.0 inches, 45.5 cm2(~59.5% screen-to-body ratio)",Huawei Ascend G312,microUSB 2.0,,,About 180 EUR,,,,,,,"4GB (2GB user available), 1GB RAM",,Yes,,122.5 x 62.5 x 10.5 mm (4.82 x 2.46 x 0.41 in),"2012, Q3. Released 2012, Q4",VGA,,,Mini-SIM,FM radio,,,LED flash,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g312-u8681-u8680.jpg,,HSDPA 850 / 1700 / 1900 / 2100,GSM / HSPA,,Huawei,,,Black,"TFT, 256K colors",,,Yes,,No
HSDPA 850 / 1700 / 1900 / 2100,"GPS, GLONASS","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Li-Ion 1950 mAh, removable",,,,,Discontinued,,,,,Yes,,OneDrive (15 GB cloud storage)MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerPhoto viewer,,,eMMC 4.5,,,,,,,,"2.1, A2DP, EDR",,Adreno 305,Qualcomm MSM8230 Snapdragon 400 (28 nm),Microsoft Windows Phone 8,GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,,"5 MP, AF",HSPA 21.1/5.76 Mbps,,130 g (4.59 oz),,Dual-core 1.2 GHz Krait,"Accelerometer, proximity","4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",Huawei Ascend W1,microUSB 2.0,,,About 160 EUR,Up to 8 h (2G) / Up to 10 h 30 min (3G),,,,,,4GB 512MB RAM,Up to 460 h (2G) / Up to 470 h (3G),720p@30fps,,124.5 x 63.7 x 10.5 mm (4.90 x 2.51 x 0.41 in),"2013, January. Released 2013, January",VGA,,,Mini-SIM,No,,,LED flash,Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-w1.jpg,,HSDPA 900 / 2100,GSM / HSPA,,Huawei,,,"Blue, red, black, white",IPS LCD,,,Yes,,No
,GPS,"720 x 1280 pixels, 16:9 ratio (~241 ppi density)","Li-Ion 4050 mAh, non-removable",Voice 67dB / Noise 66dB / Ring 75dB,,,,Discontinued,,"Contrast ratio: 1053 (nominal), 1.845 (sunlight)",720p@30fps,,Yes,Endurance rating 81h,,,,,MT1-U06,,,,,Corning Gorilla Glass,,"4.0, A2DP, EDR, LE",,Vivante GC4000,Huawei K3V2,"Android 4.1 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean), EMUI 1.5",GSM 850 / 900 / 1800 / 1900,"Yes, up to 64 GB (dedicated slot)",,,"8 MP, AF",HSPA 42.2/5.76 Mbps,,198 g (6.98 oz),,Quad-core 1.5 GHz Cortex-A9,"Accelerometer, gyro, proximity, compass","6.1 inches, 102.6 cm2(~73.2% screen-to-body ratio)",Huawei Ascend Mate,"microUSB 2.0, OTG",,,About 230 EUR,Up to 50 h (2G) / Up to 23 h (3G),,,,,,8GB 2GB RAM,Up to 1100 h (2G) / Up to 1072 h (3G),1080p@30fps,,163.5 x 85.7 x 9.9 mm (6.44 x 3.37 x 0.39 in),"2013, January. Released 2013, March",1 MP,,Noise -86.8dB / Crosstalk -84.7dB,Micro-SIM,Stereo FM radio,Photo/Video,,"LED flash, HDR","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-mate-new.jpg,,HSDPA 850 / 900 / 1700 / 1900 / 2100,GSM / HSPA,,Huawei,,,"Crystal Black, Pure White",IPS+ LCD,,,Yes,,No
IP57 dust/water resistant (up to 1m. and 30 min),GPS,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Li-Ion 3000 mAh, removable",,,,,Discontinued,,,720p@30fps,,Yes,,,,,,,,,,,Corning Gorilla Glass,,"4.0, A2DP, EDR, LE",,Vivante GC4000,Huawei K3V2,Android 4.1 (Jelly Bean),GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, AF",HSPA 42.2/5.76 Mbps,,170 g (6.00 oz),,Quad-core 1.5 GHz Cortex-A9,"Accelerometer, gyro, proximity, compass","5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",Huawei Ascend D2,microUSB 2.0,,,About 310 EUR,,,,,,,32GB 2GB RAM,Up to 144 h,1080p@30fps,,140 x 71 x 9.4 mm (5.51 x 2.80 x 0.37 in),"2013, January. Released 2013, March",1.3 MP,,,Micro-SIM,FM radio,,,"LED flash, HDR","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-d2-new.jpg,,HSDPA 850 / 900 / 2100,GSM / HSPA,,Huawei,,,"Crystal Blue, Pure White",IPS LCD,,,Yes,,No
