EDGE,,Weight,_4,SIM,4G bands,Audio quality,Browser,Loudspeaker_1,Model Name,Status,Dimensions,Card slot,USB,NFC,Models,Video,Video_1,Speed,Display,Sensors,Colors,GPU,Type,Chipset,WLAN,Talk time,Features_1,_2,Keyboard,Camera,_1,Stand-by,Features,Price,Single,Loudspeaker,Resolution,OS,3G bands,Technology,Charging,SAR EU,Performance,3.5mm jack,Music play,Talk time_1,Announced,Brand,Radio,_3,Positioning,Bluetooth,CPU,SAR,Internal,Model Image,GPRS,2G bands,Announced_1,Type_1,Single_1,Battery (old),Size,Protection
,HSDPA 850 / 1900,126 g (4.44 oz),,Mini-SIM,,,HTML5,,Acer Allegro,Discontinued,116 x 59 x 13 mm (4.57 x 2.32 x 0.51 in),No,microUSB 2.0,,,Yes,,HSPA,,"Accelerometer, proximity, compass","Black, White",Adreno 205,TFT,Qualcomm MSM8255 Snapdragon S2,"Wi-Fi 802.11 b/g/n, DLNA",Up to 6 h,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerVoice memoPredictive text input,,,No,,,About 140 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",Microsoft Windows Phone 7.5 Mango,HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2011, October. Released 2011, November",Acer,No,,"GPS, A-GPS","2.1, A2DP, EDR",1.0 GHz Scorpion,,8GB,https://fdn2.gsmarena.com/vv/bigpic/acer-allego.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1300 mAh battery,,,"3.6 inches, 36.9 cm2(~53.9% screen-to-body ratio)",
,Touch sensitive controlsAcer UI,138 g (4.87 oz),,Mini-SIM,,,,,Acer Liquid Express E320,Discontinued,115 x 60.8 x 13.4 mm (4.53 x 2.39 x 0.53 in),"microSDHC (dedicated slot), 2 GB included",microUSB 2.0,Region specific,,Yes,,HSPA,,"Accelerometer, proximity",Black,Adreno 200,"TFT, 256K colors",Qualcomm MSM7227T-1 Snapdragon S1,"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h (2G) / Up to 6 h 40 min (3G),,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerDocument viewerVoice memoPredictive text input,,,No,Up to 400 h (2G) / Up to 480 h (3G),LED flash,About 90 EUR,"5 MP, AF",Yes,"320 x 480 pixels, 16:9 ratio (~210 ppi density)",Android 2.3 (Gingerbread),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2011, September. Released 2011, November",Acer,"Stereo FM radio, RDS",,"GPS, A-GPS","2.1, A2DP, EDR",800MHz ARM 11,,"512MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-c6-liquid-express.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion battery,,,"3.5 inches, 33.8 cm2(~48.3% screen-to-body ratio)",
,Acer UI,777 g (1.71 lb),,Mini-SIM,,,"HTML, Adobe Flash",,Acer Iconia Tab A501,Discontinued,260 x 177 x 13.3 mm (10.24 x 6.97 x 0.52 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0",,,Yes,,HSPA 21.1/5.76 Mbps,,"Accelerometer, gyro, proximity, compass",Black,ULP GeForce,"LCD, 256K colors",Nvidia Tegra 2 T20,"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h,,,,,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,Up to 400 h,LED flash,About 490 EUR,"5 MP, AF","Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.0 (Honeycomb), upgradable to 3.2 (Honeycomb)",HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2011, February. Released 2011, April",Acer,No,,"GPS, A-GPS","2.1, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/Acer-IconiaTab-A500-Tablet-new.jpg,,GSM 850 / 900 / 1800 / 1900,,Non-removable Li-Po 3260 mAh battery (24.1 Wh),2 MP,,"10.1 inches, 295.8 cm2(~64.3% screen-to-body ratio)",
No,Acer UI,730 g (1.61 lb),,No,,,"HTML, Adobe Flash",,acer iconia tab a500-3907 ,Discontinued,260 x 177 x 13.3 mm (10.24 x 6.97 x 0.52 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0",,,Yes,,,,"Accelerometer, gyro, proximity",Black,ULP GeForce,"LCD, 256K colors",Nvidia Tegra 2 T20,"Wi-Fi 802.11 b/g/n, hotspot",Up to 6 h,,,,,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,Up to 200 h,LED flash,About 200 EUR,"5 MP, AF","Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.0, upgradable to 4.0 (Ice Cream Sandwich)",,No cellular connectivity,,,,Yes,,,"2011, February. Released 2011, April",Acer,No,,GPS,"2.1, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,"16GB 1GB RAM, 32GB 1GB RAM",,No,N/A,"2011, February. Released 2011, April",Non-removable Li-Po 3260 mAh battery,2 MP,,"10.1 inches, 295.8 cm2(~64.3% screen-to-body ratio)",
,HSDPA 850 / 1900 / 2100 - American version,185 g (6.53 oz),,Mini-SIM,,,"HTML, Adobe Flash",,Acer Iconia Smart,Discontinued,141.7 x 64.5 x 13.6 mm (5.58 x 2.54 x 0.54 in),microSDHC (dedicated slot),microUSB 2.0,,,720p@30fps,,HSPA 14.4/5.76 Mbps,,"Accelerometer, gyro, proximity",Silver,Adreno 205,TFT,Qualcomm MSM8255-1 Snapdragon S2,"Wi-Fi 802.11 b/g/n, UPnP, DLNA, hotspot",Up to 11 h (2G) / Up to 8 h (3G),,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,,Acer UI 4.2,Up to 450 h (2G) / Up to 500 h (3G),LED flash,About 220 EUR,"8 MP, AF",Yes,480 x 1024 pixels (~236 ppi density),Android 2.3 (Gingerbread),HSDPA 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2011, February. Released 2011, August",Acer,"Stereo FM radio, RDS",,"GPS, A-GPS","2.1, A2DP, EDR",1.0 GHz Scorpion,,8GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-smart-new.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Po 1500 mAh battery,2 MP,,"4.8 inches, 57.1 cm2(~62.5% screen-to-body ratio)",Corning Gorilla Glass
,Acer UI,470 g (1.04 lb),,Mini-SIM,,,"HTML, Adobe Flash",,acer iconia tab a101-3906 ,Discontinued,195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in),microSDHC (dedicated slot),microUSB 2.0,,,720p@30fps,,HSPA 21.1/5.76 Mbps,,"Accelerometer, gyro, compass","Black/Red, Black/Blue",ULP GeForce,LCD,Nvidia Tegra 2 T20,"Wi-Fi 802.11 b/g/n, hotspot",,,,,,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,,LED flash,About 260 EUR,"5 MP, AF","Yes, with stereo speakers","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 3.2 (Honeycomb),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2011, February. Released 2011, May",Acer,No,,"GPS, A-GPS","2.1, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,"8GB 1GB RAM, 16GB 1GB RAM",,,GSM 850 / 900 / 1800 / 1900,"2011, February. Released 2011, May",Non-removable Li-Po 1530 mAh battery,2 MP,,"7.0 inches, 137.9 cm2(~60.4% screen-to-body ratio)",
No,Acer UI,450 g (0.99 lb),,No,,,"HTML, Adobe Flash",,acer iconia tab a100-3841 ,Discontinued,195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in),microSDHC (dedicated slot),microUSB 2.0,,,720p@30fps,,,,"Accelerometer, gyro, compass","Black/Red, Black/Blue",ULP GeForce,LCD,Nvidia Tegra 2 T20,"Wi-Fi 802.11 b/g/n, hotspot",,,,,,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,,LED flash,About 100 EUR,"5 MP, AF","Yes, with stereo speakers","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 3.0, upgradable to 4.0 (Ice Cream Sandwich)",,No cellular connectivity,,,,Yes,,,"2011, February. Released 2011, April",Acer,No,,GPS,"2.1, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,"8GB 1GB RAM, 16GB 1GB RAM",,No,N/A,"2011, February. Released 2011, April",Non-removable Li-Po 1530 mAh battery,2 MP,,"7.0 inches, 137.9 cm2(~60.4% screen-to-body ratio)",
,HSDPA 850 / 1900 - American version,108 g (3.81 oz),,Mini-SIM,,,HTML,,Acer Liquid mini E310,Discontinued,110.4 x 57.5 x 13 mm (4.35 x 2.26 x 0.51 in),"microSDHC (dedicated slot), 2 GB included",microUSB 2.0,,,480p@30fps,,HSPA 7.2/0.384 Mbps,,"Accelerometer, proximity, compass","blue, pink, silver, black, green, lagoon, cherry, pearl, steel",Adreno 200,"TFT, 256K colors",Qualcomm MSM7227-1 Snapdragon S1,"Wi-Fi 802.11 b/g, DLNA, hotspot",Up to 8 h (2G) / Up to 6 h 30 min (3G),,No,,,Touch sensitive controlsAcer UI,Up to 400 h (2G) / Up to 480 h (3G),,About 120 EUR,5 MP,Yes,"320 x 480 pixels, 3:2 ratio (~180 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2011, January. Released 2011, April",Acer,"Stereo FM radio, RDS",MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerVoice memoPredictive text input,"GPS, A-GPS","2.1, A2DP, EDR",600 MHz ARM 11,,"512MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-liquidmini.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1300 mAh battery,,,"3.2 inches, 30.5 cm2(~48.0% screen-to-body ratio)",
,HSDPA 850 / 1900,109 g (3.84 oz),,Mini-SIM,,,HTML,,Acer beTouch E210,Discontinued,116 x 63 x 12 mm (4.57 x 2.48 x 0.47 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA 7.2/2 Mbps,,"Accelerometer, compass","Black, White",Adreno 200,"TFT resistive touchscreen, 256K colors",Qualcomm MSM7227 Snapdragon S1,"Wi-Fi 802.11 b/g, hotspot",,,No,QWERTY,,Optical trackpad,,,About 150 EUR,3.15 MP,Yes,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Android 2.2 (Froyo),HSDPA 900 / 2100,GSM / HSPA,,0.92 W/kg (head),,Yes,,,"2011, January. Released 2011, Q2",Acer,Stereo FM radio,MP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerDocument viewerVoice memoPredictive text input,"GPS, A-GPS","2.1, A2DP, EDR",600 MHz ARM 11,0.92 W/kg (head)     0.88 W/kg (body),"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-e210.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1300 mAh battery,,,"2.6 inches, 20.9 cm2(~28.6% screen-to-body ratio)",
,No,95 g (3.35 oz),,Mini-SIM,,,HTML,,Acer beTouch E140,Discontinued,104.5 x 55.8 x 12.8 mm (4.11 x 2.20 x 0.50 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA 7.2/2 Mbps,,"Accelerometer, compass",Black,Adreno 200,"TFT resistive touchscreen, 256K colors",Qualcomm MSM7227 Snapdragon S1,"Wi-Fi 802.11 b/g, hotspot",Up to 6 h (2G) / Up to 5 h (3G),,,,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memoPredictive text input,Up to 400 h (2G) / Up to 500 h (3G),,About 110 EUR,3.15 MP,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 2.2 (Froyo),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, December. Released 2010, December",Acer,"Stereo FM radio, RDS",,"GPS, A-GPS","2.1, A2DP, EDR",600 MHz ARM 11,,"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/Acer-beTouch-E140-ofic.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1300 mAh battery,,,"2.8 inches, 24.3 cm2(~41.6% screen-to-body ratio)",
Class 10,TD-SCDMA,130 g (4.59 oz),,Mini-SIM,,,HTML,,acer betouch t500-3587 ,Discontinued,118.5 x 58 x 13.5 mm (4.67 x 2.28 x 0.53 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,TD-SCDMA,,Accelerometer,Black,,TFT,,Wi-Fi 802.11 b/g,,,No,,,,,,About 70 EUR,3.15 MP,Yes,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android-based OPhone 1.5,,GSM,,,,No,,,"2010, October. Released 2010, Q4",Acer,No,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memo/dialPredictive text input,"GPS, A-GPS","2.1, A2DP",,,"256MB RAM, 512MB",,Class 10,GSM 900 / 1800 / 1900,"2010, October. Released 2010, Q4",Removable Li-Ion 1500 mAh battery,,,"3.2 inches, 30.5 cm2(~44.4% screen-to-body ratio)",
,Acer UI 4.0 Breeze,135 g (4.76 oz),,Mini-SIM,,,"HTML, Adobe Flash",,Acer Liquid mt,Discontinued,115 x 63 x 13.5 mm (4.53 x 2.48 x 0.53 in),microSDHC (dedicated slot),microUSB 2.0,,,720p@30fps,,HSPA 14.4/2 Mbps,,"Accelerometer, proximity, compass",Silver,Adreno 205,TFT,Qualcomm MSM7230,"Wi-Fi 802.11 b/g/n, UPnP, hotspot",Up to 11 h (2G) / Up to 8 h (3G),,MP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerDocument viewerVoice memo/dialPredictive text inputMusic recognition,,,No,Up to 450 h (2G) / Up to 550 h (3G),LED flash,About 70 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",Android 2.2 (Froyo),HSDPA 850 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2010, October. Released 2010, November",Acer,No,,"GPS, A-GPS","2.1, A2DP",800 MHz Scorpion,,"512MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-metal-ofic.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1500 mAh battery,,,"3.6 inches, 36.9 cm2(~50.9% screen-to-body ratio)",
,HSDPA 850 / 1900,109 g (3.84 oz),,Mini-SIM,,,HTML,,Acer beTouch E130,Discontinued,115 x 62.5 x 11.5 mm (4.53 x 2.46 x 0.45 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA 3.6/0.384 Mbps,,"Accelerometer, compass","Black, White",,"TFT, 65K colors",ST Ericsson PNX6715,Wi-Fi 802.11 b/g,Up to 6 h,,No,QWERTY,,Optical trackpad,Up to 600 h,,About 90 EUR,3.15 MP,Yes,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Android 1.6 (Donut),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, June. Released 2010, August",Acer,"Stereo FM radio, RDS",MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerDocument viewerVoice memoPredictive text input,"GPS, A-GPS","2.0, A2DP",416 MHz,,"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-130-ofic.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1500 mAh battery,,,"2.6 inches, 20.9 cm2(~29.1% screen-to-body ratio)",
,HSDPA 850 / 1900,105 g (3.70 oz),,Mini-SIM,,,HTML,,Acer beTouch E120,Discontinued,104.5 x 54 x 13.2 mm (4.11 x 2.13 x 0.52 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA 3.6/0.384 Mbps,,"Accelerometer, compass","Black, White",,TFT,,Wi-Fi 802.11 b/g,Up to 6 h,,"Acer Spinlets, Acer UrFooz appsAcer web widgetsAcer multimedia menuMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input",,,No,Up to 600 h,,About 70 EUR,3.15 MP,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 1.6 (Donut),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, June. Released 2010, Q3",Acer,"Stereo FM radio, RDS",,"GPS, A-GPS","2.0, A2DP","ST Ericsson PNX6715, 416 MHz",,"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-e120.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1500 mAh battery,,,"2.8 inches, 24.3 cm2(~43.0% screen-to-body ratio)",
,HSDPA 900 / 1900 / 2100,140 g (4.94 oz),,Mini-SIM,,,HTML,Voice 63dB / Noise 65dB / Ring 75dB,Acer Stream,Discontinued,119.5 x 63 x 11.2 mm (4.70 x 2.48 x 0.44 in),"microSDHC (dedicated slot), 8 GB included",microUSB 2.0,,,720p@24fps,,HSPA 7.2/2 Mbps,,"Accelerometer, proximity, compass",Black,Adreno 200,AMOLED,Qualcomm QSD8250 Snapdragon S1,"Wi-Fi 802.11 b/g/n, DLNA & UPnP technology",Up to 5 h (3G),,Dedicated music keys,,Photo,No,Up to 400 h (3G),,About 130 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",Android 2.1 (Eclair),HSDPA 850 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2010, May. Released 2010, August",Acer,"Stereo FM radio, RDS",Micro HDMI portDedicated search keyMP3/WAV/WMA/eAAC+ playerMP4/Xvid/WMV/H.264 playerDocument viewerVoice memoPredictive text input,"GPS, A-GPS","2.1, A2DP",1.0 GHz Scorpion,,2GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-stream-ofic.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1400 mAh battery,,,"3.7 inches, 39.0 cm2(~51.8% screen-to-body ratio)",
,Acer UI 3.0,135 g (4.76 oz),,Mini-SIM,,,"HTML, Adobe Flash",,Acer Liquid E,Discontinued,115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in),microSDHC (dedicated slot),miniUSB,,,480p@20fps,,HSPA 7.2/2 Mbps,,"Accelerometer, proximity","Black, White, Red, Ferrari edition",Adreno 200,"TFT, 256K colors",Qualcomm QSD8250 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 5 h,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerDocument viewerVoice memoPredictive text input,,,No,Up to 400 h,,About 90 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~267 ppi density)","Android 2.1 (Eclair), upgradable to Android 2.2 (Froyo)",HSDPA 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2010, February. Released 2010, August",Acer,No,,"GPS, A-GPS","2.0, A2DP",768 MHz Scorpion,,"512MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e-new.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1350 mAh battery,,,"3.5 inches, 34.9 cm2(~48.5% screen-to-body ratio)",
,HSDPA 850 / 900 / 2100,125 g (4.41 oz),,Mini-SIM,,,"WAP 2.0/xHTML, HTML",,Acer neoTouch P400,Discontinued,115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in),microSD (dedicated slot),2.0,,,Yes,,HSPA,,"Accelerometer, compass",Black,Adreno 200,"TFT resistive touchscreen, 256K colors",Qualcomm MSM7227 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 5 h,,Acer applicationsMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memo,,,No,Up to 400 h,,About 100 EUR,"3.15 MP, AF",Yes,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Microsoft Windows Mobile 6.5.3 Professional,HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, February. Released 2010, May",Acer,Stereo FM radio,,"GPS, A-GPS","2.1, A2DP",600 MHz ARM 11,,"256MB RAM, 512MB ROM",https://fdn2.gsmarena.com/vv/bigpic/acer-neotouch-p400.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Po 1090 mAh battery,,,"3.2 inches, 30.5 cm2(~44.7% screen-to-body ratio)",
,HSDPA 850 / 900 / 2100,125 g (4.41 oz),,Mini-SIM,,,HTML,,Acer beTouch E400,Discontinued,115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in),microSD (dedicated slot),2.0,,,Yes,,HSPA 3.6/0.384 Mbps,,"Accelerometer, compass","Soft-touch Black, Ceramic White and Pearl Red with 3 exchangeable battery covers",Adreno 200,"TFT resistive touchscreen, 256K colors",Qualcomm MSM7227 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 5 h,,No,,,Digital compassAcer UI,Up to 400 h,,About 80 EUR,"3.15 MP, AF",Yes,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android 2.1 (Eclair),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, February. Released 2010, April",Acer,Stereo FM radio,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input,"GPS, A-GPS","2.0, A2DP",600 MHz ARM 11,,"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-e400.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Po 1090 mAh battery,,,"3.2 inches, 30.5 cm2(~44.7% screen-to-body ratio)",
,No,130.6g (4.59 oz),,Mini-SIM,,,HTML,,Acer neoTouch P300,Discontinued,110 x 55 x 15.1 mm (4.33 x 2.17 x 0.59 in),microSD (dedicated slot),2.0,,,Yes,,HSPA 7.2/2 Mbps,,Accelerometer,Black,No,"TFT resistive touchscreen, 65K colors",Qualcomm MSM7225 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 4 h,,,QWERTY,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input,Up to 400 h,,About 80 EUR,"3.15 MP, AF",Yes,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Microsoft Windows Mobile 6.5.3,HSDPA 2100,GSM / HSPA,,,,Yes,,,"2010, February. Released 2010, Q2",Acer,No,,"GPS, A-GPS","2.0, A2DP",528 MHz ARM 11,,"256MB RAM, 512MB ROM",https://fdn2.gsmarena.com/vv/bigpic/acer-p300.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Po 970 mAh battery,,,"3.2 inches, 29.1 cm2(~48.2% screen-to-body ratio)",
,HSDPA 850 / 1900,105 g (3.70 oz),,Mini-SIM,,,HTML,,Acer beTouch E110,Discontinued,103.5 x 54 x 13.4 mm (4.07 x 2.13 x 0.53 in),microSD (dedicated slot),2.0,,,Yes,,HSPA 3.6/0.384 Mbps,,,"Black, Dark Blue",,"TFT resistive touchscreen, 256K colors (65K effective)",,No,,,Acer web widgetsAcer multimedia menuMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input,,,No,,,About 70 EUR,3.15 MP,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 1.5 (Cupcake),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2010, February. Released 2010, March",Acer,Stereo FM radio,,"GPS, A-GPS","2.0, A2DP",ST Ericsson PNX6715 416MHz,,"256MB RAM, 256MB",https://fdn2.gsmarena.com/vv/bigpic/acer-e110.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1500 mAh battery,,,"2.8 inches, 24.3 cm2(~43.4% screen-to-body ratio)",
,Acer UI 3.0,135 g (4.76 oz),,Mini-SIM,,Noise -82.3dB / Crosstalk -80.3dB,HTML,Voice 72dB / Noise 72dB / Ring 83dB,Acer Liquid,Discontinued,115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in),microSDHC (dedicated slot),miniUSB,,,480p@20fps,,HSPA 7.2/2 Mbps,,"Accelerometer, proximity","Black, White, Red",Adreno 200,"TFT, 256K colors",Qualcomm QSD8250 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 5 h,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerVoice memoPredictive text input,,Photo,No,Up to 400 h,,About 90 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Android 1.6 (Donut),HSDPA 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2009, October. Released 2009, December",Acer,No,,"GPS, A-GPS","2.0, A2DP",768 MHz Scorpion,1.11 W/kg (head)     0.35 W/kg (body),"256MB RAM, 512MB",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-new.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1350 mAh battery,,,"3.5 inches, 34.9 cm2(~48.5% screen-to-body ratio)",
,Acer UI 3.0,130 g (4.59 oz),,Mini-SIM,,Noise -84.1dB / Crosstalk -81.8dB,HTML,Voice 58dB / Noise 59dB / Ring 69dB,Acer neoTouch,Discontinued,118.6 x 63 x 12 mm (4.67 x 2.48 x 0.47 in),microSDHC (dedicated slot),miniUSB,,,480p,,HSPA 7.2/5.76 Mbps,,"Accelerometer, proximity",Black,Adreno 200,"TFT resistive touchscreen, 65K colors",Qualcomm QSD8250 Snapdragon S1,Wi-Fi 802.11 b/g,Up to 5 h,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Flikr integrationPocket OfficeVoice memoPredictive text input,,Photo,,Up to 400 h,LED flash,About 210 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",Microsoft Windows Mobile 6.5 Professional,HSDPA 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2009, October. Released 2009, October",Acer,"Stereo FM radio, RDS",,"GPS, A-GPS","2.1, A2DP",1.0 GHz Scorpion,1.23 W/kg (head)     0.72 W/kg (body),"256MB RAM, 512MB ROM",https://fdn2.gsmarena.com/vv/bigpic/acer-neo-touch-new.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Po 1350 mAh battery,,,"3.8 inches, 41.1 cm2(~55.0% screen-to-body ratio)",
