,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
HSDPA 850 / 2100 - D150i,,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",,About 70 EUR,,"Li-Ion 1280 mAh, removable",,Up to 17 h (2G) / Up to 6 h 20 min (3G),480p@15fps,,PowerVR SGX531,microSDHC (dedicated slot),Mediatek MT6575 (40 nm),,,,GSM / HSPA,"2012, December. Released 2012, December",TFT,Android 2.3 (Gingerbread),,,,BLU,,,,,Stereo FM radio,1.0 GHz Cortex-A9,,,Up to 850 h (2G) / Up to 540 h (3G),105 g (3.70 oz),,"Dual SIM (Mini-SIM, dual stand-by)",512MB 256MB RAM,1.3 MP,,"3.2 inches, 31.7 cm2(~54.4% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash-32.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Dash 3.2,HSDPA 850 / 1900 - D150a,HSPA 7.2/5.76 Mbps,Yes,"3.0, EDR",,"Black, White, Pink, Blue",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,104 x 56 x 13 mm (4.09 x 2.20 x 0.51 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3  (Q333W only),,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Downloadable,,Yes,"Li-Ion 750 mAh, removable",Yes,Up to 10 h,Yes,Analog TVSNS appsMP3/AAC+/WAV/WMA playerMP4/H.264 playerDocument viewerPredictive Text Input,,microSDHC (dedicated slot),,Yes,,,GSM,"2012, November. Released 2013, January","TFT, 256K colors",,,,,BLU,,,,,FM radio,,,Class 12,Up to 500 h,90 g (3.17 oz),,Triple SIM (Mini-SIM),"128MB ROM, 64MB RAM",1.3 MP,,"2.4 inches, 17.8 cm2(~24.6% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-brooklyn.jpg,microUSB,,Class 12,BLU Brooklyn,,,Yes,"3.0, A2DP",,"Blue, Pink, Silver, Dark grey",,Wi-Fi 802.11 b/g,No,No,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Push Email, IM",,115 x 63 x 12 mm (4.53 x 2.48 x 0.47 in)
HSDPA 850 / 2100 - D930i,,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",,About 210 EUR,,"Li-Ion 1600 mAh, removable",,Up to 20 h 40 min (2G) / Up to 9 h 20 min (3G),720p@30fps,,PowerVR SGX531u,microSDHC (dedicated slot),Mediatek MT6577T (40 nm),,,,GSM / HSPA,"2012, December. Released 2013, January",Super AMOLED,Android 4.0 (Ice Cream Sandwich),1.3 MP,,,BLU,,,,,Stereo FM radio,Dual-core 1.2 GHz Cortex-A9,,,Up to 450 h (2G) / Up to 300 h (3G),130 g (4.59 oz),,"Dual SIM (Mini-SIM, dual stand-by)",4GB 1GB RAM,"8 MP, AF",,"4.65 inches, 59.6 cm2(~63.1% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-465.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Vivo 4.65 HD,HSDPA 850 / 1900 - D930a,HSPA 7.2/5.76 Mbps,Yes,3.0,,Black,,Wi-Fi 802.11 b/g,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,135 x 70 x 8.6 mm (5.31 x 2.76 x 0.34 in)
HDMI port,,"1024 x 768 pixels, 4:3 ratio (~132 ppi density)",,About 180 EUR,,"Li-Ion 6000 mAh, non-removable",,Up to 15 h,480p@30fps,,Mali-400,microSDHC (dedicated slot),Rockchip 3066,,,,No cellular connectivity,"2012, November. Released 2012, November",LED-backlit IPS LCD,Android 4.0 (Ice Cream Sandwich),2 MP,,,BLU,,,,,No,Dual-core 1.5 GHz Cortex-A9,,No,Up to 720 h,430 g (15.17 oz),,No,4GB 1GB RAM,"2 MP, AF",,"9.7 inches, 291.4 cm2(~66.2% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-tb-971.jpg,microUSB,"Accelerometer, gyro, proximity, compass",No,BLU Touch Book 9.7,,,Yes,3.0,,Black,,"Wi-Fi 802.11 a/b/g/n, dual-band",GPS,No,,,,N/A,,,238 x 185 x 10 mm (9.37 x 7.28 x 0.39 in)
,,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,About 70 EUR,,"Li-Ion 3500 mAh, non-removable",,Up to 35 h (2G) / Up to 25 h (3G),480p@30fps,,Adreno 200,microSDHC (dedicated slot),Qualcomm MSM7227A Snapdragon S1,,,,GSM / HSPA,"2012, September. Released 2012, October",TFT,Android 4.0 (Ice Cream Sandwich),VGA,,,BLU,,,,,Stereo FM radio,1.0 GHz Cortex-A5,,,Up to 1100 h (2G) / Up to 1000 h (3G),388 g (13.69 oz),,Mini-SIM,512MB 512MB RAM,3.15 MP,,"7.0 inches, 139.5 cm2(~59.0% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-tb-7-plus1.jpg,microUSB,"Accelerometer, gyro, proximity, compass",,BLU Touch Book 7.0 Plus,HSDPA 850 / 1900 / 2100,HSPA 7.2/5.76 Mbps,Yes,"3.0, A2DP",,Black,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,,197 x 120 x 13 mm (7.76 x 4.72 x 0.51 in)
No,,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,About 70 EUR,,"Li-Ion 3000 mAh, non-removable",,,Yes,,Mali-400,microSDHC (dedicated slot),,,,,No cellular connectivity,"2012, September. Released 2012, November",TFT,Android 4.0 (Ice Cream Sandwich),,,,BLU,,,,,Stereo FM radio,1.2 GHz Cortex-A8,,No,Up to 200 h,340 g (11.99 oz),,No,4GB 512MB RAM,VGA,,"7.0 inches, 139.5 cm2(~59.9% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-tb-7-lite1.jpg,miniUSB,Accelerometer,No,BLU Touch Book 7.0 Lite,,,Yes,No,,"Black, White",,"Wi-Fi 802.11 a/b/g/n, dual-band",GPS,No,,,,N/A,,,194 x 120 x 10 mm (7.64 x 4.72 x 0.39 in)
HSDPA 850 / 2100 - D171i,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,About 70 EUR,,"Li-Ion 1300 mAh, removable",,Up to 15 h (2G) / Up to 10 h (3G),Yes,MP3/AAC/WMA/WAV playerDivX/XviD/MP4/H.264/WMV playerDocument viewer/editorPhoto viewer/editor,Mali-400,microSDHC (dedicated slot),Mediatek MT6572M (28 nm),,,,GSM / HSPA,"2012, September. Released 2012, September",TFT,Android 4.2 (Jelly Bean),,,,BLU,,,,,Stereo FM radio,Dual-core 1.0 GHz Cortex-A7,,,Up to 700 h (2G) / Up to 500 h (3G),110 g (3.88 oz),,"Dual SIM (Mini-SIM, dual stand-by)",512MB 256MB RAM,3.15 MP,,"3.5 inches, 36.5 cm2(~51.2% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash-35.jpg,microUSB 2.0,Accelerometer,,BLU Dash 3.5,HSDPA 850 / 1900 - D171a; 900 / 2100 - D171b,HSPA 7.2/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White",,"Wi-Fi 802.11 b/g/n, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,115 x 62 x 11.5 mm (4.53 x 2.44 x 0.45 in)
HSDPA 850 / 2100 - D430b,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",,About 130 EUR,,Removable Li-Ion 1600 mAh battery,,Up to 20 h (2G) / Up to 10 h (3G),480p@30fps,,Adreno 200,microSDHC (dedicated slot),Qualcomm MSM7227A Snapdragon S1,,,,GSM / HSPA,"2012, July. Released 2012, August",IPS LCD,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",VGA,,,BLU,,,,,"Stereo FM radio, RDS",1.0 GHz Cortex-A5,,,Up to 550 h (2G) / Up to 500 h (3G),137 g (4.83 oz),,"Dual SIM (Mini-SIM, dual stand-by)",1GB 512MB RAM,"5 MP, AF",,"3.8 inches, 41.1 cm2(~57.1% screen-to-body ratio)",Yes,MP3/AAC/WMA/WAV playerDivX/XviD/MP4/H.264/WMV playerOrganizerDocument viewer/editorPhoto viewer/editorVoice memo/dial/commandsPredictive text input (Swype),Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-elite-38.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Elite 3.8,HSDPA 850 / 1900 - D430a,HSPA 7.2/5.76 Mbps,Yes,"3.0, A2DP",,"Black, White",,"Wi-Fi 802.11 b/g/n, hotspot","GPS, A-GPS",,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,120 x 60 x 11.3 mm (4.72 x 2.36 x 0.44 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (D130 only),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,About 70 EUR,,Removable Li-Ion 1110 mAh battery,,Up to 20 h (2G) / Up to 10 h (3G),Yes,,PowerVR SGX531,microSDHC (dedicated slot),Mediatek MT6573 (65 nm),,,,GSM / HSPA,"2011, December. Released 2012, March","TFT, 256K colors",Android 2.3 (Gingerbread),Yes,,,BLU,,,,,Stereo FM radio,650 MHz Cortex-A9,,,Up to 800 h (2G) / Up to 600 h (3G),96 g (3.39 oz),,Dual SIM (Mini-SIM),512MB 256MB RAM,2 MP,,"2.8 inches, 24.3 cm2(~42.1% screen-to-body ratio)",Yes,MP3/AAC/WMA/WAV playerDivX/XviD/MP4/H.264/WMV playerOrganizerDocument viewer/editorPhoto viewer/editorVoice memo/dial/commandsPredictive text input (Swype),Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Dash,HSDPA 850 / 1900,HSPA 7.2/5.76 Mbps,Yes,"3.0, EDR",,"Black, Blue, White, Pink",,Wi-Fi 802.11 b/g/n,GPS,,,,,GSM 850 / 900 / 1800 / 1900,,,103 x 56 x 12 mm (4.06 x 2.20 x 0.47 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (S190 only),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Downloadable,About 40 EUR,Yes,Removable Li-Ion 950 mAh battery,Yes,Up to 12 h,Yes,"Analog TVFacebook, TwitterMP3/AAC/WMA/WAV playerMP4/H.264/WMV playerOrganizerPredictive text input",,microSDHC (dedicated slot),,No,,,GSM,"2011, November. Released 2011, December","TFT resistive touchscreen, 256K colors",,,,,BLU,,,,,Stereo FM radio,,,No,Up to 600 h,90 g (3.17 oz),,Dual SIM (Mini-SIM),"64MB ROM, 32MB RAM",1.3 MP,,"2.8 inches, 24.3 cm2(~41.0% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-hero.jpg,microUSB,,Class 12,BLU Hero,,,Yes,"2.1, EDR",,"Black, Blue, Pink, Brown, White, Green",,No,No,,,,,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, IM",,104 x 57 x 13 mm (4.09 x 2.24 x 0.51 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2 (T172T only),,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Downloadable,About 30 EUR,200 entries,Removable Li-Ion 820 mAh battery,Yes,Up to 12 h,Yes,No,,microSDHC (dedicated slot),,No,,,GSM,"2012, June. Released 2012, August","TFT, 256K colors",,,,,BLU,,,,,FM radio; built-in antenna,,,Class 12,Up to 600 h,88 g (3.10 oz),,Dual SIM (Mini-SIM),"32MB ROM, 32MB RAM",VGA,"Facebook, TwitterAnalog TVMP3/AAC/WMA/WAV playerMP4/H.264/WMV playerPredictive text input","2.4 inches, 17.8 cm2(~30.6% screen-to-body ratio)",Yes,Flashlight,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-jenny-tv.jpg,microUSB,,Class 12,BLU Jenny TV,,,Yes,2.1,,"White, Black, Red, Yellow, Blue",,No,No,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,"SMS, MMS",,119 x 49 x 14 mm (4.69 x 1.93 x 0.55 in)
HSDPA 850 / 1900 - D910a,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,About 170 EUR,,Removable Li-Ion 1600 mAh battery,,Up to 19 h 10 min (2G) / Up to 9 h 20 min (3G),720p,,PowerVR SGX531u,microSDHC (dedicated slot),Mediatek MT6577 (40 nm),,,,GSM / HSPA,"2012, July. Released 2012, September",Super AMOLED,Android 4.0 (Ice Cream Sandwich),1.3 MP,,,BLU,,,,,Stereo FM radio,Dual-core 1.0 GHz Cortex-A9,,,Up to 780 h (2G) / Up to 640 h (3G),120 g (4.23 oz),,"Dual SIM (Mini-SIM, dual stand-by)",4GB 512MB RAM,"8 MP, AF",,"4.3 inches, 52.6 cm2(~62.3% screen-to-body ratio)",Yes,MP3/AAC/WMA/WAV playerMP4/DivX/XviD/WMV/H.264 playerOrganizerDocument editorVoice memo/dial/commandsPredictive text input (Swype),Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-4.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Vivo 4.3,HSDPA 900 / 2100 - D910i,HSPA 7.2/5.76 Mbps,Yes,3.0,,"Black, White",,Wi-Fi 802.11 b/g,"GPS, A-GPS",,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,128 x 66 x 9.3 mm (5.04 x 2.60 x 0.37 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2 (T190 only),,128 x 160 pixels (~114 ppi density),Downloadable,About 20 EUR,200 entries,Removable Li-Ion 1800 mAh battery,Yes,Up to 16 h,Yes,No,,microSDHC (dedicated slot),,No,,,GSM,"2012, June. Released 2012, June","TFT, 65K colors",,,,,BLU,,,,,Stereo FM radio,,,No,Up to 1720 h,92 g (3.25 oz),,Dual SIM (Mini-SIM),"16MB ROM, 32MB RAM",VGA,MP3/AAC/WMA/WAV playerMP4/H.264/WMV playerBuilt-In FM AntennaPredictive text input,"1.8 inches, 10.2 cm2(~18.6% screen-to-body ratio)",No,Flashlight,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-tank.jpg,miniUSB,,No  (Planned GPRS version for Q4 2012),BLU Tank,,,Yes,2.1,,"Electric Blue, Red, Yellow, White, All White, Pink",,No,No,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,SMS,,114 x 48 x 15 mm (4.49 x 1.89 x 0.59 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2 (T172 only),,128 x 160 pixels (~114 ppi density),Downloadable,About 20 EUR,200 entries,Removable Li-Ion 900 mAh battery,Yes,Up to 8 h,Yes,No,,microSDHC (dedicated slot),,No,,,GSM,"2012, June. Released 2012, June","TFT, 65K colors",,,,,BLU,,,,,Stereo FM radio,,,No,Up to 860 h,73 g (2.57 oz),,Dual SIM (Mini-SIM),"16MB ROM, 32MB RAM",VGA,MP3/AAC/WMA/WAV playerMP4/H.264/WMV playerBuilt-In FM AntennaPredictive text input,"1.8 inches, 10.2 cm2(~20.6% screen-to-body ratio)",No,Flashlight,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-jenny.jpg,miniUSB,,No  (Planned GPRS version for Q4 2012),BLU Jenny,,,Yes,2.1,,"White, Black, Red, Yellow, Blue",,No,No,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,SMS,,110 x 45 x 14 mm (4.33 x 1.77 x 0.55 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (D510 only),,"480 x 800 pixels, 5:3 ratio (~176 ppi density)",,About 170 EUR,,Removable Li-Ion 2500 mAh battery,,Up to 8 h,480p@30fps,,PowerVR SGX531,microSDHC (dedicated slot),Mediatek MT6573 (65 nm),,,,GSM / HSPA,"2011, December. Released 2012, January",TFT,Android 2.3 (Gingerbread),VGA,,,BLU,,,,,Stereo FM radio,650 MHz Cortex-A9/ 800 MHz Cortex-A9,,,Up to 700 h,192 g (6.77 oz),,Dual SIM (Mini-SIM),512MB 512MB RAM,"5 MP, AF",,"5.3 inches, 80.0 cm2(~65.8% screen-to-body ratio)",Yes,MP3/AAC/WMA/WAV playerMP4/DivX/XviD/WMV/H.264 playerOrganizerVoice memo/dialPredictive text input,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-5.3.jpg,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BLU Studio 5.3,HSDPA 850 / 1900 / 2100 - SIM 1,HSPA 7.2/0.384 Mbps,Yes,"2.1, A2DP",,Black,,"Wi-Fi 802.11 b/g, hotspot","GPS, A-GPS",,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,LED flash,150 x 81 x 10.9 mm (5.91 x 3.19 x 0.43 in)
"MP3,AAC,WMA,WAV playerMP4/H.264 playerOffice document viewerOrganizerPredictive text input",,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,About 120 EUR,,Non-removable Li-Ion 4250 mAh battery,,Up to 12 h,Yes,,Adreno 200,microSDHC (dedicated slot),Qualcomm MSM7227-T Snapdragon S1,,,,GSM / HSPA,"2011, August. Released 2011, December",TFT,Android 2.2 (Froyo),VGA,,,BLU,,,,,Stereo FM radio,800 MHz ARM 11,,,Up to 500 h,382 g (13.47 oz),,Mini-SIM,512MB 512MB RAM,3.15 MP,,"7.0 inches, 139.5 cm2(~59.0% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-touch-book-70.jpg,microUSB,Accelerometer,,BLU Touch Book 7.0,HSDPA 850 / 1900 / 2100,HSPA 7.2/5.76 Mbps,Yes,"2.1, A2DP",,Black,,Wi-Fi 802.11 b/g/n,GPS,,,,,GSM 850 / 900 / 1800 / 1900,,,197 x 120 x 13.2 mm (7.76 x 4.72 x 0.52 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (S310 only),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Downloadable,,Yes,Removable Li-Ion 900 mAh battery,Yes,Up to 3 h,Yes,FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, August. Released Exp. release 2012, Q1","TFT, 256K colors",,,,,BLU,,,,,Stereo FM radio,,,Yes,Up to 200 h,120 g (4.23 oz),,Mini-SIM,"1GB ROM, 256MB RAM",3.15 MP,,"2.8 inches, 24.3 cm2(~43.7% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-neo-slide.jpg,microUSB,,Class 10,BLU Neo Pro,,,Yes,"2.1, A2DP",,"Black, Red, Blue, Silver",,Wi-Fi 802.11 b/g/n,No,,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Email, Push Email, IM",,101 x 55 x 16.5 mm (3.98 x 2.17 x 0.65 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (S290 only),,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Downloadable,About 70 EUR,Yes,Removable Li-Ion 820 mAh battery,Yes,Up to 1 h 30 min,Yes,Analog TV (S290T only)FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, August. Released 2012, Q1","TFT, 256K colors",,,,,BLU,,,,,Stereo FM radio,,,Yes,Up to 150 h,120 g (4.23 oz),,Mini-SIM,"1GB ROM, 256MB RAM",3.15 MP,,"3.0 inches, 25.6 cm2(~46.0% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-neo-xt.jpg,microUSB,,Class 10,BLU Neo XT,,,Yes,"2.1, A2DP",,Black,,Wi-Fi 802.11 b/g/n,No,,,,,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Email, Push Email, IM",LED flash,96 x 58 x 12.8 mm (3.78 x 2.28 x 0.50 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (S230 only),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Downloadable,About 70 EUR,Yes,Removable Li-Ion 820 mAh battery,Yes,Up to 1 h 30 min,Yes,Analog TV (S230T only)FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, August. Released 2012, Q1","TFT resistive touchscreen, 256K colors",,,,,BLU,,,,,Stereo FM radio,,,No,Up to 150 h,120 g (4.23 oz),,Mini-SIM,"256MB ROM, 64MB RAM",2 MP,,"2.8 inches, 24.3 cm2(~46.8% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-neo-new.jpg,microUSB,,Class 10,BLU Neo,,,Yes,"2.1, A2DP",,"Black, Red, Blue, Silver",,No,No,,,,,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Email, Push Email, IM",,96 x 54 x 12.8 mm (3.78 x 2.13 x 0.50 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q360 only),,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Downloadable,About 60 EUR,Yes,Removable Li-Ion 1200 mAh battery,Yes,Up to 3 h 30 min,Yes,FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, July. Released 2011, Q3","TFT, 256K colors",,,,,BLU,,,,,FM radio,,,Yes,Up to 250 h,75 g (2.65 oz),,Mini-SIM,"1GB ROM, 256MB RAM",3.2 MP,,"2.6 inches, 20.9 cm2(~30.1% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-deco-pro.jpg,microUSB,,Class 10,BLU Deco Pro,,,Yes,"2.1, A2DP",,"Black, White",,Wi-Fi 802.11 b/g/n,No,,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Push Email",,108.5 x 64 x 12.5 mm (4.27 x 2.52 x 0.49 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q290 only),,"320 x 240 pixels, 4:3 ratio (~173 ppi density)",Downloadable,About 70 EUR,Yes,Removable Li-Ion 800 mAh battery,Yes,Up to 3 h,Yes,Analog TV (Q290T only)FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, July. Released 2011, Q3","TFT, 256K colors",,,,,BLU,,,,,FM radio,,,Yes,Up to 200 h,75 g (2.65 oz),,Mini-SIM,"1GB ROM, 256MB RAM",2 MP,,"2.31 inches, 16.5 cm2(~27.9% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-deco-xt.jpg,microUSB,,Class 10,BLU Deco XT,,,Yes,"2.1, A2DP",,"Black, White",,Wi-Fi 802.11 b/g/n,No,,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Push Email",,103 x 57.6 x 12.5 mm (4.06 x 2.27 x 0.49 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q260 only),,"320 x 240 pixels, 4:3 ratio (~173 ppi density)",Downloadable,,Yes,Removable Li-Ion 800 mAh battery,Yes,Up to 3 h,Yes,Analog TV (Q260T only)FacebookMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, July. Released 2011, Q3","TFT, 256K colors",,,,,BLU,,,,,FM radio,,,No,Up to 200 h,73 g (2.57 oz),,Mini-SIM,"256MB ROM, 64MB RAM",2 MP,,"2.31 inches, 16.5 cm2(~27.9% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-deco.jpg,microUSB,,Class 10,BLU Deco,,,Yes,"2.1, A2DP",,"Black, White, Orange",,No,No,,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Push Email",,103 x 57.6 x 12.5 mm (4.06 x 2.27 x 0.49 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q130 only),,220 x 176 pixels (~141 ppi density),Downloadable,About 30 EUR,Yes,Removable Li-Ion 850 mAh battery,Yes,Up to 3 h,Yes,Music playerVideo playerOrganizer,,microSDHC (dedicated slot),,No,,,GSM,"2011, July. Released 2011, Q3","TFT, 65K colors",,,,,BLU,,,,,FM radio,,,No,Up to 168 h,75 g (2.65 oz),,Mini-SIM,"64MB ROM, 32MB RAM",1.3 MP,,"2.0 inches, 12.6 cm2(~22.7% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-deco-mini.jpg,microUSB,,Class 10,BLU Deco Mini,,,Yes,"2.1, A2DP",,"Yellow, Green, Orange, White, Electric Blue, Fucsia, Black",,No,No,,,,QWERTY,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, IM",,99.3 x 55.9 x 13.5 mm (3.91 x 2.20 x 0.53 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (T610 only),,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Downloadable,About 40 EUR,Yes,Removable Li-Ion 1050 mAh battery,Yes,Up to 8 h,Yes,Analog TVMusic playerVideo playerOrganizer,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, July. Released 2011, Q3","TFT, 256K colors",,,,,BLU,,,,,FM radio,,,No,Up to 288 h,68 g (2.40 oz),,Mini-SIM,"128MB ROM, 64MB RAM",1.3 MP,,"2.2 inches, 15.0 cm2(~27.2% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-electro.jpg,microUSB,,Class 12,BLU Electro,,,Yes,"2.1, A2DP",,"Orange, Pink, Violet, Cyan",,No,No,,,,,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, IM",,104 x 53 x 13.5 mm (4.09 x 2.09 x 0.53 in)
GSM 850 / 900 / 1800 / 1900 - SIM 2  (S210 only),,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Downloadable,About 40 EUR,Yes,Removable Li-Ion 750 mAh battery,Yes,Up to 3 h 30 min,Yes,No,,microSDHC (dedicated slot),,Yes,,,GSM,"2011, July. Released 2011, Q3","TFT resistive touchscreen, 65K colors",,,,,BLU,,,,,Stereo FM radio,,,No,Up to 72 h,70 g (2.47 oz),,Mini-SIM,"256MB ROM, 64MB RAM",1.3 MP,"Analog TV (S210T only)Facebook, Twitter, eBuddyMusic playerVideo playerOrganizer","2.6 inches, 20.9 cm2(~38.8% screen-to-body ratio)",Yes,Flashlight,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-deejay-touch.jpg,microUSB,,Class 12,BLU Deejay Touch,,,Yes,"2.1, A2DP",,"Black, Pink, Light blue, Purple, Violet, Silver",,No,No,,,,,GSM 850 / 900 / 1800 / 1900,"SMS, MMS, Email, Push Email, IM",,96 x 56.2 x 13.5 mm (3.78 x 2.21 x 0.53 in)
