,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
eMMC 4.5,Up to 200 h,microSDHC,About 90 EUR,Allview Impera M,microUSB 2.0,,,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.0 inches, 45.5 cm2(~57.7% screen-to-body ratio)",,480p,,,,GSM / HSPA,Allview,,122.5 x 64.4 x 9.9 mm (4.82 x 2.54 x 0.39 in),110 g (3.88 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-impera-m.jpg,GPS,,,VGA,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,5 MP,"2014, October. Released 2014, October",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,,Discontinued,Microsoft Windows Phone 8.1,TFT,4GB 512MB RAM,"Li-Ion 1420 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/5.76 Mbps,,,,LED flash,Up to 6 h 30 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
eMMC 4.5,Up to 200 h,microSDHC,About 170 EUR,Allview Impera S,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (Dual stand-by),,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,144.9 x 72.1 x 8.8 mm (5.70 x 2.84 x 0.35 in),156.2 g (5.50 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-impera-s.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,"8 MP, AF","2014, June. Released 2014, August",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Microsoft Windows Phone 8.1,IPS LCD,8GB 1GB RAM,"Li-Ion 2000 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/5.76 Mbps,,,,"LED flash, panorama",Up to 8 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
eMMC 4.5,Up to 200 h,microSDHC,About 160 EUR,Allview Impera i,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (Dual stand-by),,"4.7 inches, 60.9 cm2(~66.7% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),98.9 g (3.46 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-impera-i.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,"8 MP, AF","2014, June. Released 2014, August",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Microsoft Windows Phone 8.1,IPS LCD,8GB 1GB RAM,"Li-Po 1750 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/5.76 Mbps,,,,"LED flash, panorama",Up to 7 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
eMMC 4.5,Up to 150 h,microSDHC,About 130 EUR,Allview A6 Quad,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (dual stand-by),,"4.0 inches, 45.5 cm2(~55.9% screen-to-body ratio)",,720p@20fps,,,,GSM / HSPA,Allview,,125.4 x 65 x 10.7 mm (4.94 x 2.56 x 0.42 in),118.7 g (4.20 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a6-quad.jpg,GPS,,,VGA,Quad-core 1.2 GHz Cortex-A7,Adreno 305,,,"5 MP, AF","2014, June. Released 2014, June",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,,Discontinued,Android 4.3 (Jelly Bean),IPS LCD,4GB 512MB RAM,"Li-Ion 1500 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White, Red",HSPA,,,,"LED flash, HDR",Up to 5 h 20 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 900 / 1800,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 230 h,No,About 340 EUR,Allview X2 Soul,"microUSB 2.0, OTG",,,"Accelerometer, gyro, proximity, compass",Micro-SIM,,"5.0 inches, 68.9 cm2(~67.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,145.1 x 70.1 x 5.6 mm (5.71 x 2.76 x 0.22 in),129 g (4.55 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul.jpg,GPS,,,5 MP,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,,,"13 MP, AF","2014, May. Released 2014, May",No,"FM radio, RDS",Mediatek MT6592 (28 nm),Yes,,,,Discontinued,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Super AMOLED,16GB 2GB RAM,"Li-Ion 2300 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, white",HSPA,,,,"LED flash, HDR",Up to 10 h,,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
No,Up to 244 h,No,About 290 EUR,Allview P7 Xtreme,"microUSB 2.0, OTG",,,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"4.7 inches, 60.9 cm2(~65.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,139.7 x 66.3 x 8.5 mm (5.5 x 2.61 x 0.33 in),143.1 g (5.04 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p7-xtreme.jpg,GPS,,,,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,,,"13 MP, AF","2014, April. Released 2014, April",No,FM radio,Mediatek MT6592 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 4.2.2 (Jelly Bean),IGZO IPS LCD,16GB 1GB RAM,"Li-Ion 2200 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA,,,,"LED flash, panorama, HDR",Up to 8 h 40 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
eMMC 4.5,Up to 250 h,No,About 470 EUR,Allview X1 Xtreme,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,,"5.5 inches, 83.4 cm2(~73.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,150.6 x 75 x 9.7 mm (5.93 x 2.95 x 0.38 in),150.5 g (5.29 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x1-xtreme.jpg,"GPS, GLONASS",,,8 MP,Quad-core 2.15 GHz Krait 400,Adreno 330,,,"16 MP, AF","2014, February. Released 2014, February",Yes,FM radio,Qualcomm MSM8274 Snapdragon 800 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 4.2.2 (Jelly Bean),IPS LCD,32GB 3GB RAM,"Li-Po 2500 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, HDR, panorama",Up to 8 h 20 min,Yamaha audio amplifier,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot"
eMMC 4.5,Up to 277 h,microSDHC,About 310 EUR,Allview V1 Viper S,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (Mini-SIM/ Micro-SIM),,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,144 x 71.8 x 8.9 mm (5.67 x 2.83 x 0.35 in),143.5 g (5.08 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v1-viper-s.jpg,GPS,,,5 MP,Quad-core 1.4 GHz Cortex-A7,Adreno 305,,,"13 MP, AF","2014, February. Released 2014, February",Yes,FM radio,Qualcomm MSM8228 Snapdragon 400 (28 nm),"Yes, built-in amplifier",,,Corning Gorilla Glass 3,Discontinued,Android 4.3 (Jelly Bean),IPS LCD,16GB 2GB RAM,"Li-Ion 2500 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, HDR, panorama",Up to 9 h,Yamaha audio amplifier,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
MP3/WAV/WMA/AAC playerMP4/WMV/H.264 playerPhoto editorDocument viewer,Up to 150 h,microSDHC (dedicated slot),,Allview Wi10N PRO,2.0,,No,Accelerometer,No,,"10.1 inches, 295.8 cm2(~66.3% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,258 x 173 x 10.3 mm (10.16 x 6.81 x 0.41 in),625.7 g (1.38 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-wi10n-pro.jpg,No,No,,VGA,Quad-core 1.33 GHz,,,,2 MP,"2014, November. Released 2014, November",No,No,Intel Atom Z3735F,"Yes, with stereo speakers",,,,Discontinued,Microsoft Windows 10,IPS LCD,32GB 2GB RAM,"Li-Po 6000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,,,,,,Up to 5 h,,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",N/A,Wi-Fi 802.11 b/g/n
MP3/WAV/WMA/AAC playerMP4/WMV/H.264 playerPhoto editorDocument viewer,Up to 140 h,microSDHC (dedicated slot),,Allview Wi8G,microUSB 2.0,,,Accelerometer,Mini-SIM,,"8.0 inches, 185.6 cm2(~73.2% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,206.5 x 122.8 x 9.1 mm (8.13 x 4.83 x 0.36 in),351 g (12.38 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-wi-8g.jpg,No,,,2 MP,Quad-core 1.33 GHz,,,,2 MP,"2014, December. Released 2014, December",No,No,Intel Atom Z3735G,Yes,,,,Discontinued,Microsoft Windows 10,IPS LCD,16GB 1GB RAM,"Li-Po 3800 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,,Up to 4 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 900 / 1800,Wi-Fi 802.11 b/g/n
MP3/WAV/WMA/AAC playerMP4/WMV/H.264 playerPhoto editorDocument viewer,Up to 150 h,microSDHC (dedicated slot),,Allview Wi7,microUSB 2.0,,No,Accelerometer,No,,"7.0 inches, 137.9 cm2(~66.4% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,194 x 107 x 9.7 mm (7.64 x 4.21 x 0.38 in),283.7 g (10.02 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-wi7.jpg,No,No,,VGA,Quad-core 1.33 GHz,,,,2 MP,"2014, November. Released 2014, November",No,No,Intel Atom Z3735G,Yes,,,,Discontinued,Microsoft Windows Phone 8.1,TFT,16GB 1GB RAM,"Li-Po 2400 mAh, non-removable","4.0, A2DP",Yes,Black,,,,,,Up to 3 h,,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
,Up to 200 h,microSDHC (dedicated slot),,Allview Viva i10G,"microUSB 2.0, OTG",1.06 W/kg (body),,Accelerometer,Mini-SIM,,"9.7 inches, 291.4 cm2(~67.7% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,239 x 180 x 9.3 mm (9.41 x 7.09 x 0.37 in),588.7 g (1.30 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-i10g.jpg,GPS,,,2 MP,Quad-core 1.83 GHz,,,,"5 MP, AF","2014, June. Released 2014, June",No,No,Intel Atom Z3735D,"Yes, with stereo speakers",,,Scratch-resistant glass,Discontinued,Android 4.4 (KitKat),IPS LCD,16GB 2GB RAM,"Li-Po 8000 mAh, non-removable",3.0,Yes,White,HSPA 21.1/5.76 Mbps,,,,,Up to 6 h,,HSDPA 900 / 2100,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDHC (dedicated slot),,Allview Viva H10 HD,microUSB 2.0,0.79 W/kg (body),,Accelerometer,Mini-SIM,,"10.1 inches, 295.8 cm2(~68.2% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,258 x 168 x 9.6 mm (10.16 x 6.61 x 0.38 in),659.4 (1.45 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h10-hd.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,3.15 MP,"2014, July. Released 2014, July",No,No,Mediatek MT8382 (28 nm),"Yes, with stereo speakers",,,,Discontinued,Android 4.4 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Po 8000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,,Up to 7 h 30 min,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 435 h,microSDHC (dedicated slot),,Allview Viva H10 LTE,microUSB 2.0,1.47 W/kg (body),,Accelerometer,Mini-SIM,"3, 7, 20","10.1 inches, 295.8 cm2(~69.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,244 x 174 x 10.5 mm (9.61 x 6.85 x 0.41 in),510.2 g (1.12 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h10-lte.jpg,GPS,,,2 MP,Quad-core 1.5 GHz Cortex-A53,Mali-T760,,,"5 MP, AF","2014, December. Released 2014, December",No,FM Radio,Mediatek MT8732 (28 nm),"Yes, with stereo speakers",,,,Discontinued,Android 4.4.4 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Po 6500 mAh, non-removable","4.0, A2DP",Yes,"Black, White","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,LED flash,Up to 6 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDHC (dedicated slot),,Allview Viva H8 LTE,microUSB 2.0,1.18 W/kg (body),,"Accelerometer, proximity",Mini-SIM,"3, 7, 20","8.0 inches, 185.6 cm2(~72.4% screen-to-body ratio)",,Yes,,,,GSM / HSPA / LTE,Allview,,210 x 122 x 9 mm (8.27 x 4.80 x 0.35 in),324.4 g (11.43 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h8-lte.jpg,GPS,,,VGA,Quad-core 1.5 GHz Cortex-A53,Mali-T760,,,2 MP,2014. Released 2014,No,FM Radio,Mediatek MT8732 (28 nm),Yes,,,,Discontinued,Android 4.4.4 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Po 4000 mAh, non-removable","4.0, EDR",Yes,Black,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,LED flash,Up to 6 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 300 h,microSDHC (dedicated slot),,Allview Viva H7S,microUSB 2.0,,,Accelerometer,Mini-SIM,,"7.0 inches, 142.1 cm2(~69.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,191 x 107.3 x 8.8 mm (7.52 x 4.22 x 0.35 in),277.6 g (9.81 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h7-s.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2014, June. Released 2014, June",No,"FM radio, RDS",Mediatek MT8382 (28 nm),Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),IPS LCD,8GB 1GB RAM,"Li-Po 3000 mAh, non-removable","4.0, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR, panorama",Up to 5 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 250 h,microSDHC (dedicated slot),,Allview Viva H7 LTE,microUSB 2.0,,,"Accelerometer, proximity",Mini-SIM,"3, 7, 20","7.0 inches, 137.9 cm2(~67.9% screen-to-body ratio)",,Yes,,,,GSM / HSPA / LTE,Allview,,188 x 108 x 9 mm (7.40 x 4.25 x 0.35 in),265 g (9.35 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h7-lte.jpg,GPS,,,VGA,Quad-core 1.5 GHz Cortex-A53,Mali-T760,,,2 MP,2014. Released 2014,No,FM Radio,Mediatek MT8732 (28 nm),Yes,,,,Discontinued,Android 4.4.4 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Po 2500 mAh, non-removable","4.0, EDR",Yes,"Black, White","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,Up to 4 h 30 min,,HSDPA 900 / 2100,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDHC (dedicated slot),,Allview Viva D8,microUSB 2.0,,,Accelerometer,Micro-SIM,,"7.9 inches, 193.3 cm2(~71.0% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,199 x 136.8 x 9.1 mm (7.83 x 5.39 x 0.36 in),367 g (12.95 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-d8.jpg,GPS,,,1 MP,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,3.15 MP,"2014, January. Released 2014, January",No,"FM radio, RDS",,Yes,,,,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,4GB 512MB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/11.5 Mbps,,,,"Panorama, HDR",Up to 5 h,,HSDPA 900 / 2100,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 250 h,microSDHC (dedicated slot),,Allview AX4 Nano,microUSB 2.0,,,Accelerometer,Mini-SIM,,"7.0 inches, 139.5 cm2(~67.8% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,190.9 x 107.8 x 9.3 mm (7.52 x 4.24 x 0.37 in),256.2 g (9.03 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-ax4-nano.jpg,GPS,,,1 MP,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,3.15 MP,"2014, January. Released 2014, January",No,FM Radio,,Yes,,,,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,4GB 512MB RAM,"Li-Po 2500 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA,,,,,Up to 4 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,,microSDHC (dedicated slot),,Allview AX3 Party,microUSB 2.0,,,"Accelerometer, compass",Yes,,"7.0 inches, 139.5 cm2(~57.7% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,198 x 122 x 9.9 mm (7.80 x 4.80 x 0.39 in),337.4 g (11.89 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-ax3-party.jpg,GPS,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531,,,3.15 MP,"2013, November. Released 2013, November",No,FM Radio,,"Yes, with stereo speakers",,,,Discontinued,Android 4.0.4 (Ice Cream Sandwich),TFT,4GB 512MB RAM,"Li-Po 3000 mAh, non-removable",Yes,Yes,"Black, White",HSPA 7.2/5.76 Mbps,,,,,,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 460 h,microSDHC (dedicated slot),,Allview Viva i8,microUSB 2.0,,No,Accelerometer,No,,"7.9 inches, 193.3 cm2(~70.5% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,200 x 137 x 7.3 mm (7.87 x 5.39 x 0.29 in),312.5 g (11.01 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-i8.jpg,GPS,No,,2 MP,Dual-core 2.0 GHz,PowerVR SGX544,,,"5 MP, AF","2013, November. Released 2013, November",No,No,Intel Atom Z5280,"Yes, with stereo speakers",,,,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,16GB 1GB RAM,"Li-Po 4600 mAh, non-removable","3.0, A2DP",Yes,White,,,,,,Up to 8 h,,,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",N/A,Wi-Fi 802.11 b/g/n
No,Up to 300 h,microSDHC (dedicated slot),About 90 EUR,Allview Viva Q7 Life,microUSB 2.0,,No,Accelerometer,No,,"7.0 inches, 137.9 cm2(~58.7% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,192.5 x 122 x 7.5 mm (7.58 x 4.80 x 0.30 in),402 g (14.18 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-q7-life.jpg,,No,,,Quad-core 1.0 GHz Cortex-A7,PowerVR SGX544,,,VGA,"2013, November. Released 2013, November",No,No,,Yes,,,,Discontinued,"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",TFT,8GB 1GB RAM,"Li-Po 3000 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 4 h,HDMI port,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
HDMI port,Up to 570 h,microSDHC (dedicated slot),About 160 EUR,Allview 3 Speed Quad HD,microUSB 2.0,,No,Accelerometer,No,,"9.7 inches, 291.4 cm2(~67.5% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,242.5 x 178 x 8.9 mm (9.55 x 7.01 x 0.35 in),645.4 g (1.42 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-3-speed-quad-hd.jpg,,No,,Yes,Quad-core 1.0 GHz Cortex-A7,PowerVR SGX544,,,2 MP,"2013, November. Released 2013, November",No,No,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,8GB 1GB RAM,"Li-Po 8000 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 8 h,,,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",N/A,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct"
No,Up to 250 h,microSDHC (dedicated slot),About 70 EUR,Allview City Life,"microUSB 2.0, OTG",,No,Accelerometer,No,,"7.0 inches, 137.9 cm2(~58.7% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,192.5 x 122 x 7.9 mm (7.58 x 4.80 x 0.31 in),282 g (9.95 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-city-life.jpg,,No,,,Dual-core 1.5 GHz Cortex-A9,Mali-400,,,VGA,"2013, October. Released 2013, October",No,No,,Yes,,,,Discontinued,Android 4.1.1 (Jelly Bean),TFT,8GB 512MB RAM,"Li-Po 3000 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 4 h,HDMI port,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
HDMI port,Up to 440 h,microSDHC (dedicated slot),About 120 EUR,Allview 2 Speed Quad,"microUSB 2.0, OTG",,No,Accelerometer,No,,"8.0 inches, 198.2 cm2(~65.0% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,200 x 152.5 x 9.8 mm (7.87 x 6.00 x 0.39 in),472.4 g (1.04 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-2-speed-quad.jpg,,No,,VGA,Quad-core 1.0 GHz Cortex-A7,PowerVR SGX544,,,2 MP,"2013, September. Released 2013, September",No,No,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,8GB 1GB RAM,"Li-Po 4400 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 7 h,,,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",N/A,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct"
No,Up to 250 h,microSDHC (dedicated slot),About 80 EUR,Allview City+,"microUSB 2.0, OTG",,No,Accelerometer,No,,"7.0 inches, 137.9 cm2(~58.7% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,192.5 x 122 x 7.9 mm (7.58 x 4.80 x 0.31 in),289 g (10.19 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-city-plus.jpg,,No,,,Dual-core 1.5 GHz Cortex-A9,Mali-400,,,VGA,"2013, August. Released 2013, August",No,No,,Yes,,,,Discontinued,Android 4.1 (Jelly Bean),IPS LCD,8GB 512MB RAM,"Li-Po 3000 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 4 h,HDMI port,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDHC (dedicated slot),About 190 EUR,Allview Viva H8,microUSB 2.0,,,"Accelerometer, proximity",Yes,,"7.9 inches, 193.3 cm2(~71.2% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,200 x 135.7 x 7.9 mm (7.87 x 5.34 x 0.31 in),374 g (13.19 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h8.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"5 MP, AF","2013, August. Released 2013, August",No,No,,Yes,,,,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,8GB 1GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,,Up to 4 h,,HSDPA 900 / 2100,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
