,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
eMMC 4.5,IPS LCD,143 x 72 x 7.5 mm (5.63 x 2.83 x 0.30 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-ridge-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),No,Nano-SIM + Micro-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, AF",,,,,microUSB 2.0,Adreno 306,16GB 2GB RAM,microSDXC (uses shared SIM slot),"Black Grey, Black Bleen, Black Clementine, Arctic Gold",HSDPA 900 / 1900 / 2100,Up to 17 h (2G) / Up to 14 h 40 min (3G),Android 4.4.4 (KitKat),Yes,5 MP,,Quad-core 1.2 GHz Cortex-A53,,,,FM radio,,"Li-Po 2400 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",,125 g (4.41 oz),"2015, February. Released 2015, March",Wiko Ridge 4G,720p@30fps,GSM / HSPA / LTE,,"LED flash, HDR",Up to 247 h (2G) / Up to 247 h (3G),Corning Gorilla Glass 3,GPS,,0.29 W/kg (head)     0.57 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,IPS LCD,156 x 78.2 x 8.6 mm (6.14 x 3.08 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-ridge.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),No,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, AF",,,,,microUSB 2.0,Adreno 306,16GB 2GB RAM,microSDXC (uses shared SIM slot),"Black Grey, Black Bleen, Black Clementine, Arctic Gold",HSDPA 900 / 1900 / 2100,Up to 30 h (2G) / Up to 23 h (3G),Android 4.4.4 (KitKat),Yes,5 MP,,Quad-core 1.2 GHz Cortex-A53,,,,FM radio,,"Li-Po 2820 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~68.4% screen-to-body ratio)",,154 g (5.43 oz),"2015, February. Released 2015, March",Wiko Ridge Fab 4G,720p@30fps,GSM / HSPA / LTE,,"LED flash, HDR",Up to 360 h (2G) / Up to 360 h (3G),Corning Gorilla Glass 3,GPS,,0.24 W/kg (head)     0.71 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
,AMOLED,141 x 71.4 x 6.6 mm (5.55 x 2.81 x 0.26 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-highway-star-4g.jpg,,"4.0, A2DP",Yes,,No,Nano-SIM + Micro-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, AF",,,,,"microUSB 2.0, OTG",,16GB 2GB RAM,microSDXC (uses shared SIM slot),"Silver, Gold, Grey",HSDPA 900 / 1900 / 2100,Up to 13 h 40 min (2G) / Up to 19 h 50 min (3G),Android 4.4.4 (KitKat),Yes,5 MP,,Octa-core 1.5 GHz Cortex-A53,,,,FM radio,,"Li-Po 2450 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~68.5% screen-to-body ratio)",,123 g (4.34 oz),"2015, March. Released 2015, April",Wiko Highway Star 4G,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",Up to 184 h (2G) / Up to 184 h (3G),Corning Gorilla Glass 3,GPS,,0.35 W/kg (head)     0.53 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,AMOLED,141.9 x 68.1 x 5.1 mm (5.59 x 2.68 x 0.20 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-highway-pure-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),No,Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,,,,"microUSB 2.0, OTG",Adreno 306,16GB 2GB RAM,No,"White/Silver, Black/Grey, Black/Gold, Black/Bleen",HSDPA 900 / 1900 / 2100,Up to 20 h (2G) / Up to 13 h (3G),Android 4.4.4 (KitKat),"Yes, with stereo speakers",5 MP,,Quad-core 1.2 GHz Cortex-A53,,,,FM radio,,"Li-Po 2000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"4.8 inches, 63.5 cm2(~65.7% screen-to-body ratio)",,98 g (3.46 oz),"2015, March. Released 2015, April",Wiko Highway Pure 4G,720p@30fps,GSM / HSPA / LTE,,"LED flash, HDR",Up to 160 h (2G) / Up to 160 h (3G),Corning Gorilla Glass 3,GPS,,0.35 W/kg (head)     0.58 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
,TFT,143 x 73 x 9.6 mm (5.63 x 2.87 x 0.38 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-lenny.jpg,,"4.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,About 100 EUR,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDHC,"Black/Bleen, White/Silver, Bleen/Black, Violet/Coral, Yellow/Bleen",HSDPA 900 / 1900 / 2100,Up to 16 h (2G) / Up to 8 h 30 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",1.3 MP,,Dual-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 1800 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,174 g (6.14 oz),"2014, August. Released 2014, August",Wiko Lenny,,GSM / HSPA,,"LED flash, panorama",Up to 336 h (2G) / Up to 336 h (3G),,GPS,,0.48 W/kg (head)     0.80 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,132 x 67 x 9.6 mm (5.20 x 2.64 x 0.38 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-birdy.jpg,,"4.0, A2DP",Yes,Mediatek MT6582 (28 nm),No,Micro-SIM,"3, 7, 20",720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",About 130 EUR,,,,"microUSB 2.0, OTG",Mali-400MP2,4GB 1GB RAM,microSDHC (dedicated slot),"Black, White, Fuchsia, Yellow, Coral, Violet, Bleen",HSDPA 900 / 1900 / 2100,Up to 18 h 30 min (2G) / Up to 11 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",2 MP,,Quad-core 1.3 GHz Cortex-A7,0.51 W/kg (head)     1.05 W/kg (body),,,FM radio,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",,141 g (4.97 oz),"2014, May. Released 2014, August",Wiko Birdy,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 186 h (2G) / Up to 186 h (3G),,GPS,,0.51 W/kg (head)     1.05 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,"TFT, 256K colors",119 x 62.6 x 11.3 mm (4.69 x 2.46 x 0.44 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-goa.jpg,,"4.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,"Dual SIM (Mini-SIM, dual stand-by)",,480p@30fps,Wiko,,Discontinued,Accelerometer,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",2 MP,About 50 EUR,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDHC,"Black, White, Bleen, Fuchsia, Coral, Violet, Yellow",HSDPA 900 / 2100,Up to 11 h 50 min (2G) / Up to 6 h 30 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",1.3 MP,,Dual-core 1.0 GHz Cortex-A7,0.47 W/kg (head)     0.61 W/kg (body),,,FM radio,,Li-Ion 1300 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~49.0% screen-to-body ratio)",,105 g (3.70 oz),"2014, May. Released 2014, August",Wiko Goa,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 384 h (2G) / Up to 384 h (3G),,GPS,,0.47 W/kg (head),HSPA 21.1/5.76 Mbps,
,TFT,133.5 x 66.5 x 9.8 mm (5.26 x 2.62 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-jimmy.jpg,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,"Dual SIM (Mini-SIM, dual stand-by)",,720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,,,,microUSB 2.0,Mali-400MP2,4GB 512MB RAM,microSDHC,"Black/Blue, Blue/Orange, Pink/Violet, Violet/Blue, White/Orange",HSDPA 900 / 1900 / 2100,Up to 17 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Po 1700 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~62.9% screen-to-body ratio)",,145 g (5.11 oz),"2014, November. Released 2014, November",Wiko Jimmy,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 230 h (2G) / Up to 230 h (3G),,GPS,,0.54 W/kg (head)     0.61 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,143 x 69.5 x 7.2 mm (5.63 x 2.74 x 0.28 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-getaway.jpg,,"4.0, A2DP",Yes,,No,Nano-SIM + Micro-SIM,,1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, AF",,,,,"microUSB 2.0, OTG",,16GB 1GB RAM,microSDHC,"Noir & Or, Blanc & Argent, Navy, Corail",HSDPA 900 / 1900 / 2100,Up to 21 h (2G) / Up to 14 h (3G),Android 4.4.2 (KitKat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,Stereo FM radio,,"Li-Po 2000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",,133 g (4.69 oz),2014. Released 2014,Wiko Getaway,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 216 h (2G) / Up to 260 h (3G),Corning Gorilla Glass 2,GPS,,0.32 W/kg (head)     0.52 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,146 x 74 x 10 mm (5.75 x 2.91 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow-4g.jpg,,"4.0, A2DP",Yes,Mediatek MT6582 (28 nm),No,Micro-SIM,"3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",About 160 EUR,,,,"microUSB 2.0, OTG",Mali-400MP2,8GB 1GB RAM,microSDHC (dedicated slot),"Black, White, Bleen, Yellow, Fuschia, Coral, Violet",HSDPA 900 / 1900 / 2100,Up to 18 h 40 min (2G) / Up to 11 h 45 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Po 2500 mAh battery,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,175 g (6.17 oz),"2014, September. Released 2014, November",Wiko Rainbow 4G,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",Up to 200 h (2G) / Up to 200 h (3G),,GPS,,0.33 W/kg (head)     0.65 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,146 x 74 x 9.3 mm (5.75 x 2.91 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow.jpg,,"4.0, A2DP",Yes,Mediatek MT6582 (28 nm),No,"Dual SIM (Mini-SIM, dual stand-by)",,1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDHC,"Black, White, Bleen, Yellow, Fuschia, Coral, Violet",HSDPA 900 / 1900 / 2100,Up to 16 h (2G) / Up to 10 h 30 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,167 g (5.89 oz),"2014, February. Released 2014, May",Wiko Rainbow,,GSM / HSPA,,"LED flash, HDR, panorama",Up to 260 h (2G) / Up to 260 h (3G),,GPS,,0.47 W/kg (head)     0.95 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,144 x 70 x 7.3 mm (5.67 x 2.76 x 0.29 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-highway-4g.jpg,,"4.0, A2DP",Yes,Nvidia SL460N,No,Micro-SIM,"3, 7, 20",1920p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","16 MP, AF",About 300 EUR,,,,"microUSB 2.0, OTG",ULP GeForce,16GB 2GB RAM,No,"Black, White, Clementine, Purple, Electric blue",HSDPA 900 / 1900 / 2100,Up to 17 h 30 min (2G) / Up to 14 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",8 MP,,Quad-core 2.0 GHz,0.26 W/kg (head)     0.74 W/kg (body),,,No,,"Li-Ion 2350 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,143 g (5.04 oz),"2014, May. Released 2014, October",Wiko Highway 4G,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",Up to 140 h,Dual Corning Gorilla Glass 2,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,138 x 68 x 7.6 mm (5.43 x 2.68 x 0.30 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-highway-signs.jpg,,"4.0, A2DP",Yes,Mediatek MT6592M (28 nm),No,Nano-SIM + Micro-SIM,,720p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",About 200 EUR,,,,"microUSB 2.0, OTG",Mali-450MP4,8GB 1GB RAM,microSDHC,"White, Coral, Grey , Electric blue, Purple",HSDPA 900 / 1900 / 2100,Up to 14 h 15 min (2G) / Up to 8 h 30 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",5 MP,,Octa-core 1.4 GHz Cortex-A7,0.24 W/kg (head)     0.37 W/kg (body),,,FM radio,,"Li-Ion 2000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.7 inches, 60.9 cm2(~64.9% screen-to-body ratio)",,124 g (4.37 oz),"2014, September. Released 2014, October",Wiko Highway Signs,,GSM / HSPA,,"LED flash, HDR, panorama",Up to 230 h,Corning Gorilla Glass 2,GPS,,0.24 W/kg (head)     0.37 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,140.1 x 67.5 x 8.8 mm (5.52 x 2.66 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-wax.jpg,,"4.0, A2DP",Yes,Nvidia Tegra 4i,No,Micro-SIM,"3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",About 200 EUR,,C210AE,,microUSB 2.0,,4GB 1GB RAM,microSDHC (dedicated slot),"Black, White, Coral, Turquoise",HSDPA 900 / 1900 / 2100,Up to 14 h 50 min (2G) / Up to 8 h 40 min (3G),"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat)","Yes, with stereo speakers",5 MP,,Quad-core 1.7 GHz,0.69 W/kg (head)     0.89 W/kg (body),,,No,,"Li-Ion 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"4.7 inches, 60.9 cm2(~64.4% screen-to-body ratio)",,119 g (4.20 oz),"2014, April. Released 2014, April",Wiko Wax,,GSM / HSPA / LTE,,"LED flash, HDR",Up to 162 h,Corning Gorilla Glass 2,GPS,,0.69 W/kg (head),"HSPA, LTE Cat3 100/50 Mbps",
,IPS LCD,144 x 70 x 7.7 mm (5.67 x 2.76 x 0.30 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-highway.jpg,,"4.0, A2DP",Yes,Mediatek MT6592 (28 nm),No,Dual SIM (Micro-SIM),,1080p@28fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","16 MP, AF",About 350 EUR,,,,"microUSB 2.0, OTG",Mali-450MP4,"16GB 2GB RAM, 32GB 2GB RAM",No,"Black, White, Blue Electric, Orange, Purple",HSDPA 900 / 2100,Up to 16 h 30 min (2G) / Up to 11 h 30 min (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers",8 MP,,Octa-core 2.0 GHz Cortex-A7,0.20 W/kg (head)     0.41 W/kg (body),,,Stereo FM radio,,"Li-Ion 2350 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,154 g (5.43 oz),"2014, January. Released 2014, February",Wiko Highway,,GSM / HSPA,,"LED flash, HDR",Up to 253 h,Corning Gorilla Glass 2,GPS,,0.20 W/kg (head),HSPA 21.1/5.76 Mbps,
