,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Performance,128GB 8GB RAM,Battery (new),Dual,Camera,Dual_1,NFC,Infrared port,Quad,OS,4G bands,USB,Protection,Video,_5,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,Build,256GB 8GB RAM,SAR,Bluetooth,Loudspeaker_1,512GB 8GB RAM,Radio,Chipset,256GB 12GB RAM,Display,Features,Sensors,Technology,Colors,Weight,Status,Features_1,Single_1,Loudspeaker,Models,Charging,_1,Battery (old),GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand,Triple
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"Motorized pop-up 40 MP, (wide)","64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-pro-new.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),,,,,,,,,No,,,Android 10,"1, 3, 7, 8, 20, 28","microUSB 2.0, OTG",,1080p@30fps,,,"6.53 inches, 104.7 cm2(~83.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, March 06",IPS LCD,1080p@30fps,4000 mAh,"Glass front, plastic back, plastic frame",,0.79 W/kg (head)     0.90 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6765 Helio P35 (12 nm),,,"Dual-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Quetzal Cyan, Violet",195 g (6.88 oz),"Available. Released 2020, April",,,Yes,X660,,,,PowerVR GE8320,,,Yes,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",Infinix S5 Pro (48+40),Infinix,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, (depth)QVGA low light camera sensor"
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"Motorized pop-up 16 MP, f/2.0, (wide)","64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-pro-new.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 120 EUR,162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),,,"AnTuTu: 90446 (v7), 117533 (v8)GeekBench: 4226 (v4.4), 1039 (v5.1)GFXBench: 3.2fps (ES 3.1 onscreen)",,,,Photo/Video,,No,,,Android 10,"1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.53 inches, 104.7 cm2(~83.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, March 06",IPS LCD,1080p@30fps,4000 mAh,"Glass front, plastic back, plastic frame",,0.79 W/kg (head)     0.90 W/kg (body),"5.0, A2DP, LE",-29.5 LUFS (Average),,FM radio,Mediatek MT6765 Helio P35 (12 nm),,"1677:1 contrast ratio, 336 nits max brightness (measured)","Dual-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Quetzal Cyan, Violet",195 g (6.88 oz),"Available. Released 2020, March 13",,,Yes,"X660, X660C, X660B",,,Endurance rating 106h,PowerVR GE8320,,,Yes,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",Infinix S5 Pro,Infinix,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, (depth)QVGA low light camera sensor"
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core 2.0 GHz Cortex-A53,"16 MP, f/2.0","32GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-lite-new.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 100 EUR,164 x 76 x 7.9 mm (6.46 x 2.99 x 0.31 in),,,,,,,,,No,,,"Android 9.0 (Pie), XOS 5.5","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~84.4% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, November","IPS LCD, 480 nits (typ)",1080p@30fps,4000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6762 Helio P22 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight black, Quetzal cyan, Violet",178 g (6.28 oz),"Available. Released 2019, November",,,Yes,"X652B, X652C",,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,PowerVR GE8320,eMMC 5.1,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix S5 lite,Infinix,"16 MP, f/1.8, PDAF2 MPAI Lens (low light sensor)"
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,8 MP,"16GB 1GB RAM, 32GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart4-x653.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,,167 x 76 x 8.3 mm (6.57 x 2.99 x 0.33 in),,,,,,,,,No,,,Android 9.0 Pie (Go edition),"1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.6 inches, 105.2 cm2(~82.9% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, October",IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6761 Helio A22 (12 nm),,,Dual-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Quetzal Cyan, Cosmic Purple",183 g (6.46 oz),"Available. Released 2019, October",,5 MP,Yes,"X653, X663",,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Smart 4,Infinix,
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,5 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart4-x653c.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,,167 x 76 x 8.3 mm (6.57 x 2.99 x 0.33 in),,,,,,8 MPQVGA,,,No,,,Android 9.0 (Pie),"1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.6 inches, 105.2 cm2(~82.9% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, November",IPS LCD,,"4000 mAh, non-removable",,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6761 Helio A22 (12 nm),,,Dual-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Quetzal Cyan, Cosmic Purple",183 g (6.46 oz),"Available. Released 2019, December",,,Yes,X653C,,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Smart 4c,Infinix,
eMMC 5.1,Quad-core 1.3 GHz,8 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-8-lite.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),,,,,,"8 MP, f/1.8, PDAFQVGA (Low light sensor)",,,No,,,Android 8.1 Oreo (Go edition),,"microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~83.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, October","IPS LCD, 450 nits (typ)",1080p@30fps,"5000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6580,,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA,"Quetzal Cyan, Cosmic Purple, Shark Grey, Midnight Black",175 g (6.17 oz),"Available. Released 2019, October",LED flash,,Yes,X650,,Dirac sound,,,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Hot 8 Lite,Infinix,
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-x652.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 120 EUR,164 x 76 x 7.9 mm (6.46 x 2.99 x 0.31 in),,,,,,,,,No,,,Android 9.0 (Pie),"1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 102.1 cm2(~81.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, October 15",IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6762 Helio P22 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Quetzal Cyan, Violet",178 g (6.28 oz),"Available. Released 2019, October",,,Yes,X652,,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Infinix S5,Infinix,"16 MP, f/1.8, (wide), PDAF5 MP, 14mm (ultrawide)2 MP, (depth)"
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53Octa-core 1.8 GHz Cortex-A53,"8 MP, f/2.0, 25mm (wide)","32GB 2GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-s8.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 7000 INR,165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),,,,,,,,,No,,,Android 10,"1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.52 inches, 102.6 cm2(~81.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, September 04",IPS LCD,1080p@30fps,"5000 mAh, non-removable","Glass front, glass back",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6761 Helio A22 (12 nm) - 32/2 GBMediatek MT6762 Helio P22 (12 nm) - 64/4 GB,,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Quetzal Cyan, Cosmic Purple, Shark Grey, Midnight Black",179 g (6.31 oz),"Available. Released 2019, September",LED flash,,Yes,"X650C, X650B, X650D",,Dirac Surround Sound,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Infinix Hot 8,Infinix,"13 MP, f/1.8, 26mm (wide), 1/3.1"", 1.12µm, PDAF2 MP, (depth)QVGA (Low light sensor)"
Stylus,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",64GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-6-x610.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 180 EUR,154.2 x 74.5 x 7.7 mm (6.07 x 2.93 x 0.30 in),,,,,,,,,No,,,Android 9.0 (Pie),"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.01 inches, 93.2 cm2(~81.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, June",AMOLED,1080p@30fps,"4000 mAh, non-removable",,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6765 Helio P35 (12 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Mocha Brown, Aqua Blue",173 g (6.10 oz),"Available. Released 2019, June",LED flash,,Yes,X610,,eMMC 5.1,,PowerVR GE8320,,,Yes,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Infinix Note 6,Infinix,"16 MP (wide), PDAF8 MP (ultrawide)2 MP, (depth)"
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,8 MP,"32GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart3-plus.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 7000 INR,157 x 76 x 7.8 mm (6.18 x 2.99 x 0.31 in),,,,,,,,,No,,,Android 9.0 (Pie),"1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.21 inches, 96.3 cm2(~80.7% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, April",IPS LCD,1080p@30fps,"3500 mAh, non-removable","Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6761 Helio A22 (12 nm),,,"Dual-LED flash, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Aqua Blue, Cosmic Purple, Bordeaux Red, Mocha Brown",148 g (5.22 oz),"Available. Released 2019, April",HDR,,Yes,"X267, X267 X627V",,,,PowerVR GE8320,,,Yes,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Infinix Smart3 Plus,Infinix,"13 MP, f/1.8, PDAF2 MPQVGA"
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","32GB 3GB RAM, 64GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-s4.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,156 x 75 x 7.9 mm (6.14 x 2.95 x 0.31 in),,,,,,,,,No,,,Android 9.0 (Pie),"1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.2 inches, 95.9 cm2(~82.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, April",IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6762 Helio P22 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Space gray, nebula blue, twilight purple",154 g (5.43 oz),"Available. Released 2019, April",,,Yes,"X626, X626B, X610B, X626B LTE",,,,PowerVR GE8320,,,Yes,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Infinix S4,Infinix,"13 MP, PDAF8 MP2 MP"
eMMC 5.1,Octa-core (4x2.4 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)Octa-core 1.8 GHz Cortex-A53,,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-7-pro.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,About 130 EUR,155 x 74.8 x 8 mm (6.10 x 2.94 x 0.31 in),,,,,,"13 MP, AF2 MP, (depth)",,"13 MP2 MP, depth sensor",No,,,Android 9.0 (Pie),"1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.2 inches, 95.9 cm2(~82.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, March",IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6757T Helio P25 (16 nm) - 32+2 GBMediatek MT6762 Helio P22 (12 nm) - 32/64+3/6 GB,,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Mocha Brown, Bordeaux Red, Aqua Blue",165 g (5.82 oz),"Available. Released 2019, March",LED flash,,Yes,"X625, X625B, X625, X625D",,,,Mali-T880MP2PowerVR GE8320,,,Yes,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Infinix Hot 7 Pro,Infinix,
eMMC 5.1,Quad-core 1.3 GHz,8 MP,"16GB 1GB RAM, 32GB 2GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot7.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 b/g/n, hotspot",About 100 EUR,157 x 75.7 x 8 mm (6.18 x 2.98 x 0.31 in),,,,,,"13 MP, AF0.3 MP, (depth)",,,No,,,Android OS,N/A,microUSB 2.0,,1080p@30fps,,,"6.2 inches, 99.2 cm2(~83.5% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDXC (dedicated slot),HSDPA 900 / 1700 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, January",IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, plastic back, plastic frame",,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6580 (28 nm),,,"LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA,"Sandstone Black, Sapphire Blue, Blush Gold, Bordeaux Red",166 g (5.86 oz),"Available. Released 2019, January",LED flash,,Yes,"X624B, X624, X652A",,,,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~260 ppi density)",Infinix Hot 7,Infinix,
eMMC 5.1,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),"20 MP, f/2.0, (wide)",128GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,156.8 x Unknown x 8 mm,,,,,,"12 MP, AF24 MP, AF",,,No,,,Android 8.0 (Oreo),"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",Yes,Corning Gorilla Glass 5,1080p@30fps,,,"6.18 inches, 96.2 cm2","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, March",IPS LCD,,"Li-Ion 3650 mAh, non-removable",,,,"5.0, A2DP, LE",,,FM radio,Qualcomm SDM636 Snapdragon 636 (14 nm),,,"Quad-LED dual-tone flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,Sapphire Cyan,178 g (6.28 oz),"Available. Released 2019, March",,,Yes,X620,,,,Adreno 509,,,Yes,"1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",Infinix Zero 6 Pro,Infinix,
eMMC 5.1,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),"20 MP, f/2.0, (wide)",64GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,156.8 x Unknown x 8 mm,,,,,,"12 MP, AF24 MP, AF",,,No,,,Android 8.0 (Oreo),"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",Yes,Corning Gorilla Glass 5,1080p@30fps,,,"6.18 inches, 96.2 cm2","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2019, March",IPS LCD,,"Li-Ion 3650 mAh, non-removable",,,,"5.0, A2DP, LE",,,FM radio,Qualcomm SDM636 Snapdragon 636 (14 nm),,,"Quad-LED dual-tone flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Black, Gold",178 g (6.28 oz),"Available. Released 2019, March",,,Yes,X620B,,,,Adreno 509,,,Yes,"1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",Infinix Zero 6,Infinix,
,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF",16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart2-hd-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,156.9 x 76.5 x 8.2 mm (6.18 x 3.01 x 0.32 in),,,,,,,,,No,,,Android 8.1 (Oreo),,microUSB 2.0,,1080p@30fps,,,"6.0 inches, 92.9 cm2(~77.4% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2018, October",IPS LCD,1080p@30fps,"Li-Ion 3500 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6580 (28 nm),,,"LED flash, panorama, HDR","Accelerometer, proximity, compass, fingerprint (except Thailand, Colombia)",GSM / HSPA,"Sandstone Black, Bordeaux Red, Serene Gold",165 g (5.82 oz),"Available. Released 2018, October",LED flash,8 MP,Yes,"X609, X609B",,,,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Infinix Smart 2 HD,Infinix,
eMMC 5.1,Quad-core 1.4 GHz Cortex-A53,8 MP,"16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot6x-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,157 x 75 x 8 mm (6.18 x 2.95 x 0.31 in),,,,,,"13 MP, PDAF2 MP, (depth)",,,No,,,Android 8.1 (Oreo),"1, 2, 3, 4, 5, 7, 8, 10, 20, 28, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.2 inches, 96.7 cm2(~82.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"4000 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Qualcomm MSM8917 Snapdragon 425 (28 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Champagne Gold, Kent Blue, Bordeaux Red",168 g (5.93 oz),Available. Released 2018,LED flash,,Yes,"X623, X623B",,,,Adreno 308,,,Yes,720 x 1500 pixels (~268 ppi density),Infinix Hot 6X,Infinix,
Stylus,Octa-core 2.0 GHz Cortex-A53,"16 MP (wide), f/1.8, 1.12µm, PDAF","32GB 4GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note5-stylus-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),,,,,,,,,No,,,"Android 8.1 (Oreo), Android One","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,"4K@30fps, 1080p@30fps (gyro-EIS), 720p@120fps",,,"6.0 inches, 92.4 cm2(~78.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"4000 mAh, non-removable","Glass front, aluminum back, aluminum frame",,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6763T Helio P23 (16 nm),,,"Dual-LED dual-tone flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Bordeaux Red, Charcoal Blue, Champagne Gold",173 g (6.10 oz),Available. Released 2018,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",Yes,X605,10W wired,eMMC 5.1,,Mali-G71 MP2,,,Yes,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Infinix Note 5 Stylus,Infinix,
eMMC 5.1,Octa-core 1.4 GHz Cortex-A53,"16 MP, 1.4µm","32GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s3x-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,156.7 x 75.3 x 8 mm (6.17 x 2.96 x 0.31 in),,,,,,"13 MP, PDAF2 MP, (depth)",,,No,,,Android 8.1 (Oreo),"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.2 inches, 96.7 cm2(~82.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"4000 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Qualcomm MSM8937 Snapdragon 430 (28 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Ice Blue, Sandstone Black, Tradewinds Grey",150 g (5.29 oz),Available. Released 2018,,,Yes,X622,10W wired,,,Adreno 505,,,Yes,720 x 1500 pixels (~268 ppi density),Infinix S3X,Infinix,
