,CPU,Features,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Triple,Quad,Status,WLAN,Infrared port,Call records,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Build,NFC,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Performance,Internal,5G bands,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
"External 0.8 inch display, 86x16 pixels",,,,Yes,Up to 260 h (2G) / Up to 250 h (3G),,,Yes,"2.0, A2DP",,Yes + downloadable,,,,,No,,Mini-SIM,,"8 MP, AF",110 g (3.88 oz),,,,Discontinued,No,Yes,"30 dialed, 30 received, 30 missed calls",,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","854 x 480 pixels, 16:9 ratio (~327 ppi density)",Up to 3 h 30 min (2G) / Up to 3 h 10 min (3G),microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2008, October. Released 2008, November",,GSM / HSPA,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerQR code readerVoice memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-930sh.jpg,"3.0 inches, 24.8 cm2(~49.2% screen-to-body ratio)",Sharp 930SH,"SMS, MMS, Email, IM","Black, Blue Green, Pink, White Silver, Silver Violet","TFT, 16M colors","1000 entries, Photocall",,105 x 48 x 15.2 mm (4.13 x 1.89 x 0.60 in),,100MB,,2.0,,No,No,HSDPA 2100,,,w480p@30fps,Removable Li-Ion 680 mAh battery,Accelerometer,"Yes, MIDP 2.0"
Optical trackpad,,,,Yes,Up to 310 h (2G) / Up to 310 h (3G),,,Yes,"2.0, A2DP",,Yes + downloadable,,"DVB TunerMP3/eAAC+ playerMP4/ASF/3gp playerPredictive text inputOrganizerVoice memoDocument viewer (Word, Excel, PowerPoint, PDF)",,,No,,Mini-SIM,,"5 MP, AF",132 g (4.66 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"854 x 480 pixels (Wide-VGA), 16:9 ratio (~297 ppi density)",Up to 4 h 20 min (2G) / Up to 3 h 20 min (3G),microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2008, June. Released 2008 July",,GSM / HSPA,Swivel and rotate displayExternal 0.6 inch display(86 x 16 pixels),,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-923sh.jpg,"3.3 inches, 30.0 cm2(~53.1% screen-to-body ratio)",Sharp 923SH,"SMS, MMS, Email (POP3, SMTP)","Black, Blue, Pink, White, Purple","TFT, 16M colors","Yes, up to 1000 entries",,113 x 50 x 18.6 mm (4.45 x 1.97 x 0.73 in),,100MB,,2.0,,GPS,No,HSDPA 2100,,,w480p@30fps,Removable Li-Ion 790 mAh battery,"Accelerometer, compass","Yes, MIDP 2.0"
Shake control,,,,Yes,Up to 290 h (2G) / Up to 240 h (3G),,,Yes,"2.0, A2DP",,Yes + downloadable,,,,,No,,Mini-SIM,,"2 MP, AF",105 g (3.70 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 3 h 50 min (2G) / Up to 3h 10 min (3G),microSDHC (dedicated slot),,,HSPA,,,"2008, June. Released 2008, July",,GSM / HSPA,"MP3/eAAC+ playerMP4/ASF/3gp playerDigital TV tuner (1seg)Document viewer (Word, Excel, PowerPoint, PDF)Predictive text inputOrganizerQR code readerVoice memo",,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-825sh.jpg,"2.8 inches, 22.3 cm2(~45.2% screen-to-body ratio)",Sharp 825SH,"SMS, MMS, Email (POP3 only)","Black, White, Peach Pink, Rose Red, Lime Green, Lemon Yellow","TFT, 16M colors",1000 entries,,102.9 x 48 x 14.9 mm (4.05 x 1.89 x 0.59 in),,50MB,,2.0,,No,No,HSDPA 1900,,,320p@15fps,Removable Li-Ion 680 mAh battery,Accelerometer,"Yes, MIDP 2.0"
Swivel and rotate displayDownloadable wallpapers,,,,Yes,Up to 350 h,"Vibration; Downloadable polyphonic, MP3, AAC+ ringtones",,Yes,"2.0, A2DP",,Yes + downloadable,,,,,No,,Mini-SIM,,"3.15 MP, AF",120 g (4.23 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"854 x 480 pixels (Wide-VGA), 16:9 ratio (~306 ppi density)",Up to 4 h 40 min,microSD (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2008, May. Released 2008",,GSM / HSPA,"MP3/MP4/3gp playerPredictive text inputOrganizerVoice memoDocument viewer (Word, Excel, PowerPoint, PDF)",,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-sx862.jpg,"3.2 inches, 28.2 cm2(~51.3% screen-to-body ratio)",Sharp SX862,"SMS, MMS, Email (POP3 only)","Black, Silver","TFT, 256K colors","Yes, up to 750 entries",,110 x 50 x 18 mm (4.33 x 1.97 x 0.71 in),,50MB,,2.0,,No,No,HSDPA 2100,,,480p,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Downloadable wallpapers and ringtones,,,,,Up to 210 h,Vibration; Polyphonic(32) ringtones,,No,2.0,,Yes + downloadable,,Video playerPredictive text inputOrganizerVoice recorder,About 60 EUR,,No,,Mini-SIM,,VGA,70 g (2.47 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 7 h 30 min,No,,,,,,"2008, March. Released 2008, June",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx18.jpg,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",Sharp GX18,"SMS, MMS, Email (POP3 only)",Crystal Black with Matt Silver,"TFT, 65K colors","Yes, up to 500 entries",Class 10,106 x 45 x 11.5 mm (4.17 x 1.77 x 0.45 in),,7MB,,miniUSB,No,No,No,,,,Yes,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Four-way navigationStatus light in 2 colors,,LED flash,,Videocall camera,Up to 320 h,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,No,"2.0, A2DP",,Yes + downloadable,,,,,No,,Mini-SIM,,"2 MP, AF",93 g (3.28 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML(NetFront v3.3)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 4 h 20 min,microSD (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2007, September",,GSM / HSPA,MP3/MP3/AAC/AAC+ playerVideo playerPredictive text inputOrganizerVoice recorder,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-880sh.gif,"2.2 inches, 15.0 cm2(~31.0% screen-to-body ratio)",Sharp 880SH,"SMS, MMS, Email, Instant Messaging",Black,"TFT, 256K colors","750 entries,  Photo call",,101 x 47.8 x 15 mm (3.98 x 1.88 x 0.59 in),,50MB,,2.0,,No,FM radio,HSDPA 850 / 1900 / 2100,,,320p,Removable Li-Ion (XN-1BT80),,"Yes, MIDP 2.0"
Second external displayFour-way navigationStatus light in 7 colors,,,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,2.0,,Yes + downloadable,,MP3 playerPredictive text inputOrganizerVoice memo (max 10 sec each),,,No,,Mini-SIM,,2 MP,87 g (3.07 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 1.2.1,176 x 220 pixels (~148 ppi density),Up to 3 h 30 min,microSD (dedicated slot),,,,,,"2007, November. Released 2007, November",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx34.jpg,"1.9 inches, 11.4 cm2(~27.4% screen-to-body ratio)",Sharp GX34,"SMS, MMS, Email",Black,"TFT, 256K colors","500 x 9 fields, contact groups, Photo call",Class 10,93 x 44.6 x 21 mm (3.66 x 1.76 x 0.83 in),,9MB,,2.0,No,No,No,,,,QCIF,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external displayFour-way navigationStatus light in 7 colors,,,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,2.0,,Yes + downloadable,,MP3 playerPredictive text inputOrganizerVoice memo (max 10 sec each),,,No,,Mini-SIM,,VGA,87 g (3.07 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 1.2.1,176 x 220 pixels (~148 ppi density),Up to 3 h 30 min,No,,,,,,"2007, Q3",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx33.gif,"1.9 inches, 11.4 cm2(~27.4% screen-to-body ratio)",Sharp GX33,"SMS, EMS, MMS, Email",Black,"TFT, 256K colors","500 x 9 fields, contact groups, Photo call",Class 10,93 x 44.6 x 21 mm (3.66 x 1.76 x 0.83 in),,9MB,,2.0,No,No,No,,,,SQCIF,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external mono display (12 x 72 pixels),,,,CIF videocall camera,Up to 300 h,Vibration; Downloadable polyphonic ringtones,,No,Yes,,Yes + downloadable,,,,,No,,Mini-SIM,,2 MP,104 g (3.67 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 3 h 50 min,microSD (dedicated slot),,,"Yes, 384 kbps",,,"2006, May",,GSM / UMTS,Face recognitionMP3/AAC playerPredictive text inputOrganizer,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-705sh.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~29.7% screen-to-body ratio)",Sharp 705SH,"SMS, MMS, Email","Gold, Royal Black, Silky Pink","TFT, 256K colors","500 entries, Photocall",,101 x 50 x 17 mm (3.98 x 1.97 x 0.67 in),,,,Proprietary,,No,No,UMTS 2100,,,Yes,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external mono display (12 x 72 pixels),,LED flash,,,Up to 350 h,Vibration; Downloadable polyphonic ringtones,,"Yes, with stereo speakers",Yes,,Yes + downloadable,,3D surround sound,,MP3/AAC playerPredictive text inputOrganizerFace recognitionVoice memoKaraoke,No,,Mini-SIM,,"3.15 MP, AF, 2x optical zoom",151 g (5.33 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"480 x 640 pixels, 4:3 ratio (~333 ppi density)",Up to 4 h 40 min,miniSD,,,"Yes, 384 kbps",,,"2006, February",,GSM / UMTS,CIF videocall camera,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-904sh.gif,"2.4 inches, 37 x 48 mm, 17.8 cm2(~34.3% screen-to-body ratio)",Sharp 904,"SMS, MMS, Email, Instant Messaging","Violet, Black, Blue","TFT, 256K colors","Yes, Photo call",,104 x 50 x 28 mm (4.09 x 1.97 x 1.10 in),,20MB,,Proprietary,,No,No,UMTS 2100,,,Yes,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external mono display (12 x 72 pixels),,,,Videocall camera,Up to 330 h,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,1.3 MP,101 g (3.56 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 2 h 40 min,microSD (dedicated slot),,,"Yes, 384 kbps",,,"2006, March",,GSM / UMTS,Video streamingVideo downloadingMP3/AAC/AAC+/AAC+e playerPredictive text inputOrganizerVoice memoStopwatch,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-770sh.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~29.7% screen-to-body ratio)",Sharp 770SH,"SMS, MMS, Email","Silver, Black","TFT, 256K colors",500 entries,,101 x 50 x 17.1 mm (3.98 x 1.97 x 0.67 in),,20MB,,Proprietary,,No,No,UMTS 2100,,,QCIF,Removable Li-Ion 820 mAh battery,,"Yes, MIDP 2.0"
Videocall camera,,,,,Up to 370 h,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,1.3 MP,98 g (3.46 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 4 h,microSD (dedicated slot),,,"Yes, 384 kbps",,,"2006, February",,GSM / UMTS,MP3/AAC playerPredictive text inputOrganizerVoice memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-550sh.gif,"2.0 inches, 30 x 40 mm, 12.4 cm2(~23.7% screen-to-body ratio)",Sharp 550SH,"SMS, MMS, Email",,"TFT, 256K colors",500 entries,,111 x 47 x 18.5 mm (4.37 x 1.85 x 0.73 in),,20MB,,Proprietary,,No,No,UMTS 2100,,,QCIF,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external mono display 72 x 12 pixels,,,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,1.1,,Yes + downloadable,,Predictive text inputOrganizerVoice memoRate conversion,,,No,,Mini-SIM,,VGA,92 g (3.25 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 3 h 40 min,No,,,,,,"2006, February",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx29.gif,"2.0 inches, 30 x 40 mm, 12.4 cm2(~28.7% screen-to-body ratio)",Sharp GX29,"SMS, MMS, Email",Silver,"TFT, 256K colors",500 entries,Class 10,93.8 x 46 x 20.3 mm (3.69 x 1.81 x 0.80 in),,2.1MB,,Proprietary,No,No,No,,,,SQCIF,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Videocall camera,,LED flash,,,Up to 250 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,"Yes, with stereo speakers",1.1,,Yes + downloadable,,MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memoBarcode reading,,,No,,Mini-SIM,,"3.15 MP, 2x optical zoom",140 g (4.94 oz),,,,Discontinued,No,Yes,"20 dialed, 20 received, 20 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,"miniSD, 64 MB included",,,"Yes, 384 kbps",,,"2005, July",,GSM / UMTS,3D stereo sound,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-903.gif,"2.4 inches, 36 x 48 mm, 17.8 cm2(~32.7% screen-to-body ratio)",Sharp 903,"SMS, MMS, Email",Black,"TFT, 256K colors","500 entries, Photo call",,109 x 50 x 29 mm (4.29 x 1.97 x 1.14 in),,8MB,,Proprietary,,No,No,UMTS 2100,,,320p,Removable Li-Ion 900 mAh battery,,"Yes, MIDP 2.0"
Second external mono display 72 x 12 pixels,,,,,Up to 290 h,Vibration; Downloadable polyphonic ringtones,,No,1.1,,Yes + downloadable,,MP3/AAC/AAC+ playerPredictive text inputOrganizer,,,No,,Mini-SIM,,1.3 MP,107 g (3.77 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 4 h,miniSD,,,"Yes, 384 kbps",,,"2005, July",,GSM / UMTS,Videocall camera,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-703.gif,"2.0 inches, 30 x 40 mm, 12.4 cm2(~26.6% screen-to-body ratio)",Sharp 703,"SMS, MMS, Email",Black,"TFT, 256K colors",Photo call,,99 x 47 x 23 mm (3.90 x 1.85 x 0.91 in),,8MB,,Proprietary,,No,No,UMTS 2100,,,320p,Removable Li-Ion battery,,"Yes, MIDP 2.0"
No,,,,,Up to 290 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,VGA,85 g (3.00 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"120 x 160 pixels, 4:3 ratio (~105 ppi density)",Up to 3 h 50 min,No,,,,,,"2005, Q1",,GSM,Predictive text inputOrganizerVoice memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx17.gif,"1.9 inches, 11.2 cm2(~23.2% screen-to-body ratio)",Sharp GX17,"SMS, MMS, Email",,"TFT, 65K colors",Yes,Class 10,106 x 45.5 x 17.4 mm (4.17 x 1.79 x 0.69 in),,,,Proprietary,No,No,No,,,,Yes,Removable Li-Ion (XN-1BT30),,"Yes, MIDP 2.0"
No,,,,,Up to 290 h,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,1.3 MP,98 g (3.46 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"240 x 320 pixels, 2.0 inch, 4:3 ratio",Up to 3 h 50 min,miniSD,,,,,,"2005, Q2",,GSM,Video playerMP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-gx40.gif,,Sharp GX40,"SMS, MMS, Email, Instant Messaging",,"TFT, 256K colors",500 entries,Class 10,93 x 46 x 22 mm (3.66 x 1.81 x 0.87 in),,,,Proprietary,No,No,FM radio,,,,QCIF,Removable Li-Ion battery,,"Yes, MIDP 2.0"
Second external display 72 x 12 pixels180 degree swiveling display,,LED flash,,Yes,Up to 140 h,Vibration; Downloadable polyphonic ringtones,,Yes,1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,"2 MP, 2x optical zoom",149 g (5.26 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 3 h,"SD/MMC, up to 1 GB, 32 MB included",,,"Yes, 384 kbps",,,"2004, Q3",,GSM / UMTS,Video streaming and downloadMP3/MP4 playerPredictive text inputOrganizerPhoto editorVoice dial/memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sh902.gif,"2.4 inches, 36 x 48 mm, 17.8 cm2(~35.0% screen-to-body ratio)",Sharp 902,"SMS, MMS, Email","Mirror White, Titanium Gray, Warm Orange","TFT, 256K colors",Photo call,,102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in),,26MB,,miniUSB,,No,No,UMTS 2100,,,Yes,Removable Li-Ion 870 mAh battery (XN-1BT90),,"Yes, MIDP 2.0"
180 deg swivel,,LED flash,,Yes,,Vibration; Downloadable polyphonic ringtones,,"Yes, with stereo speakers",1.1,,Yes + downloadable,,,,,No,,Mini-SIM,,1.3 MP,149 g (5.26 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"SD/MMC, 32 MB included",,,"Yes, 384 kbps",,,"2004, Q3",,GSM / UMTS,Video streaming and downloadPredictive text inputMP3/MP4 playerOrganizerPhoto editor,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sh802.gif,"2.4 inches, 36 x 48 mm, 17.8 cm2(~35.0% screen-to-body ratio)",Sharp 802,"SMS, MMS, Email",Silver,"TFT, 256K colors",Photo call,,102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in),,8MB,,miniUSB,,No,No,UMTS 2100,,,Yes,Removable Li-Ion 870 mAh battery (XN-1BT90),,"Yes, MIDP 2.0"
"Second external TFT display (64 x 96 pixels), 65K colors",,LED flash,,,Up to 220 h,Vibration; Downloadable polyphonic ringtones,,No,1.1,,Yes + downloadable,,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo,About 460 EUR,,No,,Mini-SIM,,"2 MP, AF",120 g (4.23 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio (~182 ppi density)",Up to 3 h 20 min,SD,,,,,,"2004, Q4",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shtm200.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~31.9% screen-to-body ratio)",Sharp TM200,"SMS, MMS, Email",,"TFT, 256K colors",Yes,Class 10,96 x 49 x 27 mm (3.78 x 1.93 x 1.06 in),,9MB,,,No,No,No,,,,Yes,Removable Li-Ion 840 mAh battery,,"Yes, MIDP 2.0"
Static and animated(GIF) wallpapers,,LED flash,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,1.1,,Yes + downloadable,,No,,Predictive text inputOrganizerVoice memo,No,,Mini-SIM,,VGA,90 g (3.17 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP,"320 x 240 pixels, 4:3 ratio",Up to 3 h 30 min,No,,,,,,"2004, Q3",,GSM,2.1 MB memory for gallery0.8 MB memory for MMS200 short messages,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shgx25.gif,,Sharp GX25/GZ200,"SMS, EMS, MMS, Email",,"TFT, 256K colors","500 x 8 fields, Photo call",Class 10,92 x 46 x 23.5 mm (3.62 x 1.81 x 0.93 in),,,,,No,No,No,,,,Yes,Removable Li-Ion 780 mAh battery,,"Yes, MIDP 2.0"
Second external 65K colors display 64 x 96 pixels,,,,,Up to 200 h,"Vibration; Downloadable polyphonic, SMAF, MIDI, i-melody, AMR ringtones",,No,No,,Downloadable,,Predictive text inputOrganizerVoice memo,,,No,,Mini-SIM,,1 MP,113 g (3.99 oz),,,,Discontinued,No,,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 3 h 20 min,SD/MMC,,,,,,"2004, Q3",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shtm150.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~37.5% screen-to-body ratio)",Sharp TM150,"SMS, MMS, Email",,"TFT, 256K colors","500 entries, Photo call",Class 10,93 x 43 x 25 mm (3.66 x 1.69 x 0.98 in),,6MB,,1.1,No,No,No,,,,Yes,Removable Li-Ion 780 mAh battery,,"Yes, MIDP 1.0"
,,,,,Up to 200 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,,Yes,,Predictive text inputPhoto editorOrganizerVoice memo (60 sec.),About 330 EUR,,No,,Mini-SIM,,VGA,95 g (3.35 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 3 h,No,,,,,,"2004, Q1",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shtm100.gif,,Sharp TM100,"SMS, EMS 5.0, MMS, Email",,"CGS, 256K colors","500 entries, Photo call",Class 10,100 x 49 x 19 mm (3.94 x 1.93 x 0.75 in),,,,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 780 mAh battery,,"Yes, MIDP 1.0"
"Second external display (64 x 96 pixels), 65K colorsFour-way navigation",,,,,Up to 220 h,Vibration; Downloadable polyphonic ringtones,,No,No,,Yes,,Audio/video playerPredictive text inputBarcode reading/creationOrganizerWorld ClockVoice memo,,,No,,Mini-SIM,,1 MP,126 g (4.44 oz),,,,Discontinued,No,Yes,"20 received, dialed and missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 20 lines, 4:3 ratio (~167 ppi density)",Up to 3 h,"SD, 16 MB included",,,"Yes, 384 kbps",,,"2004, Q1",,GSM / UMTS,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shv801.gif,"2.4 inches, 36 x 48 mm, 17.8 cm2(~35.0% screen-to-body ratio)",Sharp V801SH,"SMS, EMS, MMS, Email","4 - Noble White, Precious Black, Shanghai Red...","TFT, 256K colors",500 X 6 fields,,102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in),,5MB,,Proprietary,,No,No,UMTS 2100,,,Yes,Removable Li-Ion battery,,Yes
"Second external display (64 x 96 pixels), 65K colorsFour-way navigationStatus light in 7 colors",,LED flash,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,1.1,,Yes + downloadable,,No,,MP3 playerPredictive text inputOrganizer,No,,Mini-SIM,,1 MP,110 g (3.88 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 850 / 900 / 1800 / 1900,,WAP 1.2.1,"240 x 320 pixels, 8 lines, 4:3 ratio (~182 ppi density)",Up to 3 h,"SD, 16 MB included",,,,,,"2004, Q1",,GSM,Voice memo (max 10 sec each),,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shgx30.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~32.2% screen-to-body ratio)",Sharp GX30,"SMS, EMS, MMS, Email",,"CGS, 256K colors","500 x 9 fields, contact groups, Photo call",Class 10,95 x 49 x 26 mm (3.74 x 1.93 x 1.02 in),,6MB,,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 780 mAh battery,,"Yes, MIDP 1.0"
Four-way navigationWallpapers,,,,,Up to 210 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,1.1,,4,,Predictive text inputOrganizerChangeable Covers,,,No,,Mini-SIM,,VGA,90 g (3.17 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"120 x 160 pixels, 4:3 ratio",Up to 3 h 30 min,No,,,,,,2004,,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shgx15.gif,,Sharp GX15/GZ100,"SMS, MMS, EMail",Silver,"TFT, 65K colors","650 entries, Photo call",Class 10,105 x 45 x 18 mm (4.13 x 1.77 x 0.71 in),,1.8MB,,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 780 mAh battery,,"Yes, MIDP 2.0"
"Second external display (80 x 60 pixels), 65K colorsFour-way navigationStatus light in 7 colors",,LED flash,,,Up to 250 h,"Vibration; Downloadable polyphonic, recorded ringtones, composer",,No,No,,Yes,,Predictive text inputOrganizerVoice memo,,,No,,Mini-SIM,,VGA,102 g (3.60 oz),,,,Discontinued,No,Yes,"10 dialed, 10 received, 10 missed calls",,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 3 h 30 min,No,"English, Traditional Chinese",,,,,"2003, Q3",,GSM,No,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/shgx22.gif,,Sharp GX22,"SMS, EMS, MMS",,"CGS, 256K colors","500 entries, Photo call",Yes,94 x 49 x 25 mm (3.70 x 1.93 x 0.98 in),,2MB,,,No,No,No,,,,No,Removable Li-Ion 720 mAh battery,,Yes
