,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
No,GPS,,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,3.15 MP,131 x 66 x 10 mm (5.16 x 2.60 x 0.39 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"4.5 inches, 55.8 cm2(~64.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a630.jpg,"Li-Ion 2500 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,Accelerometer,Yes,,,"2.0, A2DP",,Yes,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",FM radio,Mediatek MT6577 (40 nm),,,,,,159 g (5.61 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A630,,4GB 512MB RAM,About 80 EUR,"2013, September. Released 2013, September",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.2.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,5 MP,132 x 66.7 x 9.9 mm (5.20 x 2.63 x 0.39 in),,Up to 552 h (2G) / Up to 552 h (3G),"Black, Pink, White",HSPA 21.1/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.5 inches, 55.8 cm2(~63.4% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Panorama,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a516.jpg,"Li-Po 2000 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 30 h (2G) / Up to 18 h (3G),"4.0, A2DP",,Yes,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",FM radio,Mediatek MT6572 (28 nm),,,,,,146 g (5.15 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A516,,4GB 512MB RAM,About 110 EUR,"2013, Q3. Released 2013, Q3",,IPS LCD,,,Lenovo
HSDPA 900 / 2100,GPS,,,,HSDPA 850 / 1900,Android 4.2 (Jelly Bean),Quad-core 1.5 GHz Cortex A7,PowerVR SGX544MP2,,,,"13 MP, AF",144 x 74 x 6.9 mm (5.67 x 2.91 x 0.27 in),,Up to 288 h,Black/Silver,HSPA 21.1/5.76 Mbps,"microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,,,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-x.jpg,"Li-Po 2000 mAh, non-removable",Micro-SIM,,,"Accelerometer, gyro, proximity, compass",Yes,,Up to 16 h,"3.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Mediatek MT6589T (28 nm),,,Corning Gorilla Glass 3,,,121 g (4.27 oz),,,,No,No,Yes,Lenovo Vibe X S960,,"16GB 2GB RAM, 32GB 2GB RAM",About 420 EUR,"2013, September. Released 2013, December",,IPS LCD,,,Lenovo
,TBD,,,,HSDPA 900 / 2100 - 3G model,"Android 4.2 (Jelly Bean), upgradable to 4.3 (Jelly Bean)",Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"5 MP, AF",190.5 x 116.8 x 7.6 mm (7.5 x 4.60 x 0.30 in),,,Silver Grey,HSPA - 3G model,"microUSB 2.0, OTG",Wi-Fi 802.11 b/g/n,,,,1.6 MP,Discontinued,,"7.0 inches, 142.1 cm2(~63.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - 3G model,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5000-n.jpg,"Li-Ion 3450 mAh, non-removable",Micro-SIM - 3G model,,,Accelerometer,Yes,,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"1280 x 800 pixels, 16:10 ratio (~216 ppi density)",No,Mediatek MT8125 or MT8389,,,,,,244.9 g (8.61 oz),,,,No,No,Yes,Lenovo S5000,,16GB 1GB RAM,About 130 EUR,"2013, September. Released 2013, November",,IPS LCD,,,Lenovo
GSM 850 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,,,HSDPA 900 / 2100,Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,,"5 MP, AF",153.5 x 79.3 x 9.5 mm (6.04 x 3.12 x 0.37 in),,Up to 490 h (2G) / Up to 490 h (3G),"Black, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"5.5 inches, 83.4 cm2(~68.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a850.jpg,"Li-Po 2250 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 28 h 40 min (2G) / Up to 14 h 30 min (3G),"4.0, A2DP",HSDPA 850 / 1900,Yes,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",FM radio,Mediatek MT6582M (28 nm),,,,,,184 g (6.49 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A850,,4GB 1GB RAM,About 150 EUR,"2013, August. Released 2013, August",,IPS LCD,,,Lenovo
GSM 850 / 1800 / 1900,GPS,,,,HSDPA 900 / 2100,Android 4.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A5,Adreno 203,,,,"5 MP, AF",136 x 69 x 10.4 mm (5.35 x 2.72 x 0.41 in),,Up to 230 h (2G) / Up to 180 h (3G),"Black, White/Grey",HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual band",,,,VGA,Discontinued,,"4.5 inches, 55.8 cm2(~59.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a706.jpg,"Li-Po 2000 mAh, removable",Dual SIM (Mini-SIM),,0.79 W/kg (head),"Accelerometer, proximity",Yes,,Up to 16 h (2G) / Up to 14 h (3G),3.0,HSDPA 850 / 1900,Yes,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",FM radio,Qualcomm MSM8225Q Snapdragon S4 Play,,,,,,130 g (4.59 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A706,,4GB 1GB RAM,About 150 EUR,2013. Released 2013,,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"8 MP, AF",143 x 73 x 10 mm (5.63 x 2.87 x 0.39 in),,Up to 840 h,Black,HSPA,"microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,,,VGA,Discontinued,,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p780.jpg,"Li-Po 4000 mAh, removable",Dual SIM,,,"Accelerometer, proximity",Yes,,Up to 43 h (2G) / Up to 25 h (3G),3.0,,Yes,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Mediatek MT6589 (28 nm),,,,,,176 g (6.21 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo P780,,"4GB 1GB RAM, 8GB 1GB RAM",About 190 EUR,"2013, June. Released 2013, June",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"12 MP, AF",139.5 x 69.7 x 9 mm (5.49 x 2.74 x 0.35 in),,Up to 140 h (2G) / Up to 140 h (3G),"Flamingo red, Charcoal Black, Pearl White",HSPA,microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual band",,,,2 MP,Discontinued,,"4.7 inches, 60.9 cm2(~62.6% screen-to-body ratio)",,,GSM 900 / 1800 / 1900,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s820.jpg,"Li-Po 2000 mAh, removable",Dual SIM,,0.54 W/kg (head),"Accelerometer, proximity",Yes,,Up to 22 h (2G) / Up to 10 h (3G),"3.0, A2DP",,Yes,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",FM radio; built-in antenna,Mediatek MT6589 (28 nm),,,Corning Gorilla Glass,,,143 g (5.04 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S820,,"4GB 1GB RAM, 8GB 1GB RAM",About 230 EUR,"2013, May. Released 2013, May",,IPS LCD,,,Lenovo
No,GPS,,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,5 MP,125.6 x 64 x 10.1 mm (4.94 x 2.52 x 0.40 in),,Up to 220 h (2G) / Up to 180 h (3G),"Black, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,,,,Discontinued,,"4.0 inches, 45.5 cm2(~56.7% screen-to-body ratio)",,,GSM 900 / 1800 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a390.jpg,"Li-Ion 1500 mAh, removable",Dual SIM (Mini-SIM),,,"Accelerometer, proximity",Yes,,Up to 14 h (2G) / Up to 9 h (3G),3.0,,Yes,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio,Mediatek MT6577 (40 nm),,,,,,131 g (4.62 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A390,,4GB 512MB RAM,About 70 EUR,"2013, April. Released 2013, April",,TFT,,,Lenovo
No,A-GPS only,,,,HSDPA 900 / 2100,Android 4.2.2 (Jelly Bean),Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,2 MP,124 x 64 x 11.7 mm (4.88 x 2.52 x 0.46 in),,Up to 288 h (2G) / Up to 288 h (3G),Black,HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,A369i,,,Discontinued,,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a369i.jpg,"Li-Po 1500 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 14 h 30 min (2G) / Up to 8 h (3G),3.0,,480p,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio,Mediatek MT6572 (28 nm),,,,,,120 g (4.23 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A369i,,4GB 512MB RAM,About 70 EUR,"2013, Q3. Released 2013, Q3",,TFT,,,Lenovo
No,No,,,,HSDPA 2100,Android 2.3 (Gingerbread),Dual-core 1.0 GHz Cortex-A7,Mali-400,,,,2 MP,-,,Up to 504 h,Black,HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"3.5 inches, 36.5 cm2",,,GSM 900 / 1800 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a269i.jpg,"Li-Po 1300 mAh, removable",Dual SIM (Mini-SIM),,,"Accelerometer, proximity",Yes,,Up to 19 h,2.0,,Yes,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",FM radio,Mediatek MT6572 (28 nm),,,,,,112 g (3.95 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A269i,,512MB 256MB RAM,About 70 EUR,"2013, September. Released 2013, October",,TFT,,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"8 MP, AF",154 x 77.7 x 7.9 mm (6.06 x 3.06 x 0.31 in),,Up to 480 h (2G) / Up to 480 h (3G),"White, Blue",HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual band",,,,2 MP,Discontinued,,"5.3 inches, 77.4 cm2(~64.7% screen-to-body ratio)",,,GSM 900 / 1800 / 1900,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s920.jpg,"Li-Po 2250 mAh, removable",Dual SIM,,0.46 W/kg (head),"Accelerometer, proximity, compass",Yes,,Up to 25 h (2G) / Up to 12 h (3G),"3.0, A2DP",,Yes,,"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",FM radio,Mediatek MT6589 (28 nm),,,,,,159 g (5.61 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S920,,4GB 1GB RAM,About 250 EUR,"2013, March. Released 2013, May",,IPS LCD,,,Lenovo
HDMI port,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"5 MP, AF",260 x 180 x 8.6 mm (10.24 x 7.09 x 0.34 in),,,Black,HSPA 42.2/11.5 Mbps,"microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"10.1 inches, 295.8 cm2(~63.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-s6000.jpg,"Li-Po 6350 mAh, non-removable (23.5 Wh)",Yes,,,"Accelerometer, compass","Yes, with stereo speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",No,Mediatek MT8389,,,,,,560 g (1.23 lb),,,,microSDXC (dedicated slot),No,Yes,Lenovo IdeaTab S6000H,,32GB 1GB RAM,About 300 EUR,"2013, Q1. Released 2013, Q2",,IPS LCD,,,Lenovo
HDMI port,No,,,,,Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544MP2,,,,"5 MP, AF",260 x 180 x 8.6 mm (10.24 x 7.09 x 0.34 in),,,Black,,"microUSB 2.0, OTG",Wi-Fi 802.11 b/g/n,,,,VGA,Discontinued,,"10.1 inches, 295.8 cm2(~63.2% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-s6000.jpg,"Li-Po 6350 mAh, non-removable (23.5 Wh)",No,,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",No,Mediatek MT8125 (28 nm),,,,,,560 g (1.23 lb),No,,,microSDXC (dedicated slot),No,Yes,Lenovo IdeaTab S6000F,,16GB 1GB RAM,About 220 EUR,"2013, Q1. Released 2013, Q2",,IPS LCD,,,Lenovo
No,No,,,,,Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544MP2,,,,VGA,260 x 180 x 8.6 mm (10.24 x 7.09 x 0.34 in),,,Black,,"microUSB 2.0, OTG",Wi-Fi 802.11 b/g/n,,,,,Discontinued,,"10.1 inches, 295.8 cm2(~63.2% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-s6000.jpg,"Li-Po 6350 mAh, non-removable (23.5 Wh)",No,,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",No,Mediatek MT8125 (28 nm),,,,,,560 g (1.23 lb),No,,,microSDXC (dedicated slot),No,Yes,Lenovo IdeaTab S6000L,,16GB 1GB RAM,About 190 EUR,"2013, Q1. Released 2013, Q2",,IPS LCD,,,Lenovo
HDMI port,No,,,,,Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544MP2,,,,"5 MP, AF",259.1 x 180.3 x 7.6 mm (10.20 x 7.10 x 0.30 in),,,Black,,"microUSB 2.0, OTG",Wi-Fi 802.11 b/g/n,,,,VGA,Discontinued,,"10.1 inches, 295.8 cm2(~63.3% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-s6000.jpg,"Li-Po 6350 mAh, non-removable (23.5 Wh)",No,,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",No,Mediatek MT8125 (28 nm),,,,,,562.5 g (1.24 lb),No,,,microSDXC (dedicated slot),No,Yes,Lenovo IdeaTab S6000,,"16GB 1GB RAM, 32GB 1GB RAM",,"2013, Q1. Released 2013, Q2",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA (optional),"Android 4.1 (Jelly Bean), upgradable to 4.2 (Jelly Bean)",Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"5 MP, AF",194 x 120 x 11 mm (7.64 x 4.72 x 0.43 in),,Up to 336 h,Black,HSPA,"microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,A3000-H,,VGA,Discontinued,,"7.0 inches, 137.9 cm2(~59.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,GSM / HSPA,,,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-a3000.jpg,"Li-Po 3500 mAh, non-removable",Single SIM or Dual SIM (dual stand-by),,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h,"4.0, A2DP",,1080p@30fps,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,Mediatek MT8125 (28 nm),,,,,,339 g (11.96 oz),Yes,,,microSDXC (dedicated slot),No,Yes,Lenovo IdeaTab A3000,,16GB 1GB RAM,About 180 EUR,"2013, January. Released 2013, May",,IPS LCD,,,Lenovo
No,GPS,,,,,"Android 4.1 (Jelly Bean), upgradable to 4.2 (Jelly Bean)",Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531u,,,,VGA,199 x 121 x 10.7 mm (7.83 x 4.76 x 0.42 in),,Up to 336 h,"Black, White",,"microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"7.0 inches, 137.9 cm2(~57.3% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-a1000.jpg,"Li-Po 3500 mAh, non-removable",No,,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h,"4.0, A2DP",,No,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,Mediatek MT8317,,,,,,340 g (11.99 oz),No,,,microSDHC (dedicated slot),No,Yes,Lenovo IdeaTab A1000,,"4GB 1GB RAM, 16GB 1GB RAM",About 150 EUR,"2013, January. Released 2013, May",,TFT,,,Lenovo
,GPS,,,,HSDPA 850 / 900 / 1700 / 1900 / 2100,Android 4.2 (Jelly Bean),Dual-core 2.0 GHz,PowerVR SGX544MP2,,,,"13 MP, AF",157 x 78 x 6.9 mm (6.18 x 3.07 x 0.27 in),,Up to 300 h (2G) / Up to 300 h (3G),Black/Gray,HSPA,"microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n, dual band, hotspot",,,,2 MP,Discontinued,,"5.5 inches, 83.4 cm2(~68.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,Dual-LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k900-new.jpg,"Li-Po 2500 mAh, non-removable",Micro-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 15 h (2G) / Up to 12 h (3G),"3.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Stereo FM radio,Intel Atom Z2580,,,Corning Gorilla Glass 2,,,162 g (5.71 oz),,,,No,No,Yes,Lenovo K900,,"16GB 2GB RAM, 32GB 2GB RAM",About 360 EUR,"2013, January. Released 2013, April",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.1 (Jelly Bean),Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531u,,,,"8 MP, AF",143 x 74.2 x 9.3 mm (5.63 x 2.92 x 0.37 in),,,"Black, Blue, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s890.jpg,"Li-Ion 2250 mAh, removable",Dual SIM (Mini-SIM),,0.41 W/kg (head),"Accelerometer, proximity",Yes,,,Yes,,720p,,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",FM radio,Mediatek MT6577 (40 nm),,,,,,176 g (6.21 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S890,,4GB 1GB RAM,About 230 EUR,"2013, January. Released 2013, January",,IPS LCD,,,Lenovo
GSM 850 / 1900 - for AT&T,,,,,HSDPA 850 / 1900 - for AT&T,Android 4.0.3 (Ice Cream Sandwich),1.0 GHz Cortex-A9,PowerVR SGX531,,,,3.15 MP,195.1 x 125 x 11.9 mm (7.68 x 4.92 x 0.47 in),,Up to 500 h,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"7.0 inches, 137.9 cm2(~56.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideatab-a2107.jpg,"Li-Ion 3550 mAh, non-removable","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 7 h,3.0,HSDPA 2100 - SIM 1 only,720p,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,Mediatek MT6575 (40 nm),,,,,,400 g (14.11 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo IdeaTab A2107,,16GB 1GB RAM,About 150 EUR,"2013, January. Released 2013, January",,TFT,,,Lenovo
,GPS,,,,HSDPA 2100,Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"8 MP, AF",147 x 73 x 9.4 mm (5.79 x 2.87 x 0.37 in),,,"Black, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a830.jpg,"Li-Ion 2250 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,0.38 W/kg (head),"Accelerometer, proximity",Yes,,,Yes,,720p,,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",FM radio,Mediatek MT6589 (28 nm),,,,,,165.4 g (5.82 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo A830,,4GB 1GB RAM,About 140 EUR,2013. Released 2013,,IPS LCD,,,Lenovo
No,GPS,,,,HSDPA 900 / 2100,Android 4.1.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"8 MP, AF",135 x 68.2 x 9.9 mm (5.31 x 2.69 x 0.39 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"4.5 inches, 55.8 cm2(~60.6% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a820.jpg,"Li-Ion 2000 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,0.37 W/kg (head),"Accelerometer, proximity",Yes,,,Yes,,720p,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",FM radio,Mediatek MT6589 (28 nm),,,,,,151 g (5.33 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A820,,4GB 1GB RAM,About 110 EUR,2013. Released 2013,,IPS LCD,,,Lenovo
No,GPS,,,,HSDPA 900 / 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531,,,,"5 MP, AF",133.5 x 68.9 x 11.5 mm (5.26 x 2.71 x 0.45 in),,,"Black, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"4.5 inches, 55.8 cm2(~60.7% screen-to-body ratio)",,,GSM 900 / 1800 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a800.jpg,"Li-Ion 2000 mAh, removable",Dual SIM (Mini-SIM),,,"Accelerometer, proximity",Yes,,,"4.0, A2DP, EDR",,720p,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",FM radio,Mediatek MT6577T (40 nm),,,,,,155 g (5.47 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A800,,"4GB (1.65 user available), 512MB RAM",About 120 EUR,"2013, January. Released 2013, January",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"5 MP, AF",126.6 x 65.4 x 13.2 mm (4.98 x 2.57 x 0.52 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.0 inches, 45.5 cm2(~55.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a789.jpg,"Li-Ion 2000 mAh, removable",Dual SIM (Mini-SIM),,0.44 W/kg (head),"Accelerometer, proximity",Yes,,,Yes,,720p,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","FM radio, FM transmitter",Mediatek MT6577 (40 nm),,,,,,154.8 g (5.43 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A789,,4GB 512MB RAM,About 150 EUR,"2012, June. Released 2012, August",,TFT,,,Lenovo
