,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 640 h,Yes,2.0,Yes,,No,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,Yes,,Dual SIM (Mini-SIM),1.3 MP,140 g (4.94 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,176 x 220 pixels (~141 ppi density),Up to 9 h,microSDHC (dedicated slot),,,No,,"2013, May. Released 2013, June",,GSM,IP67 dust/water resistant (up to 1m for 30 min)Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-ram.jpg,"2.0 inches, 12.6 cm2(~20.0% screen-to-body ratio)",Plum Ram,"SMS, MMS","Black, Orange, Red","TFT, 256K colors","500 entries, Photocall",Class 12,119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in),64MB 32MB RAM,microUSB,Class 12,No,FM radio,,,Yes,"Li-Ion 1700 mAh, removable",,,No
HSDPA 850 / 1700,,Dual-core 1.2 GHz Cortex-A9,,1.3 MP,Up to 420 h,Yes,"4.0, A2DP",,Android 4.1.2 (Jelly Bean),,,Yes,,Dual SIM,3.15 MP,-,Mediatek MT6577 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 7 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,No,,"2013, February. Released 2013, April",,GSM / HSPA,TV,Plum,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/plum-z710.jpg,"7.0 inches, 137.9 cm2",Plum Z710,,"Black, White","TFT, 256K colors",,,-,16GB 1GB RAM,miniUSB,,GPS,FM radio,HSDPA 850 / 2100,,Yes,"Li-Ion 3000 mAh, non-removable",,"Accelerometer, proximity, compass",
HSDPA 850 / 1700,LED flash,1.0 GHz Cortex-A9,,,Up to 200 h,Yes,"4.0, A2DP",,Android 4.0 (Ice Cream Sandwich),,,Yes,,Dual SIM,"2 MP, AF",103 g (3.63 oz),Mediatek MT6575 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 5 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,No,,"2013, February. Released 2013, April",,GSM / HSPA,No,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-trigger.jpg,"3.5 inches, 36.5 cm2(~50.7% screen-to-body ratio)",Plum Trigger,,"Black, White","TFT, 256K colors",,,117 x 61.5 x 11.6 mm (4.61 x 2.42 x 0.46 in),512MB 256MB RAM,miniUSB,,GPS,FM radio,HSDPA 850 / 2100,,Yes,"Li-Ion 1350 mAh, removable",,"Accelerometer, proximity, compass",
,LED flash,1.0 GHz,,1.3 MP,Up to 200 h,Yes,2.1,,Android 2.3.5 (Gingerbread),,,Yes,,Dual SIM,"5 MP, AF",105 g (3.70 oz),,,Discontinued,Wi-Fi 802.11 b/g,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,No,,"2013, February. Released 2013, April",,GSM,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-glow.jpg,"3.5 inches, 36.5 cm2(~53.0% screen-to-body ratio)",Plum Glow,,"Black, White","TFT, 256K colors",,Class 12,112 x 61.5 x 12.9 mm (4.41 x 2.42 x 0.51 in),512MB 256MB RAM,miniUSB,Class 12,GPS,FM radio,,,Yes,"Li-Ion 1500 mAh, removable",,"Accelerometer, proximity, compass",
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 200 h,Yes,2.0,No,,"MSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",,No,,Dual SIM,1.3 MP,47 g without battery (1.66 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 160 pixels, 3:2 ratio (~200 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,No,,"2013, February. Released 2013, April",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-panther.jpg,"1.44 inches, 6.2 cm2(~19.8% screen-to-body ratio)",Plum Panther,"SMS, MMS","White, Black, Red",TFT,Yes,Yes,80.9 x 38.6 x 21.5 mm (3.19 x 1.52 x 0.85 in),"64MB ROM, 32MB RAM",microUSB,No,No,FM radio,,,Yes @10fps,"Li-Ion 750 mAh, removable",,,No
UMTS 850  / 1700,LED flash,650 MHz,,1.3 MP,Up to 250 h,Yes,"4.0, A2DP",Yes,,,,Yes,,Dual SIM,3.15 MP,125 g (4.41 oz),Mediatek MT6276,Yes,Discontinued,Wi-Fi 802.11 b/g,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 7 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,No,,"2013, February. Released 2013, April",,GSM / UMTS / HSPA,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-caliber-ii.jpg,"2.4 inches, 17.8 cm2(~29.8% screen-to-body ratio)",Plum Caliber II,"SMS, MMS, Email, IM","Black, White","TFT, 256K colors",Yes,,116 x 51.6 x 13.5 mm (4.57 x 2.03 x 0.53 in),1GB 512MB RAM,,,GPS,Stereo FM radio,HSDPA 850 / 2100,,Yes,"Li-Ion 1500 mAh, removable",,,Yes
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 200 h,Yes,2.0,Yes,,No,"MSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",No,QWERTY,Dual SIM (Mini-SIM),1.3 MP,89 g (3.14 oz),Mediatek MT6250,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"160 x 120 pixels, 4:3 ratio (~111 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,No,,"2012, September. Released 2012, October",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-p110.jpg,"1.8 inches, 10.0 cm2(~24.2% screen-to-body ratio)",Plum Signal,"SMS, MMS, Email, IM","White, Blue, Pink, Green, Red",TFT,Yes,Class 10,92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in),"32MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,@10fps,"Li-Ion 800 mAh, removable (BL-4U)",,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,LED flash,,,,Up to 600 h,Yes,2.0,Yes,,No,"Analog TVMSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",No,,Dual SIM (Mini-SIM),1.3 MP,93 g (3.28 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 5 h,microSDHC (dedicated slot),,,No,,"2012, November. Released 2012, December",,GSM,Shock and splash resistant,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-e100.jpg,"2.0 inches, 12.4 cm2(~20.2% screen-to-body ratio)",Plum Hammer,"SMS, MMS, IM","Black, Orange, Camouflage","TFT, 65K colors",Yes,Class 10,116 x 52.8 x 19.8 mm (4.57 x 2.08 x 0.78 in),"64MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,320p@10fps,"Li-Ion 1500 mAh, removable",,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 160 h,Yes,2.0,No,,"Analog TVMSN, Facebook, YahooMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",,No,,Dual SIM (Mini-SIM),1.3 MP,82 g (2.89 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,128 x 160 pixels (~102 ppi density),Up to 4 h,microSDHC (dedicated slot),,,No,,"2012, September. Released 2012, December",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-d105.jpg,"2.0 inches, 12.6 cm2(~30.4% screen-to-body ratio)",Plum Flipper,"SMS, MMS","Black, Blue, Red","TFT, 65K colors",Yes,Yes,92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in),"32MB ROM, 32MB RAM",miniUSB,No,No,Stereo FM radio,,,Yes @10fps,"Li-Ion 800 mAh, removable (BL-4U)",,,No
MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF ViewerOfficePhoto editorVoice memo/dialPredictive text input,,1.4 GHz Scorpion,,1.3 MP,Up to 200 h,Yes,"2.0, A2DP, EDR",,Android 4.0 (Ice Cream Sandwich),,,Yes,,Mini-SIM,5 MP,388 g (13.69 oz),Qualcomm MSM8255 Snapdragon S2,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,GSM 850 / 900 / 1800 / 1900,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 12 h,"microSDHC (dedicated slot), 32 GB included",,HSPA 7.2/5.76 Mbps,,,"2012, May. Released 2012, May",,GSM / HSPA,,Plum,,Adreno 205,https://fdn2.gsmarena.com/vv/bigpic/plum-debut-new.jpg,"7.0 inches, 137.9 cm2(~57.5% screen-to-body ratio)",Plum Debut,,"Black, White",TFT,,,200 x 120 x 8.9 mm (7.87 x 4.72 x 0.35 in),4GB 512MB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 850 / 1900 / 2100,,Yes,Non-removable Li-Ion 4250 mAh battery,,Accelerometer,
No,,1.2 GHz,,,Up to 120 h,Yes,No,,Android 4.0 (Ice Cream Sandwich),,,Yes,,No,1.3 MP,260 g (9.17 oz),,,Discontinued,Wi-Fi 802.11 b/g,,N/A,,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,No,,"2012, August. Released 2012, October",,No cellular connectivity,MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewer,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-link.jpg,"7.0 inches, 139.5 cm2(~60.2% screen-to-body ratio)",Plum Link,,"Black, White","TFT, 256K colors",,No,193 x 120 x 11 mm (7.60 x 4.72 x 0.43 in),4GB 512MB RAM,miniUSB 2.0,No,No,No,,,Yes,"Li-Ion 2800 mAh, non-removable",,Accelerometer,
HSDPA 850 / 1900,LED flash,1.0 GHz Cortex-A9,,1.3 MP,Up to 720 h,Yes,"2.0, A2DP, EDR",,Android 4.0 (Ice Cream Sandwich),,,Yes,,Dual SIM (Mini-SIM),"5 MP, AF",180 g (6.35 oz),Mediatek MT6575 (40 nm),,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~176 ppi density)",Up to 7 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,,,"2012, May. Released 2012, May",,GSM / HSPA,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF ViewerOfficePhoto editorVoice memo/dialPredictive text input,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-might-new.jpg,"5.3 inches, 80.0 cm2(~66.0% screen-to-body ratio)",Plum Might,,"Black, White","TFT, 256K colors",,,147 x 82.4 x 10.5 mm (5.79 x 3.24 x 0.41 in),1GB 512MB RAM,miniUSB 2.0,,"GPS, A-GPS",Stereo FM radio,HSDPA 850 / 2100,,Yes,Removable Li-Ion 2500 mAh battery,,"Accelerometer, proximity",
HSDPA 1900 / 2100,LED flash,1.0 GHz Cortex-A9,,VGA,Up to 200 h,Yes,2.1,,Android 4.0 (Ice Cream Sandwich),,,Yes,,Dual SIM (Mini-SIM),"5 MP, AF",98 g (3.46 oz),Mediatek MT6575 (40 nm),,Discontinued,"Wi-Fi 802.11 b/g, Mi-Fi hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h,microSDHC (dedicated slot),,HSPA,,,"2012, May. Released 2012, May",,GSM / HSPA,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-axe.jpg,"4.0 inches, 45.5 cm2(~58.7% screen-to-body ratio)",Plum Axe,,"Black, White","TFT, 256K colors",,,122 x 63.6 x 10.4 mm (4.80 x 2.50 x 0.41 in),4GB 512MB RAM,miniUSB,,"GPS, A-GPS",Stereo FM radio,HSDPA 850 / 2100,,Yes,Removable Li-Ion 1400 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900,LED flash,650 MHz Cortex-A9,,1.3 MP,Up to 120 h,Yes,"2.0, A2DP, EDR",,Android 2.3 (Gingerbread),,,Yes,,Dual SIM (Mini-SIM),3.15 MP,98 g (3.46 oz),Mediatek MT6573 (65 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 5 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,,,"2012, May. Released 2012, May",,GSM / HSPA,Analog TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF viewerPhoto editorVoice memo/dialPredictive text input,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-capacity.jpg,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",Plum Capacity,,"Black, Red",TFT,,,118 x 62 x 12 mm (4.65 x 2.44 x 0.47 in),512MB 256MB RAM,microUSB 2.0,,"GPS, A-GPS",Stereo FM radio,HSDPA 850 / 2100,,Yes,Removable Li-Ion 1200 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900 - SIM 1,,,,,Up to 250 h,Yes,"2.1, A2DP",,Android 2.2 (Froyo),MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument editorPhoto editorVoice memo/dialMP4/WMV/H.264 playerMP3/WAV/WMA/AAC playerOrganizerPhoto/video editorVoice memoPredictive text input,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",2 MP,92 g (3.25 oz),,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 6 h,microSDHC (dedicated slot),,"Yes, 384 kbps",,,"2012, February. Released 2012, March",,GSM / HSPA,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-wicked-new.jpg,"2.8 inches, 24.3 cm2(~38.1% screen-to-body ratio)",Plum Wicked,,"Black, White",TFT resistive touchscreen,,,110 x 58 x 13.4 mm (4.33 x 2.28 x 0.53 in),512MB 256MB RAM,microUSB 2.0,,"GPS, A-GPS",FM radio,HSDPA 850 / 2100 - SIM 1,,320p@30fps,Removable Li-Ion 1000 mAh battery,,"Accelerometer, compass",
HSDPA 1900 / 2100,,800 MHz Cortex-A9,,VGA,Up to 150 h,Yes,"2.0, A2DP, EDR",,Android 2.3.5 (Gingerbread),,,No,,Dual SIM (Mini-SIM),3.15 MP,90 g (3.17 oz),Mediatek MT6573 (65 nm),,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 4 h,microSDHC (dedicated slot),,HSPA,,,"2012, May. Released 2012, May",,GSM / HSPA,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-flix.jpg,"3.2 inches, 30.5 cm2(~49.5% screen-to-body ratio)",Plum Flix,,Black,TFT,,,108 x 57 x 14.5 mm (4.25 x 2.24 x 0.57 in),"512MB RAM, 256MB",microUSB 2.0,,GPS,FM radio,HSDPA 850 / 2100,,Yes,Removable Li-Ion 1200 mAh battery,,"Accelerometer, proximity",
No,LED flash,416 MHz,,,Up to 300 h,Yes,2.0,,Android 2.3.1 (Gingerbread),,,Yes,,Dual SIM (Mini-SIM),2 MP,92 g (3.25 oz),Mediatek MT6516,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 8 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,,,"2012, May. Released 2012, May",,GSM,Analog TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-orbit.jpg,"3.2 inches, 29.1 cm2(~48.9% screen-to-body ratio)",Plum Orbit,,"Black, White, Pink",TFT resistive touchscreen,,Class 12,104 x 57.3 x 11 mm (4.09 x 2.26 x 0.43 in),,microUSB 2.0,Yes,"GPS, A-GPS",FM radio,,,Yes,Removable Li-Ion 1100 mAh battery,,Accelerometer,
2.5 mm audio jack,LED flash,416 MHz,,Yes,Up to 200 h,Yes,"2.0, A2DP",,Android 2.2 (Froyo),,,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",2 MP,135 g (4.76 oz),Mediatek MT6516,,Discontinued,Wi-Fi 802.11 b/g,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,,,"2011, September. Released 2011, September",,GSM,Analog TVMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerPhoto viewer/editorVoice memoPredictive text input,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-velocity.jpg,"2.6 inches, 20.9 cm2(~29.5% screen-to-body ratio)",Plum Velocity,,"Black, White",TFT resistive touchscreen,,Class 12,113.5 x 62.5 x 12.6 mm (4.47 x 2.46 x 0.50 in),512MB 256MB RAM,microUSB 2.0,Class 12,"GPS, A-GPS",FM radio,,,720p@30fps,Removable Li-Ion 800 mAh battery (BL-5K),,,
GSM 850 / 900 / 1800 / 1900 - SIM 2,LED flash,650 MHz Cortex-A9,,1 MP,Up to 260 h,Yes,"2.1, A2DP, EDR",Yes,,Flashlight,"MSN, Facebook applicationsMP3/WAV/AAC playerMP4/H.264 playerOrganizerVoice memoPredictive text input",Yes,,"Dual SIM (Mini-SIM, dual stand-by)",2 MP,90 g (3.17 oz),Mediatek MT6573 (65 nm),Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 5 h,microSDHC (dedicated slot),,384 Kbps,,,"2011, September. Released 2011, September",,GSM / HSPA,HSDPA 850 / 1900 - SIM 1 only,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-caliber.jpg,"2.2 inches, 15.0 cm2(~28.6% screen-to-body ratio)",Plum Caliber,"SMS, MMS, Email, IM","Black, Red, White",TFT,"1000 entries, Photocall",,107 x 49 x 14.1 mm (4.21 x 1.93 x 0.56 in),"512MB ROM, 256MB RAM",microUSB,,No,Stereo FM radio,HSDPA 850 / 2100 - SIM 1 only,,Yes,Removable Li-Ion 1050 mAh battery (BL-5C),,,Yes
HSDPA 850 / 1900,,,,,Up to 230 h,Yes,2.1,Yes,,2.5 mm audio jack,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument editorPhoto editorE-book readerVoice memo/dial,No,,Mini-SIM,,106 g (3.74 oz),Mediatek MT6276,Yes,Discontinued,"Wi-Fi 802.11 b/g, Mi-Fi hotspot",,GSM 850 / 900 / 1800 / 1900,,"160 x 240 pixels, 3:2 ratio (~163 ppi density)",Up to 3 h,microSDHC (dedicated slot),,HSPA 7.2/5.76 Mbps,,,"2012, February. Released 2012, August",,GSM / HSPA,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-switch.jpg,"1.77 inches, 9.3 cm2(~23.8% screen-to-body ratio)",Plum Switch,"SMS(threaded view), MMS, Email, Push Email, IM","Black, Blue, Green, White",TFT,Yes,,106.1 x 37 x 13.8 mm (4.18 x 1.46 x 0.54 in),"1GB ROM, 512MB RAM",2.0,,No,FM radio,HSDPA 850 / 2100,,,Removable Li-Ion 430 mAh battery,,,"Yes, MIDP 2.0"
GSM 850 / 900 / 1800 / 1900 - SIM 2,LED flash,208 MHz MTK 6235,,VGA,Up to 400 h,Yes,Yes,Yes,,"Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",,Yes,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",VGA,93.4 g (3.28 oz),,Yes,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"320 x 240 pixels, 4:3 ratio (~157 ppi density)",Up to 3 h 30 min,microSDHC (dedicated slot),,,,,"2011, September. Released 2011, September",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-galactic.jpg,"2.55 inches, 20.1 cm2(~29.3% screen-to-body ratio)",Plum Galactic,"SMS, MMS, Email, IM","Black blue, black orange, black purple, white blue, white orange, white purple",TFT,300 contacts,Yes,118 x 58.3 x 13.7 mm (4.65 x 2.30 x 0.54 in),1GB 256MB RAM,microUSB,Yes,No,Stereo FM radio,,,Yes,Removable Li-Ion 900 mAh battery (BL-5F),,,Yes
Flashlight,LED flash,200 MHz,,VGA,Up to 400 h,"Yes, with stereo speakers",Yes,Yes,,,,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,93.4 g (3.28 oz),Mediatek MT6235,Yes,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,,,"2011, September. Released 2011, September",,GSM,"MSN, Facebook, Yahoo, TwitterAnalog TVMP3/WAV playerMP4/H.263 playerPredictive text input",Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-tracer.jpg,"2.8 inches, 24.3 cm2(~35.3% screen-to-body ratio)",Plum Tracer II,"SMS, MMS, Email","Black, white, red",TFT resistive touchscreen,300 entries,Yes,118 x 58.3 x 13.7 mm (4.65 x 2.30 x 0.54 in),"512MB ROM, 256MB RAM",microUSB,Yes,No,FM radio,,,Yes,Removable Li-Ion 900 mAh battery (BL-5F),,,Yes
No,,,,,Up to 350 h,Yes,2.0,Yes,,,,Yes,,Dual SIM (Mini-SIM),1.3 MP,90 g (3.17 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,,,"2012, August. Released 2012, September",,GSM,"TVEbuddy, Facebook, Yahoo, TwitterMP4/AVI/3GP playerMP3/WAV/WMA playerOrganizerTouch screenVoice memo/dial",Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-geo.jpg,"2.6 inches, 20.9 cm2(~33.5% screen-to-body ratio)",Plum Geo,"SMS, MMS, Email, IM","Black, White, Silver",TFT resistive touchscreen,Yes,Class 10,106.9 x 58.4 x 15.5 mm (4.21 x 2.30 x 0.61 in),"64MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,Yes,Removable Li-Ion 1050 mAh battery,,,No
Analog TVMP3/WAV/eAAC+/WMA/FLAC playerMP4/H.263 playerVoice memo/dial/commandPredictive text input,LED flash,MT 6253 chipset,,VGA,Up to 400 h,Yes,Yes,Yes,,,,No,,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,126 g (4.44 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 6 h,microSDHC (dedicated slot),"English, Spanish, Portuguese, French",,,,"2011, August. Released 2011, September",,GSM,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-tingle.jpg,"2.8 inches, 22.3 cm2(~33.8% screen-to-body ratio)",Plum Tingle,"SMS, MMS","Red, Black, Blue, Magenta","TFT, 256K colors",500 entries,Class 12,113.7 x 58 x 12.8 mm (4.48 x 2.28 x 0.50 in),"128MB ROM, 64MB RAM",microUSB 2.0,Class 12,No,FM radio,,,Yes,Removable Li-Ion 1100 mAh battery (BL-4L),,,Yes
GSM 850 / 900 / 1800 / 1900 - SIM 3,LED flash,,,VGA,Up to 600 h,Yes,1.2,Yes,,2.5 mm audio jack,"Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",No,QWERTY,Triple SIM (Mini-SIM),1.3 MP,91 g (3.21 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,220 x 176 pixels (~141 ppi density),Up to 5 h,microSDHC (dedicated slot),,,,,"2011, July. Released 2011, July",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-genius.jpg,"2.0 inches, 12.6 cm2(~19.7% screen-to-body ratio)",Plum Genius,"SMS, MMS, IM","Orange, Green, Orchid, Yellow, Sky Blue","TFT, 65K colors",200 entries,Class 10,110 x 58 x 13.9 mm (4.33 x 2.28 x 0.55 in),"64MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,320p@10fps,Removable Li-Ion 1200 mAh battery (BL-4L),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,LED flash,,,,Up to 400 h,Yes,2.0,Yes,,No,2.5 mm audio jack,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,91 g (3.21 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,220 x 176 pixels (~141 ppi density),Up to 4 h,microSDHC (dedicated slot),"English, Spanish, Portuguese, French",,,,"2011, January. Released 2011, January",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-blast.jpg,"2.0 inches, 12.6 cm2(~19.5% screen-to-body ratio)",Plum Blast,"SMS, MMS, Email, IM","White, Yellow, Light Blue, Pink, Green, Dark Red",TFT,200 entries,Class 10,112.2 x 57.6 x 13.4 mm (4.42 x 2.27 x 0.53 in),"64MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,@10fps,Removable Li-Ion 800 mAh battery (BL-4U),"Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",,No
