,Resolution,Alert types,Talk time_1,Price,Display,Type_1,Talk time,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,_6,Protection,Browser,Radio,Audio quality,Performance,CPU,_4,Stand-by_1,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,_7,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Battery (old),USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Keyboard,Models,2G bands,Features,_5,Dimensions,SAR
No,"360 x 480 pixels, 4:3 ratio (~185 ppi density)",,,About 70 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h (2G) / Up to 6 h (3G),Yes,,,microSDHC (dedicated slot),,,GSM / HSPA,"2009, October. Released 2009, November","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,Noise -85.0dB / Crosstalk -81.3dB,,,,,,,Up to 305 h (2G) / Up to 280 h (3G),160 g (5.64 oz),,Mini-SIM,2GB,"3.15 MP, AF",,,"3.25 inches, 32.7 cm2(~46.7% screen-to-body ratio)",Yes,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/AAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dial",,Voice 72dB / Noise 66dB / Ring 72dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-storm2-new1.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Storm2 9520,HSDPA 2100,HSPA 7.2/2 Mbps,Yes,"2.1, A2DP",1.02 W/kg (head)     0.53 W/kg (body),,Black,,Wi-Fi 802.11 b/g,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in),0.97 W/kg (head)     0.60 W/kg (body)
CDMA2000 800 / 1900,"360 x 480 pixels, 4:3 ratio (~185 ppi density)",,Up to 5 h 30 min,About 70 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h (2G) / Up to 6 h (3G),Yes,No,,microSD (dedicated slot),,,GSM / HSPA,"2009, October. Released 2009, November","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,Up to 270 h,,,Up to 305 h (2G) / Up to 280 h (3G),160 g (5.64 oz),,Mini-SIM,2GB,"3.15 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/AAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dial",,"3.25 inches, 32.7 cm2(~46.7% screen-to-body ratio)",Yes,EV-DO 800 / 1900,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-storm2-9550.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Storm2 9550,HSDPA 2100,"HSPA 7.2/2 Mbps, EV-DO RevA 3.1 Mbps",Yes,"2.1, A2DP",0.92 W/kg (head)     0.45 W/kg (body),,Black,,Wi-Fi 802.11 b/g,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in),1.01 W/kg (head)     0.63 W/kg (body)
Optical trackpad,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",,,About 60 EUR,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min,Yes,Dedicated music keys,,microSDHC (dedicated slot),,,CDMA / EVDO,"2009, November. Released 2009, December","TFT, 65K colors",BlackBerry OS 5.0,,,,BlackBerry,,,HTML,No,,,528 MHz,,,,,Up to 252 h,106 g (3.74 oz),,Mini-SIM,256MB ROM,2 MP,BlackBerry mapsMP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,"2.46 inches, 18.7 cm2(~28.7% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8530.jpg,,microUSB,,,BlackBerry Curve 8530,CDMA2000 1xEV-DO,"EV-DO Rev.0, 153.2 Kbps",Yes,"2.1, A2DP",,,"Black, Purple",,Wi-Fi 802.11 b/g,"GPS, A-GPS",,QWERTY,,CDMA 800 / 1900,,,109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in),1.24 W/kg (head)     0.66 W/kg (body)
Optical trackpad,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",,,About 70 EUR,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min,320p,Dedicated music keys,,microSDHC (dedicated slot),,,GSM,"2009, July. Released 2009, August","TFT, 65K colors",BlackBerry OS 5.0,,,,BlackBerry,,,HTML,No,Noise -87.2dB / Crosstalk -86.6dB,,512 MHz,,,,Class 10,Up to 408 h,106 g (3.74 oz),,Mini-SIM,256MB,2 MP,MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerVoice memo/dialPredictive text input,,"2.46 inches, 18.7 cm2(~28.7% screen-to-body ratio)",Yes,No,,Voice 69dB / Noise 68dB / Ring 76dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-curve-8520.jpg,,microUSB,,Class 10,BlackBerry Curve 8520,,,Yes,"2.0, A2DP",1.02 W/kg (head)     0.78 W/kg (body),,Black,,Wi-Fi 802.11b/g,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in),1.22 W/kg (head)     0.83 W/kg (body)
CDMA/EVDO Rev A 800/1900,"480 x 360 pixels, 4:3 ratio (~250 ppi density)",,,About 70 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h,Yes,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2009, July. Released 2009, July",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,,Up to 336 h,130 g (4.59 oz),,Mini-SIM,256MB,"3.15 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/eAAC+/WAV playerMP4/WMV/H.264 playerOrganizerVoice memo",,"2.4 inches, 17.8 cm2(~25.7% screen-to-body ratio)",Yes,Trackball,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-tour-9630.jpg,,microUSB 2.0,,,BlackBerry Tour 9630,HSDPA 2100,HSPA,Yes,"2.0, A2DP",1.72 W/kg (head)     0.48 W/kg (body),,Black,,No,"GPS, A-GPS, BlackBerry Maps",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,112 x 62 x 14.2 mm (4.41 x 2.44 x 0.56 in),1.43 W/kg (head)     0.53 W/kg (body)
Optical trackpad,"480 x 360 pixels, 4:3 ratio (~250 ppi density)",,,About 70 EUR,,Removable Li-Ion battery,,Yes,BlackBerry mapsMP3/AAC/AAC+/WMA playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto viewerVoice dial/memoPredictive text input,,microSDHC (dedicated slot),,,GSM,2012,TFT,BlackBerry OS 5.0,,,,BlackBerry,,,HTML,No,,,,,,,Yes,,117 g (4.13 oz),,Mini-SIM,256MB,"3.15 MP, AF",,,"2.4 inches, 17.8 cm2(~27.3% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-8980.jpg,,microUSB 2.0,,Yes,BlackBerry Curve 8980,,,Yes,"2.1, A2DP",,,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 13.6 mm (4.29 x 2.36 x 0.54 in),0.64 W/kg (head)     0.66 W/kg (body)
Trackball,"480 x 360 pixels, 4:3 ratio (~250 ppi density)",,,About 60 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h 30 min,SCIF,BlackBerry mapsMP3/AAC/AAC+/WMA playerDivX/XviD/MP4/H.264/WMV playerOrganizerVoice dial/memo,,microSDHC (dedicated slot),,,GSM,"2008, November. Released 2008, November","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,Noise -89.4dB / Crosstalk -88.9dB,,512 MHz,,,,Class 10,Up to 356 h,110 g (3.88 oz),,Mini-SIM,256MB ROM,"3.15 MP, AF",,,"2.4 inches, 17.8 cm2(~27.3% screen-to-body ratio)",Yes,No,,Voice 75dB / Noise 66dB / Ring 75dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-curve-8900.jpg,,microUSB 2.0,,Class 10,BlackBerry Curve 8900,,,Yes,"2.0, A2DP",0.65 W/kg (head)     0.45 W/kg (body),,Black,,Wi-Fi 802.11b/g,"GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 13.5 mm (4.29 x 2.36 x 0.53 in),1.01 W/kg (head)     0.59 W/kg (body)
Optical trackpad,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,,,,Removable Li-Ion 1230 mAh battery,,720p,"Document editor (Word, Excel, PowerPoint, PDF)MP3/WMA/AAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dialPredictive text input",,microSDHC (dedicated slot),,,GSM / HSPA,Not officially announced yet,"TFT, 65K colors",BlackBerry OS 6.1,,,,BlackBerry,,,HTML,No,,,1.2GHz,,,,,,-,,Mini-SIM,8GB 512MB RAM,"5 MP, AF",,,"3.7 inches, 39.0 cm2",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Storm3.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Storm3,HSDPA 850 / 1900 / 2100,HSPA 7.2/0.384 Mbps,Yes,"2.1, A2DP, EDR",,,Black,,"Wi-Fi 802.11 b/g/n, UMA","GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,,-,
No,"360 x 480 pixels, 4:3 ratio (~185 ppi density)",,,About 80 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h 30 min,320p,,Adreno 130,"microSDHC (dedicated slot), 8 GB included",Qualcomm MSM7600,,GSM / HSPA,"2008, September. Released 2008, November","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,Noise -87.6dB / Crosstalk -85.8dB,,528 MHz ARM 11,,,,,Up to 360 h,155 g (5.47 oz),,Mini-SIM,1GB 128MB RAM,"3.15 MP, AF",,,"3.25 inches, 32.7 cm2(~46.7% screen-to-body ratio)",Yes,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerVoice dial/memo",,Voice 75dB / Noise 65dB / Ring 72dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-9500-storm2.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Storm 9500,HSDPA 2100,HSPA 7.2/0.384 Mbps,Yes,"2.0, A2DP",0.47 W/kg (head)     0.27 W/kg (body),,Black,,No,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in),0.57 W/kg (head)     0.50 W/kg (body)
CDMA2000 1x EV-DO,"360 x 480 pixels, 4:3 ratio (~185 ppi density)",,,About 100 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h 30 min,320p,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",Adreno 130,microSDHC (dedicated slot),Qualcomm MSM7600,,GSM / HSPA,"2008, September. Released 2008, November","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,,,528 MHz ARM 11,,,,,Up to 360 h,155 g (5.47 oz),,Mini-SIM,1GB 128MB RAM,"3.15 MP, AF",,,"3.25 inches, 32.7 cm2(~46.7% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-9500-storm1.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Storm 9530,HSDPA 2100,HSPA 7.2/0.384 Mbps,Yes,"2.0, A2DP",0.67 W/kg (head)     0.38 W/kg (body),,Black,,No,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in),0.93 W/kg (head)     0.56 W/kg (body)
Trackball,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,,About 70 EUR,,Removable Li-Ion 900 mAh battery,Up to 3 h 30 min,Yes,No,,microSDHC (dedicated slot),,,CDMA / EVDO,"2009, February. Released 2009, May",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,,Up to 216 h,102 g (3.60 oz),,Mini-SIM,"128MB RAM, 128MB ROM",2 MP,BlackBerry mapsMP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial/commandsPredictive text input,,"2.6 inches, 20.9 cm2(~41.5% screen-to-body ratio)",Yes,"Secondary external 65K TFT display, 128x160 pixels",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8230.jpg,,microUSB 2.0,,,BlackBerry Pearl Flip 8230,CDMA2000 1xEV-DO,"EV-DO Rev.0, 153.2 Kbps",Yes,"2.0, A2DP",,,"Black, Red, Pink",,No,No,,Half-QWERTY,,CDMA 800 / 1900,LED flash,,101 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in),1.23 W/kg (head)     0.95 W/kg (body)
Trackball,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,,About 110 EUR,,Removable Li-Ion 900 mAh battery,Up to 4 h,Yes,No,,microSDHC (dedicated slot),,,GSM,"2008, September. Released 2008, October",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 336 h,102 g (3.60 oz),,Mini-SIM,75MB,2 MP,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",,"2.6 inches, 20.9 cm2(~41.4% screen-to-body ratio)",Yes,"Secondary external 65K TFT display, 128x160 pixels",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8220-1.jpg,,microUSB 2.0,,Class 10,BlackBerry Pearl Flip 8220,,,Yes,"2.0, A2DP",0.66 W/kg (head)     0.54 W/kg (body),,Black,,Wi-Fi 802.11 b/g,No,,Half-QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,101.1 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in),1.15 W/kg (head)     1.18 W/kg (body)
Trackball,"480 x 320 pixels, 3:2 ratio (~222 ppi density)","Vibration; MP3, WAV ringtones",,About 80 EUR,,Removable Li-Ion 1500 mAh battery,Up to 5 h,Yes,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",,microSDHC (dedicated slot),,,GSM / HSPA,"2008, May",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,Noise -87.6dB / Crosstalk -85.8dB,,624 MHz,,,,,Up to 310 h,133 g (4.69 oz),,Mini-SIM,1GB 128MB RAM,2 MP,,,"2.6 inches, 20.1 cm2(~26.8% screen-to-body ratio)",Yes,No,,Voice 70dB / Noise 66dB / Ring 68dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold.jpg,,miniUSB 2.0,,,BlackBerry Bold 9000,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,Yes,"2.0, A2DP",0.84 W/kg (head)     0.66 W/kg (body),,"Black, White",,Wi-Fi 802.11 a/b/g,"GPS, A-GPS, BlackBerry Maps",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in),1.51 W/kg (head)     0.95 W/kg (body)
CDMA 800 / 1900,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,,,,Removable Li-Ion battery,,720p,Optical trackpad,,microSDHC (dedicated slot),,,GSM / CDMA / UMTS / EVDO,Not officially announced yet,TFT,BlackBerry OS 6.1,,,,BlackBerry,,,HTML,No,,,1.2GHz,"Document editor (Word, Excel, PowerPoint, PDF)MP3/WMA/AAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dialPredictive text input",,,,,-,,Mini-SIM,4GB 768MB RAM,"5 MP, AF",No,,"3.7 inches, 39.0 cm2(~52.4% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-monaco-touch.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Volt,UMTS 2100,"EV-DO Rev.A 3.1 Mbps, UMTS",Yes,"2.1, A2DP, EDR",,,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",Yes,,,GSM 850 / 900 / 1800 / 1900,LED flash,,120 x 62 x 11.5 mm (4.72 x 2.44 x 0.45 in),
No,240 x 260 pixels (~161 ppi density),,,,,Removable Li-Ion 900 mAh battery,Up to 3 h 40 min,Yes,,,microSDHC (dedicated slot),,,CDMA / CDMA2000,"2007, October. Released 20078","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,,Up to 216 h,96 g (3.39 oz),,Mini-SIM,"32MB RAM, 64MB ROM",2 MP,,,"2.2 inches, 15.6 cm2(~29.1% screen-to-body ratio)",Yes,"Document editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-pearl-8130.jpg,,miniUSB 2.0,,,BlackBerry Pearl 8130,CDMA2000 1x,"EV-DO Rev.0, 153.2 Kbps",Yes,"2.0, A2DP",,,"Black, White",,No,"GPS, A-GPS",,Half-QWERTY,,CDMA 800 / 1900,LED flash,,107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in),
No,240 x 260 pixels (~161 ppi density),"Vibration; MP3, WAV ringtones",,About 110 EUR,,Removable Li-Ion 900 mAh battery,Up to 4 h 10 min,Yes,,,microSDHC (dedicated slot),,,GSM,"2008, January. Released 2008, January",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 360 h,91 g (3.21 oz),,Mini-SIM,"32MB RAM, 64MB ROM",2 MP,,,"2.2 inches, 15.6 cm2(~29.1% screen-to-body ratio)",Yes,"Document editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8110.jpg,,miniUSB 2.0,,Class 10,BlackBerry Pearl 8110,,,Yes,"2.0, A2DP",1.13 W/kg (head)     0.71 W/kg (body),,"Black, Blue",,No,GPS,,Half-QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in),1.24 W/kg (head)     0.83 W/kg (body)
,240 x 260 pixels (~161 ppi density),"Vibration; MP3, WAV ringtones",,About 90 EUR,,Removable Li-Ion 900 mAh battery,Up to 4 h,Yes,"Document editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dial",,microSDHC (dedicated slot),,,GSM,"2007, October",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 360 h,91 g (3.21 oz),,Mini-SIM,"32MB RAM, 64MB ROM",2 MP,,,"2.2 inches, 15.6 cm2(~29.1% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8120.gif,,miniUSB 2.0,,Class 10,BlackBerry Pearl 8120,,,Yes,2.0,1.26 W/kg (head)     1.01 W/kg (body),,"Titanium, Blue, Sunset",,Wi-Fi 802.11b/g,No,,Half-QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in),1.48 W/kg (head)     1.39 W/kg (body)
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)",,,,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min,Yes,BlackBerry mapsMP4/WMV/H.264 playerMP3/WAV/eAAC+/WMA playerOrganizerVoice memo/dial/commandsPredictive text input,,microSDHC (dedicated slot),,,CDMA,"2007, September. Released 2007, December",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,312 MHz,,,,No,Up to 264 h,113 g (3.99 oz),,Mini-SIM,"32MB ROM, 96MB ROM",2 MP,,,"2.5 inches, 19.4 cm2(~29.8% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8330.jpg,,miniUSB 2.0,,No,BlackBerry Curve 8330,,"EV-DO Rev.0, 153.2 Kbps",Yes,"2.0, A2DP",,,"Titanium, Pink, Black",,No,No,,QWERTY,,CDMA 800 / 1900,LED flash,,106.6 x 61 x 15 mm (4.20 x 2.40 x 0.59 in),
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 140 EUR,,Removable Li-Ion 1100 mAh battery,Up to 4 h,240x180@15fps,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/WAV/eAAC+/WMA playerOrganizerVoice memo/dial",,microSDHC (dedicated slot),,,GSM,"2007, September",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 408 h,111 g (3.92 oz),,Mini-SIM,64MB ROM,2 MP,,,"2.5 inches, 19.4 cm2(~30.1% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8320.gif,,miniUSB 2.0,,Class 10,BlackBerry Curve 8320,,,Yes,"2.0, A2DP",0.60 W/kg (head)     1.13 W/kg (body),,"Titanium, Pale Gold",,Wi-Fi 802.11b/g,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in),1.08 W/kg (head)     1.47 W/kg (body)
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 130 EUR,,Removable Li-Ion 1100 mAh battery,Up to 4 h,No,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.264 playerMP3/WAV/eAAC+/WMA playerOrganizerVoice memo/dial",,microSDHC (dedicated slot),,,GSM,"2007, August",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 408 h,111 g (3.92 oz),,Mini-SIM,64MB ROM,2 MP,,,"2.5 inches, 19.4 cm2(~30.1% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8310.gif,,miniUSB 2.0,,Class 10,BlackBerry Curve 8310,,,Yes,"2.0, A2DP",0.59 W/kg (head)     0.63 W/kg (body),,Silver,,No,GPS,,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in),1.09 W/kg (head)     1.11 W/kg (body)
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 130 EUR,,Removable Li-Ion 1100 mAh battery,Up to 4 h,Yes,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP4/WMV/H.263/H.264 playerMP3/WAV/eAAC+/WMA playerOrganizerVoice memo/dial",,microSDHC (dedicated slot),,,GSM,"2007, May",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Class 10,Up to 408 h,111 g (3.92 oz),,Mini-SIM,64MB,2 MP,,,"2.5 inches, 19.4 cm2(~30.1% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve.gif,,miniUSB 2.0,,Class 10,BlackBerry Curve 8300,,,Yes,"2.0, A2DP",0.82 W/kg (head)     0.64 W/kg (body),,Black,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in),1.51 W/kg (head)     1.12 W/kg (body)
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 110 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h,,"BlackBerry mapsMedia playerOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)Voice dial",,microSD (dedicated slot),,,GSM,"2007, July",65K colors,BlackBerry OS,,,,BlackBerry,,,"WAP 2.0/xHTML, HTML",No,,,32-bit Intel XScale PXA272 312 MHz,,,,Yes,Up to 520 h,134 g (4.73 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.5 inches, 19.4 cm2(~25.7% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8820.gif,,miniUSB,,Yes,BlackBerry 8820,,,Yes,"2.0, A2DP",1.00 W/kg (head)     0.83 W/kg (body),,Silver,,Wi-Fi 802.11b/g,GPS,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in),1.28 W/kg (head)     1.58 W/kg (body)
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 100 EUR,,Removable Li-Ion 1400 mAh battery,,,"BlackBerry mapsMedia playerOrganizerOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)Voice dial",,microSD (dedicated slot),Qualcomm MSM6550,,GSM,"2007, April","TFT, 65K colors",BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,Yes,,132 g (4.66 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.5 inches, 19.4 cm2(~25.7% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8830.gif,,miniUSB,,Yes,BlackBerry 8830 World Edition,,,Yes,2.0,0.86 W/kg (head)     0.51 W/kg (body),,Black,,No,GPS,,QWERTY,,GSM 900 / 1800 / CDMA2000 1x EV-DO,,,114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in),
Trackball,"320 x 240 pixels, 4:3 ratio (~160 ppi density)","Vibration; MP3, WAV ringtones",,About 120 EUR,,Removable Li-Ion battery,Up to 5 h,,"BlackBerry mapsMedia playerOrganizerOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)Voice dial",,microSD (dedicated slot),,,GSM,"2007, February",65K colors,BlackBerry OS,,,,BlackBerry,,,"WAP 2.0/xHTML, HTML",No,,,32-bit Intel XScale PXA272 312 MHz,,,,Yes,Up to 530 h,134 g (4.73 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.5 inches, 19.4 cm2(~25.7% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8800.gif,,miniUSB,,Yes,BlackBerry 8800,,,Yes,2.0,0.91 W/kg (head)     0.43 W/kg (body),,Silver,,No,GPS,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in),1.16 W/kg (head)     0.51 W/kg (body)
