Features,,CPU,Single_1,Stand-by,Alert types,Loudspeaker,Bluetooth,Games,SAR EU,OS,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Single,Weight,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Protection,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
,Screensavers and backgrounds,,,up to 340 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes - Picture Puzzle,,,,No,,Predictive text inputCalculatorCurrency converterInterchangeable front and back covers,No,Mini-SIM,,89 g (3.14 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 80 pixels, 6 lines",up to 5 h,No,Yes,,"2003, Q3",,GSM,100 short messagesMessage templates,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx2.gif,,Sagem MY X-2,,"SMS, EMS",,"CSTN, 256 colors",250,No,99 x 45 x 21 mm (3.90 x 1.77 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,65K colorsAnimated screensaversColor backgrounds,,,Up to 310 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes + In-Fusio downloadable,,,,No,,"Predictive text inputOrganizerVoice memoInterchangeable coversFormats: BMP, JPEG, PNG, GIF, animated GIF, Midi, iMelody, Wave, AMR",No,Mini-SIM,VGA,106 g (3.74 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2.1,"128 x 160 pixels, 12 lines",Up to 4 h 40 min,No,Yes,,"2003, Q1",,GSM,100 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx6.gif,,Sagem MY X-6,,"SMS, EMS 5.0, MMS",,"TFT, 65K colors","In shared memory, Photo call",Class 10,"110 x 46 x 22 mm, 111 cc (4.33 x 1.81 x 0.87 in)",2.3MB,,No,No,No,,No,Removable Li-Ion 1050 mAh battery,,,No
,Softkeys3D animated icons50 icons (17 downloadable),,,240 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Yes,,,,No,,"New formats: BMP, JPEG, PNG, GIF, Midi, iMelody, Wave",No,Mini-SIM,,92 g (3.25 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 8 lines",4 h,No,Yes,,2002,,GSM,100 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyg5.gif,,Sagem MY G5,,"SMS, EMS, MMS (MY G5m only)",,"CSTN, 256 colors",300,Yes,"105 x 46 x 20 mm, 77 cc (4.13 x 1.81 x 0.79 in)",,,No,No,No,,,Removable Li-Ion battery,Predictive text inputCalculatorCurrency converterInterchangeable front and back covers,,Yes
,Blue backlightDownloadable animated  screensavers,,,240 h,"Vibration; Downloadable monophonic ringtones, composer",No,No,"2 - Picture Puzzle, MegaBox Conquest + downloadable",,,,No,,Predictive text inputCalculatorCurrency converterInterchangeable front and back covers,No,Mini-SIM,,92 g (3.25 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2,"96 x 64 pixels, 3:2 ratio",4 h,No,Yes,,2002,,GSM,100 short messages50 EMS pictures,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx3.gif,,Sagem MY X-3,,"SMS, EMS",,Monochrome graphic,200,Class 8,"106 x 46 x 20 mm, 79 cc (4.17 x 1.81 x 0.79 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
,Dynamic font sizeSoftkeys3D animated icons30 icons + downloadable,,,240 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Downloadable,,,,No,,"New formats: BMP, JPEG, PNG, GIF, Midi, iMelody, Wave",No,Mini-SIM,,92 g (3.25 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2.1,"101 x 80 pixels, 8 lines",up to 4 h,No,Yes,,2002,,GSM,100 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx5.gif,,Sagem MY X-5,,"SMS, EMS, MMS",,"CSTN, 256 colors",300 x 3 numbers,Class 10,"105 x 46 x 20 mm, 77 cc (4.13 x 1.81 x 0.79 in)",,,No,No,No,,,Removable Li-Ion 720 mAh battery,Predictive text inputCalculatorCurrency converterInterchangeable front and back covers,,No
,Softkeys3D animated screensavers20 downloadable screens10 downloadable icons (group calling),,,up to 180 h,Vibration; Downloadable monophonic ringtones,No,No,"Megabox Conquest, Picture Puzzle, Mini Golf",,,,Predictive text inputDownloadable gamesCalculatorCurrency converter,,,No,Mini-SIM,,85 g (3.00 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.1,"96 x 64 pixels, 8 lines, 3:2 ratio",up to 2 h 15 min,No,Yes,,2002,,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samy3078.gif,,Sagem MY 3078,,SMS,,Monochrome graphic,200,No,23 x 45 x 75 mm (0.91 x 1.77 x 2.95 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Blue backlightSoftkeys3D animated icons,,,185 h,Vibration; Downloadable monophonic ringtones,Yes,No,3,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,112 g (3.95 oz),,Discontinued,No,,,GSM 900 / 1800,WAP 1.1,up to 8 lines,3 h,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samw3026.gif,,Sagem MW 3026,,SMS,,Monochrome graphic,50,No,105 x 50 x 23 mm (4.13 x 1.97 x 0.91 in),,,No,No,No,,,Removable NiMH battery,,,No
,Blue backlightSoftkeys3D animated icons,,,200 h,Vibration; Downloadable monophonic ringtones,Yes,No,3,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,100 g (3.53 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.1,up to 8 lines,3 h,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samw3052.gif,,Sagem MW 3052,,SMS,,Monochrome graphic,100,Class 4,105 x 50 x 23 mm (4.13 x 1.97 x 0.91 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Blue backlightSoftkeys3D animated icons,,,207 h,Vibration; Downloadable monophonic ringtones,Yes,No,3,,,,No,,Predictive text inputCalculatorCurency converterInterchangeable front covers,No,Mini-SIM,,97 g (3.42 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.1,up to 8 lines,3 h 45 min,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samw3042.gif,,Sagem MW 3042,,SMS,,Monochrome graphic,100,No,"105 x 45 x 18 mm, 79 cc (4.13 x 1.77 x 0.71 in)",,,No,No,No,,,Removable NiMH battery,,,No
,Blue backlightSoftkeys3D animated icons,,,170 h,Vibration; Downloadable monophonic ringtones,Yes,No,3,,,,No,,Predictive text inputCalculatorCurency converterInterchangeable front covers,No,Mini-SIM,,97 g (3.42 oz),,Discontinued,No,,,GSM 900 / 1800,WAP,up to 8 lines,4 h 30 min,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samw3040.gif,,Sagem MW 3040,,SMS,,Monochrome graphic,100,No,"105 x 45 x 18 mm, 79 cc (4.13 x 1.77 x 0.71 in)",,,No,No,No,,,Removable NiMH battery,,,No
,Softkeys,,,150 h,Vibration; Monophonic ringtones,Yes,No,Yes,,,600 h (35 g+),No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,180 g (6.35 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,-,GSM 900 / 1800,WAP,"124 x 68 pixels, up to 8 lines, 17:9 ratio",300 min,No,Yes,,2001,,GSM,20 SMS messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samwx1.gif,,Sagem MW X1,,SMS,,Monochrome graphic,100,No,140 x 57 x 20 mm (5.51 x 2.24 x 0.79 in),,,No,No,No,,,Removable Li-Ion 800 mAh battery,,,No
,No,206 MHz ARM SA-1110,,170 h,Vibration; Downloadable monophonic ringtones,No,No,,,Microsoft Windows PocketPC,,,,,No,Mini-SIM,,198 g (6.98 oz),,Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.1,"240 x 320 pixels, 60 x 80 mm, 4:3 ratio",130 min,No,Yes,,2001,,GSM,MP3 playerPredictive text input,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sawa3050.gif,,Sagem WA 3050,,,,Greyscale resistive touchscreen,,Yes (for the GPRS model),130 x 80 x 17 mm (5.12 x 3.15 x 0.67 in),,,No,No,No,,,Removable Li-Ion battery,,,
,Softkeys,,,170 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,112 g (3.95 oz),,Discontinued,No,,,GSM 900 / 1800,WAP,up to 7 lines,130 min,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samw3020.gif,,Sagem MW 3020,,SMS,,Monochrome graphic,50,No,"105 x 45 x 18 mm, 79 cc (4.13 x 1.77 x 0.71 in)",,,No,No,No,,,Removable NiMH battery,,,No
,Softkeys,,,140 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,112 g (3.95 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,105 min,No,Yes,,2001,,GSM,10 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc3000.gif,,Sagem MC 3000,,SMS,,Monochrome graphic,40,No,"105 x 45 x 18 mm, 79 cc (4.13 x 1.77 x 0.71 in)",,,No,No,No,,,Removable NiMH battery,,,No
,Fixed iconsSoftkeys,,,150 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,117 g (4.13 oz),,Discontinued,No,,,GSM 900 / 1800,WAP,up to 7 lines,3 h,No,Yes,,2000,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc939b.gif,,Sagem MC 939 WAP,,SMS,,Monochrome graphic,100,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,150 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,117 g (4.13 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,3 h,No,Yes,,2000,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc936b.gif,,Sagem MC 936,,SMS,,Monochrome graphic,100,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,150 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,95 g (3.35 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,3 h,No,Yes,,2000,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc950b.gif,,Sagem MC 950,,SMS,,Monochrome graphic,250,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,150 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converterActive flip,No,Mini-SIM,,95 g (3.35 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,3 h,No,Yes,,2000,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc959b.gif,,Sagem MC 959,,SMS,,Monochrome graphic,250,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,160 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,117 g (4.13 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,3 h,No,Yes,,2000,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc940b.gif,,Sagem MC 940,,SMS,,Monochrome graphic,100,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,150 h,Vibration; Downloadable monophonic ringtones,Yes,No,Yes,,,,No,,Predictive text inputCalculatorCurency converter,No,Mini-SIM,,117 g (4.13 oz),,Discontinued,No,,,GSM 900 / 1800,,up to 7 lines,3 h,No,Yes,,1999,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc932b.gif,,Sagem MC 932,,SMS,,Monochrome graphic,100,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,130 h,Vibration; Downloadable monophonic ringtones,Yes,No,No,,,,No,,CalculatorCurency converter,No,Mini-SIM,,121 g (4.27 oz),,Discontinued,No,,,GSM 900 / 1800,,3x 12 chars,3 h,No,Yes,,1999,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sarc922b.gif,,Sagem RC 922,,SMS,,Alphanumeric,100,No,116 x 45 x 18 mm (4.57 x 1.77 x 0.71 in),,,No,No,No,,,Removable NiMH 500 mAh battery,,,No
,Fixed iconsSoftkeys,,,130 h,Vibration; Downloadable monophonic ringtones,Yes,No,No,,,,No,,CalculatorCurency converter,No,Mini-SIM,,117 g (4.13 oz),,Discontinued,No,,,GSM 900 / 1800,,4 x 12 chars,3 h,No,Yes,,1999,,GSM,20 short messages,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc912b.gif,,Sagem MC 912,,SMS,,Alphanumeric,100,No,116 x 45 x 22 mm (4.57 x 1.77 x 0.87 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,140 h,Vibration; Monophonic ringtones,Yes,No,No,,,,Predictive text inputCalculatorCurency converter,,,No,Mini-SIM,,137 g (4.83 oz),,Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,5 h,No,Yes,,1998,,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc850b.gif,,Sagem MC 850,,SMS,,Monochrome graphic,100,No,132 x 50 x 21 mm (5.20 x 1.97 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Fixed iconsSoftkeys,,,90 h,Vibration; Monophonic ringtones,Yes,No,No,,,,No,,CalculatorCurency converter,No,Mini-SIM,,152 g (5.36 oz),,Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,3 h,No,Yes,,1998,,GSM,6 FM stations,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sa825fmb.gif,,Sagem MC 825 FM,,SMS,,Alphanumeric,100,No,132 x 50 x 26 mm (5.20 x 1.97 x 1.02 in),,,No,No,FM radio,,,Removable NiMH battery,,,No
,Fixed iconsSoftkeys,,,90 h,Vibration; Monophonic ringtones,Yes,No,No,,,,Calculator,,,No,Mini-SIM,,135 g (4.76 oz),,Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,3 h,No,Yes,,1998,,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samc820b.gif,,Sagem MC 820,,SMS,,Alphanumeric,100,No,130 x 50 x 26 mm (5.12 x 1.97 x 1.02 in),,,No,No,No,,,Removable NiMH battery,,,No
,Fixed icons,,,80 h,Vibration; Monophonic ringtones,No,No,No,,,,CalculatorVoice memoSerial cable,,,No,Mini-SIM,,158 g (5.57 oz),,Discontinued,No,,,GSM 900,,3 x 12 chars,150 min,No,Yes,,1998,,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sarc750b.gif,,Sagem RC 750,,SMS,,Alphanumeric,100,No,140 x 50 x 21 mm (5.51 x 1.97 x 0.83 in),,,No,No,No,,,Removable NiMH 600 mAh battery,,,No
,Fixed icons,,,70 h,Monophonic ringtones,No,No,No,,,,Calculator,,,No,Mini-SIM,,158 g (5.57 oz),,Discontinued,No,,,GSM 900,,3 x 12 chars,150 min,No,Yes,,1997,,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sarc730b.gif,,Sagem RC 730,,SMS,,Alphanumeric,100,No,140 x 50 x 21 mm (5.51 x 1.97 x 0.83 in),,,No,No,No,,,Removable NiMH 600 mAh battery,,,No
