,Card slot,Battery (new),Triple,Charging,Size,256GB 16GB RAM,1TB 24GB RAM,32GB 2GB RAM,Bluetooth,OS,5G bands,Features_1,Video,256GB 8GB RAM,_10,2G bands,Announced,64GB 4GB RAM,Model Image,Dimensions,Models,256GB 12GB RAM,Resolution,WLAN,Chipset,Audio quality,Protection,Video_1,_3,_6,GPU,GPRS,EDGE,128GB 4GB RAM,USB,Sensors,Speed,NFC,SAR EU,Performance,SAR,Weight,128GB 6GB RAM,Quad,SIM,_1,_4,Features,Dual,Brand,Display,Type,Single_1,_8,Loudspeaker,_5,Technology,_7,Battery (old),Infrared port,Camera,3.5mm jack,Single,Colors,128GB 8GB RAM,Internal,_2,Radio,3G bands,Build,Loudspeaker_1,_9,CPU,Positioning,Status,Type_1,4G bands,Model Name,512GB 16GB RAM,Price
"1, 2, 3, 4, 5, 7, 8, 38, 39, 40, 41 - India",microSDXC (dedicated slot),,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.2, 119˚ (ultrawide)2 MP, f/2.4, (macro)",65W wired,"6.43 inches, 99.8 cm2(~84.9% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 11, upgradable to Android 13, OxygenOS 13","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - Europe",HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, February 17",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-5g.jpg,160.6 x 73.2 x 7.8 mm (6.32 x 2.88 x 0.31 in),IV2201,,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 900 (6 nm),,Corning Gorilla Glass 5,"1080p@30/60fps, gyro-EIS",,,Mali-G68 MC4,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",Yes,,AnTuTu: 436640 (v9)GeekBench: 2157 (v5)GFXBench: 19fps (ES 3.1 onscreen),,173 g (6.10 oz),,,Nano-SIM + Nano-SIM,"1, 3, 5, 8, 40, 41, 77, 78 SA/NSA - India",,"LED flash, HDR, panorama",,OnePlus,,"AMOLED, 90Hz, HDR10+",,,Yes,,GSM / HSPA / LTE / 5G,,,,,Yes,"16 MP, f/2.4, 27mm (wide), 1.0µm","Gray Mirror, Bahama Blue",€ 171.55,"128GB 6GB RAM, 128GB 8GB RAM",UFS 2.2,Unspecified,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS, QZSS","Available. Released 2022, February 22",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - Europe",OnePlus Nord CE 2 5G,,€ 171.55 / $ 169.99 / £ 199.00
CDMA 800,No,,,"65W wired, 100% in 29 min","6.62 inches, 106.3 cm2(~87.9% screen-to-body ratio)",,,,"5.2, A2DP, LE","Android 11, upgradable to Android 13, OxygenOS 13","1, 3, 5, 8, 28, 40, 41, 78 SA/NSA - Global",HDR,"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2021, October 13",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-rt-r.jpg,162.2 x 74.6 x 8.3 mm (6.39 x 2.94 x 0.33 in),"MT2110, MT2111","₹ 22,899","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Qualcomm SM8350 Snapdragon 888 5G (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",UFS 3.1,,Adreno 660,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/200 Mbps, 5G",Yes,,AnTuTu: 670289 (v8)GeekBench: 3325 (v5)GFXBench: 43fps (ES 3.1 onscreen),,198.5 g (7.02 oz),,"50 MP, f/1.8, 24mm (wide), 1/1.56”, 1.0µm, PDAF, OIS16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm2 MP, f/2.4, (macro)",Nano-SIM + Nano-SIM,CDMA2000 1xEV-DO,,"Dual-LED flash, HDR, panorama",,OnePlus,,"AMOLED, 120Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / EVDO / LTE / 5G,,,,,No,"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","Hacker Black, Nano Silver, Blue",$ 439.99,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Always-on display,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2021, October 19",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - Global",OnePlus 9RT 5G,,"$ 439.99 / ₹ 18,999"
"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - IN",No,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.3, 120˚ (ultrawide)2 MP, f/2.4, (depth)","65W wired, PD, 100% in 30 min","6.43 inches, 99.8 cm2(~85.6% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 11, upgradable to Android 13, OxygenOS 13","1, 3, 7, 8, 20, 28, 38, 41, 66, 78 SA/NSA - EU",Auto HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2021, July 22",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2-5g-new.jpg,159.1 x 73.3 x 8.3 mm (6.26 x 2.89 x 0.33 in),"DN2101, DN2103",€ 389.90,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 1200 (6 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Mali-G77 MC9,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",Yes,,AnTuTu: 512164 (v8) | 598022 (v9)GeekBench: 2792 (v5.1)GFXBench: 38fps (ES 3.1 onscreen),,189 g (6.67 oz),,,Nano-SIM + Nano-SIM,"1, 3, 28, 40, 41, 78, 79 SA/NSA - IN",,"Dual-LED flash, HDR, panorama",,OnePlus,633 nits max brightness (measured),"Fluid AMOLED, 90Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,Endurance rating 102h,,Photo/Video,No,"32 MP, f/2.5, (wide), 1/2.8"", 0.8µm","Gray Sierra, Blue Haze, Green Wood, Pac-Man Edition",€ 254.00,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",-24.3 LUFS (Very good),,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS, SBAS, NavIC","Available. Released 2021, July 28",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - EU",OnePlus Nord 2 5G,,"€ 254.00 / $ 179.99 / £ 141.45 / ₹ 15,999"
"2, 25, 66, 71 SA/NSA/Sub6 - Canada",microSDXC,,"13 MP, f/2.2, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",18W wired,"6.49 inches, 102.2 cm2(~83.7% screen-to-body ratio)",,,,"5.1, A2DP, LE","Android 11, OxygenOS 11","2, 25, 41, 66, 71 SA/NSA/Sub6 - USA",HDR,"1080p@30fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2021, June 21",$ 169.99,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n200-5g.jpg,163.1 x 74.9 x 8.3 mm (6.42 x 2.95 x 0.33 in),"DE2118, DE2117",,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Qualcomm SM4350 Snapdragon 480 5G (8 nm),,,1080p@30fps,,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","HSPA 42.2/5.76 Mbps, LTE Cat15 800/150 Mbps, 5G",Yes,,,,189 g (6.67 oz),,,Nano-SIM,UFS 2.1,,"LED flash, HDR, panorama",,OnePlus,,"IPS LCD, 90Hz",,,Yes,,GSM / HSPA / LTE / 5G,,,,,Yes,"16 MP, f/2.1",Blue Quantum,,64GB 4GB RAM,,FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),"GPS (L1+L5), GLONASS, BDS, GALILEO","Available. Released 2021, June 25",Li-Po 5000 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 66, 71, 38, 39, 40, 41",OnePlus Nord N200 5G,,$ 169.99
"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 39, 40, 41, 66 - India",No,,"64 MP, f/1.8, 26mm (wide), 0.7µm, PDAF8 MP, f/2.3, 119˚ (ultrawide)2 MP, f/2.4, (depth)","30W wired, 70% in 30 min","6.43 inches, 99.3 cm2(~84.9% screen-to-body ratio)",,,,"5.1, A2DP, LE, aptX HD","Android 11, upgradable to Android 13, OxygenOS 13","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - Europe",HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2021, June 10",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-5g.jpg,159.2 x 73.5 x 7.9 mm (6.27 x 2.89 x 0.31 in),"EB2101, EB2103",€ 172.22,"1080 x 2400 pixels, 20:9 ratio (~410 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),,,1080p@30/60fps,,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",Yes,,AnTuTu: 318672 (v8) | 391770 (v9)GeekBench: 1812 (v5.1)GFXBench: 17fps (ES 3.1 onscreen),,170 g (6.00 oz),€ 115.61,,Nano-SIM + Nano-SIM,78 SA/NSA - India,,"LED flash, HDR, panorama",,OnePlus,607 nits max brightness (measured),"Fluid AMOLED, 90Hz",,,Yes,,GSM / HSPA / LTE / 5G,,Endurance rating 117h,,Photo/Video,Yes,"16 MP, f/2.5, (wide), 1/3.0"", 1.0µm","Blue Void, Charkoal Ink, Silver Ray",€ 282.98,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",UFS 2.1,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, plastic frame, plastic back",-29.9 LUFS (Average),,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),"GPS, GLONASS, GALILEO, BDS, NavIC","Available. Released 2021, June 11",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 39, 40, 41, 66 - Europe",OnePlus Nord CE 5G,,"€ 115.61 / £ 149.99 / ₹ 24,999"
CDMA 800 / 1900,No,,,"65W wired, PD, 100% in 29 min50W wireless, 100% in 43 min5W reverse wireless","6.7 inches, 108.4 cm2(~90.3% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 11, upgradable to Android 14, OxygenOS 14","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 78 SA/NSA - EU",HDR,"8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",€ 234.15,24-bit/192kHz Hi-Res audio,GSM 850 / 900 / 1800 / 1900,"2021, March 23",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-pro-.jpg,163.2 x 73.6 x 8.7 mm (6.43 x 2.90 x 0.34 in),"LE2121, LE2125, LE2123, LE2120, LE2127",€ 249.00,"1440 x 3216 pixels, 20:9 ratio (~525 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA",Qualcomm SM8350 Snapdragon 888 5G (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - CN","1, 3, 28, 41, 78, 79 SA/NSA - CN",Adreno 660,,,,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat20 2000/200 Mbps, 5G",Yes,,,,197 g (6.95 oz),,"48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS8 MP, f/2.4, 77mm (telephoto), 1.0µm, PDAF, OIS, 3.3x optical zoom50 MP, f/2.2, 14mm (ultrawide), 1/1.56"", 1.0µm, AF2 MP, f/2.4, (monochrome)",Nano-SIMNano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 46, 48, 66, 71 - NA","1, 2, 3, 7, 25, 28, 41, 66, 71, 78, 258, 260, 261 SA/NSA/mmWave - NA","Laser AF, color spectrum sensor, Hasselblad Color Calibration, dual-LED flash, HDR, panorama",,OnePlus,859 nits max brightness (measured),"LTPO Fluid2 AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)",,Always-on display,"Yes, with stereo speakers","41, 78 SA/NSA - IN",GSM / CDMA / HSPA / LTE / 5G,IP68 dust/water resistant (up to 1.5m for 30 min),Endurance rating 86h,,Photo/Video,No,"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","Morning Mist, Forest Green, Stellar Black",€ 241.46,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 46 - IN",No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",-24.1 LUFS (Very good),UFS 3.1,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55,"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2021, March 30",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - EU",OnePlus 9 Pro,,"€ 234.15 / $ 289.99 / £ 179.57 / ₹ 22,650"
CDMA 800 / 1900,No,,"48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF50 MP, f/2.2, 14mm (ultrawide), 1/1.56"", 1.0µm, AF2 MP, f/2.4, (monochrome)","65W wired, PD, 100% in 29 min15W wireless (EU/NA)","6.55 inches, 103.6 cm2(~87.6% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 11, upgradable to Android 13, OxygenOS 13","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 78 SA/NSA - EU",HDR,"8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",,24-bit/192kHz Hi-Res audio,GSM 850 / 900 / 1800 / 1900,"2021, March 23",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-.jpg,160 x 74.2 x 8.7 mm (EU/NA)160 x 73.9 x 8.1 mm (IN/CN),"LE2113, LE2111, LE2110, LE2117, LE2115",€ 189.00,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA",Qualcomm SM8350 Snapdragon 888 5G (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - CN","1, 3, 28, 41, 78, 79 SA/NSA - CN",Adreno 660,,,,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat20 2000/200 Mbps, 5G",Yes,,,,192 g (EU/NA)183 g (IN/CN) (6.46 oz),,,Nano-SIMNano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 46, 48, 66, 71 - NA","1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 48, 66, 71, 77, 78 SA/NSA - NA","Hasselblad Color Calibration, color spectrum sensor, dual-LED flash, HDR, panorama",,OnePlus,821 nits max brightness (measured),"Fluid AMOLED, 120Hz, HDR10+, 1100 nits (peak)",,Always-on display,"Yes, with stereo speakers","41, 78 SA/NSA - IN",GSM / CDMA / HSPA / LTE / 5G,IP68 (T-Mobile version only),Endurance rating 87h,,Photo/Video,No,"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","Winter Mist, Arctic Sky, Astral Black",€ 149.00,"128GB 8GB RAM, 256GB 12GB RAM","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 46 - IN",No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",-24.5 LUFS (Very good),UFS 3.1,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2021, March 26",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - EU",OnePlus 9,,"€ 149.00 / $ 159.99 / £ 152.00 / ₹ 17,890"
Always-on display,No,,,"65W wired, 100% in 39 min","6.55 inches, 103.6 cm2(~86.8% screen-to-body ratio)",,,,"5.1, A2DP, LE, aptX HD","Android 10, upgradable to Android 13, OxygenOS 13",78 SA/NSA,HDR,"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2021, March 23",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-9r.jpg,161 x 74.1 x 8.4 mm (6.34 x 2.92 x 0.33 in),"LE2101, LE2100",$ 995.00,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Adreno 650,,,,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/200 Mbps, 5G",Yes,,,1.17 W/kg (head)     0.85 W/kg (body),189 g (6.67 oz),,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm5 MP, f/2.4, (macro)2 MP, f/2.4, (monochrome)",Nano-SIM + Nano-SIM,UFS 3.1,,"Dual-LED flash, HDR, panorama",,OnePlus,,"Fluid AMOLED, 120Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,No,"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","Carbon Black, Lake Blue","₹ 17,699","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2021, April 14",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 46",OnePlus 9R,,"$ 995.00 / ₹ 17,699"
IP68 dust/water resistant (up to 1.5m for 30 min)Waterproof (5ATM)Compatible with standard 22mm straps,No,,,,1.39 inches,,,,"5.0, A2DP, LE",Proprietary OS,,,,,,N/A,"2021, March 23",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch.jpg,46.4 x 46.4 x 10.9 mm (1.83 x 1.83 x 0.43 in),,,454 x 454 pixels (~326 ppi density),No,,,,,,,,No,No,,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2",No,No,,,,45 g (1.59 oz),,,No,Always-on display,,,,OnePlus,,AMOLED,,,Yes,,No cellular connectivity,,,,,No,,"Midnight Black, Moonlight Silver, Cobalt, Harry Potter Edition",,4GB 1GB RAM,No,No,N/A,"Glass front, stainless steel frame, plastic back",,,,"GPS, GLONASS, BDS, GALILEO","Available. Released 2021, April 14",Li-Ion 402 mAh,N/A,OnePlus Watch,,About 190 EUR
CDMA 800 / 1900,microSDXC,,,30W wired,"6.49 inches, 101.7 cm2(~83.5% screen-to-body ratio)",,,,"5.1, A2DP, LE","Android 10, OxygenOS 10.5","1, 3, 7, 28, 41, 66, 78 SA/NSA - International",HDR,"4K@30fps, 1080p@30/60/120fps; gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2020, October 26",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n10-5g-.jpg,163 x 74.7 x 9 mm (6.42 x 2.94 x 0.35 in),"BE2029, BE2025, BE2026, BE2028",,"1080 x 2400 pixels, 20:9 ratio (~406 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Qualcomm SM6350 Snapdragon 690 5G (8 nm),,Corning Gorilla Glass 3,"1080p@30/60fps, gyro-EIS",UFS 2.1,,Adreno 619L,,,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1024/150 Mbps, 5G",Yes,,AnTuTu: 279579 (v8)GeekBench: 1848 (v5.1)GFXBench: 13fps (ES 3.1 onscreen),,190 g (6.70 oz),,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.3, 119˚ (ultrawide)2 MP, f/2.4, (depth)2 MP, f/2.4, (macro)",Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71 - USA",,"LED flash, HDR, panorama",,OnePlus,"1447:1 contrast ratio, 440 nits max brightness (measured)","IPS LCD, 90Hz",,,"Yes, with dual speakers",,GSM / CDMA / HSPA / LTE / 5G,,Endurance rating 99h,,Photo/Video,Yes,"16 MP, f/2.1",Midnight Ice,,128GB 6GB RAM,"2, 5, 25, 41, 66, 71 SA/NSA - USA",No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 3), plastic back, plastic frame",-25.8 LUFS (Very good),,Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),"GPS (L1+L5), GLONASS, GALILEO, BDS","Available. Released 2020, November 21",Li-Po 4300 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41, 66 - International",OnePlus Nord N10 5G,,About 250 EUR
CDMA 800 / 1900,microSDXC,,"13 MP, f/2.2, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",18W wired,"6.52 inches, 102.6 cm2(~82.9% screen-to-body ratio)",,,,"5.0, A2DP, LE","Android 10, OxygenOS 10.5.9",,HDR,"1080p@30fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2020, October 26",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n100-.jpg,164.9 x 75.1 x 8.5 mm (6.49 x 2.96 x 0.33 in),"BE2013, BE2015, BE2011, BE2012",,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Qualcomm SM4250 Snapdragon 460 (11 nm),,Corning Gorilla Glass 3,1080p@30fps,,,Adreno 610,,,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat13 400/50 Mbps",,,,,188 g (6.63 oz),,,Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 41, 66, 71 - USA",,"LED flash, HDR, panorama",,OnePlus,,"IPS LCD, 90Hz",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / LTE,,,,,Yes,"8 MP, f/2.0",Midnight Frost,,64GB 4GB RAM,UFS 2.1,FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 3), plastic frame",,,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),"GPS, GLONASS, GALILEO, BDS","Available. Released 2020, November 11",Li-Po 5000 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - International",OnePlus Nord N100,,About 80 EUR
