,Type,Dimensions,Messaging,Model Image,_1,Keyboard,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,EDGE,Video,Brand,Status,Sensors,Resolution,Phonebook,WLAN,Single,Build,Price,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Dual_1,Talk time,OS,Loudspeaker,Single_1,Triple,Games,CPU,SAR,Dual,Radio,Type_1,Call records,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,Stand-by,Features,_2,GPRS,Protection,Positioning,Java,_3,Speed
No,"TFT, 256K colors",100.9 x 51.8 x 21.5 mm (3.97 x 2.04 x 0.85 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-z50.jpg,Video PlayerMusic PlayerOrganizerVoice memoWhatsapp,,"2.1, EDR",No,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",300 entries,No,2 MP,,,,microUSB,,8MB 8MB,No,"Black, White",,,Up to 7 h 30 min,,Yes,,,No,,,,Stereo FM radio; built-in antenna,"Li-Ion 950 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - ZM50003,"2.4 inches, 17.8 cm2(~34.1% screen-to-body ratio)",Charging dock,120 g (4.23 oz),"2014, November. Released 2015, January",Yezz Z50,,GSM,Up to 190 h,LED flash,,Yes,,No,No,,
FlashlightSOS button,"TFT, 256K colors",112 x 51.5 x 13.7 mm (4.41 x 2.03 x 0.54 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-zc20.jpg,No,,No,Yes,,No,Mini-SIM,,No,,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,,,,,microUSB,,4MB 4MB,microSDHC (dedicated slot),"White, Blue",,,Up to 4 h 30 min,,Yes,,,No,,,,Stereo FM radio; built-in antenna,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900,"1.8 inches, 10.2 cm2(~17.7% screen-to-body ratio)",Charging dock,53 g without battery (1.87 oz),"2014, November. Released 2015, January",Yezz ZC20,,GSM,Up to 120 h,,Video PlayerMusic PlayerOrganizerVoice memo,No,,No,No,,
HSDPA 850 / 1900,IPS LCD,-,,https://fdn2.gsmarena.com/vv/bigpic/yess-billy-5s-lte.jpg,LTE 700 / 1700 / 2600,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm)Qualcomm MSM8926 Snapdragon 400 (28 nm),No,Dual SIM,"3, 7, 20",,Yes,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,,microUSB 2.0,Adreno 306Adreno 305,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 1900 / 2100,,,Microsoft Windows 10Microsoft Windows Phone 8.1,Yes,5 MP,,,Quad-core 1.2 GHz Cortex-A53Quad-core 1.2 GHz Cortex-A7,,,FM radio,"Li-Ion, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2",,-,"2015, January. Released 2015, February",Yezz Billy 5S LTE,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",eMMC 4.5,,,"GPS, GLONASS",,,"HSPA, LTE"
HSDPA 900 / 2100 - AC5ML047,IPS LCD,144.2 x 73.2 x 9.3 mm (5.68 x 2.88 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5ml.jpg,,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Mini-SIM,,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White, Red",HSDPA 850 / 1900 - AC5ML043,,Up to 16 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 2020 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",,180 g (6.35 oz),"2014, October. Released 2014, November",Yezz Andy C5ML,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 900 / 2100 - AC5QL137,IPS LCD,144.2 x 73.2 x 9.3 mm (5.68 x 2.88 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5ql.jpg,LTE 800 / 1800 / 2600 - AC5QL137,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Mini-SIM,LTE 700 / 1700 / 2600 - AC5QL133,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White, Red",HSDPA 850 / 1900 - AC5QL133,,Up to 16 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2020 mAh, removable",,GSM 850 / 1900 / 900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",,180 g (6.35 oz),"2014, October. Released 2014, December",Yezz Andy C5QL,,GSM / HSPA / LTE,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
Flashlight,"TFT, 256K colors",87 x 46 x 18 mm (3.43 x 1.81 x 0.71 in),"SMS, IM",https://fdn2.gsmarena.com/vv/bigpic/yezz-C50.jpg,No,,2.0,No,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB,,32Mb 32Mb RAM,microSDHC,"Red, Blue, Fuchsia, White, Black",,,Up to 4 h,,Yes,,,Yes,,,,Stereo FM radio,"Li-Ion 650 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CC50003,"1.8 inches, 10.2 cm2(~25.5% screen-to-body ratio)",,71 g without battery (2.50 oz),"2014, October. Released 2014, November",Yezz Classic C50,,GSM,Up to 200 h,,Video PlayerMusic PlayerOrganizerVoice memoWhatsapp,Up to 48 kbps,,No,No,,
No,"TFT, 256K colors",106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in),"SMS, IM",https://fdn2.gsmarena.com/vv/bigpic/yezz-C221.jpg,Video PlayerMusic PlayerOrganizerWhatsapp,,2.0,No,,No,Dual SIM (Mini-SIM),,No,No,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB,,32Mb 32Mb RAM,microSDHC,"Blue, Red, White, Black, Fuchsia",,,Up to 4 h,,Yes,,,No,,,,Stereo FM radio,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM22B003,"1.8 inches, 10.2 cm2(~21.3% screen-to-body ratio)",,73 g without battery (2.57 oz),"2014, October. Released 2014, November",Yezz Classic C22,,GSM,Up to 200 h,,,Up to 48 kbps,,No,No,,
No,"TFT, 256K colors",106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in),"SMS, IM",https://fdn2.gsmarena.com/vv/bigpic/yezz-C21A-.jpg,Video PlayerMusic PlayerOrganizerWhatsapp,,2.0,No,,No,Dual SIM (Mini-SIM),,No,No,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB,,32Mb 32Mb RAM,microSDHC,"Black, White, Blue, Green, Purple, Red, Fuchsia",,,Up to 4 h,,Yes,,,No,,,,Stereo FM radio,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",,73 g without battery (2.57 oz),"2013, March. Released 2013, April",Yezz Classic C21A,,GSM,Up to 200 h,,,Up to 48 kbps,,No,No,,
eMMC 4.5,IPS LCD,135.8 x 67.2 x 8.1 mm (5.35 x 2.65 x 0.32 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-monaco-471.jpg,,,"4.0, A2DP",Yes,Qualcomm MSM8212 Snapdragon 200 (28 nm),No,Dual SIM (Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Adreno 302,8GB 1GB RAM,microSDXC (dedicated slot),"Red, White, Dark Gray",HSDPA 850 / 900 / 1900 / 2100 - SIM 1,,Up to 16 h (2G) / Up to 7 h 30 min (3G),Microsoft Windows Phone 8.1,Yes,5 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1750 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.7 inches, 60.9 cm2(~66.7% screen-to-body ratio)",,120 g (4.23 oz),"2014, June. Released 2014, October",Yezz Monaco 47,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,Asahi Dragontrail Glass,"GPS, GLONASS",,,HSPA 42.2/5.76 Mbps
HSDPA 900 / 2100 - SIM 1 & SIM 2 - B4MI047,TFT,122.5 x 64.4 x 9.9 mm (4.82 x 2.54 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-billy-4.jpg,eMMC 4.5,,"4.0, A2DP",Yes,Qualcomm MSM8212 Snapdragon 200 (28 nm),No,Dual SIM (Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Adreno 302,4GB 512MB RAM,microSDXC (dedicated slot),"White, Black, Red, Gun Metal, Blue, Yellow, Champing Gold",HSDPA 850 / 1900 - SIM 1 & SIM 2 - BM4MI043,,Up to 7 h (2G) / Up to 4 h 30 min (3G),Microsoft Windows Phone 8.1,Yes,1.3 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~57.7% screen-to-body ratio)",,109 g (3.84 oz),"2014, June. Released 2014, October",Yezz Billy 4,,GSM / HSPA,Up to 350 h (2G) / Up to 300 h (3G),LED flash,,,,"GPS, GLONASS",,,HSPA 42.2/5.76 Mbps
HSDPA 850 / 1900 - AM5TL043,IPS LCD,144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5t.jpg,,,"4.0, A2DP",Yes,Mediatek MT6582 (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF (AM5TJ047)13.1 MP, AF (AM5TL043)",,,,microUSB 2.0,Mali-400MP2,"4GB 1GB RAM (AM5TJ047), 8GB 1GB RAM (AM5TL043)",microSDXC (dedicated slot),"White, Black, Blue, Red",HSDPA 900 / 2100 - AM5TJ047,,Up to 16 h (2G) / Up to 8 h 30 min (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 1800 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)",,123 g (4.34 oz),"2014, July. Released 2014, August",Yezz Andy 5T,,GSM / HSPA,Up to 480 h (2G) / Up to 360 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 900 / 2100,IPS LCD,144.2 x 73.2 x 9.3 mm (5.68 x 2.88 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5vp.jpg,LTE 700 / 1700 / 2600,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Micro-SIM,"3, 7, 20",,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White, Red, Blue",HSDPA 850 / 1900,,Up to 16 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 2020 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",,180 g (6.35 oz),"2014, June. Released 2014, August",Yezz Andy C5VP,,GSM / HSPA / LTE,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps"
HSDPA 900 / 2100,IPS LCD,144.2 x 73.2 x 9.3 mm (5.68 x 2.88 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5v.jpg,LTE 700 / 1700 / 2600,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Micro-SIM,"3, 7, 20",,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 850 / 1900,,Up to 16 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 2020 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",,180 g (6.35 oz),"2014, June. Released 2014, August",Yezz Andy C5V,,GSM / HSPA / LTE,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps"
HSDPA 850 / 1900 - SIM 1 or SIM 2,TFT,159 x 80.5 x 10 mm (6.26 x 3.17 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-55ei.jpg,,,"3.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~178 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),Black,HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 12 h (3G),Android 4.2.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2500 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~65.1% screen-to-body ratio)",,202 g (7.13 oz),"2014, May. Released 2014, July",Yezz Andy 5.5EI,,GSM / HSPA,Up to 580 h (2G) / Up to 400 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - SIM 1 or SIM 2,IPS LCD,133.4 x 67.2 x 9.2 mm (5.25 x 2.65 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-45m.jpg,,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDXC (dedicated slot),"Black, Blue, Red",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 11 h (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 1500 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",,142 g (5.01 oz),"2014, July. Released 2014, August",Yezz Andy 4.5M,,GSM / HSPA,Up to 635 h (2G) / Up to 385 h (3G),LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
eMMC 4.5,IPS LCD,135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-billy-47.jpg,,,"4.0, A2DP",Yes,Qualcomm MSM8212 Snapdragon 200 (28 nm),No,Dual SIM (Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Adreno 302,8GB 1GB RAM,microSDXC (dedicated slot),"White, Red, Blue",HSDPA 850 / 900 / 1900 / 2100 - SIM 1,,Up to 16 h (2G) / Up to 7 h 30 min (3G),Microsoft Windows Phone 8.1,Yes,2 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1780 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.7 inches, 60.9 cm2(~66.7% screen-to-body ratio)",,120 g (4.23 oz),"2014, May. Released 2014, July",Yezz Billy 4.7,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,Asahi Dragontrail Glass,"GPS, GLONASS",,,HSPA 42.2/5.76 Mbps
HSDPA 850 / 1900 - SIM 1 or SIM 2,TFT,123 x 64 x 10.7 mm (4.84 x 2.52 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4eih.jpg,- SIM 1 or SIM 2,,"3.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Red, Blue, Yellow",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~57.9% screen-to-body ratio)",,127 g (4.48 oz),"2014, May. Released 2014, July",Yezz Andy 4EI,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - SIM 1 or SIM 2,"LCD, 256K colors",115.5 x 62 x 12.5 mm (4.55 x 2.44 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35eh.jpg,- SIM 1 or SIM 2,,"3.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,Accelerometer,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",3.2 MP,,,,microUSB 2.0,Mali-400,512MB 256MB RAM,microSDXC (dedicated slot),"Black, White, Blue, Green, Fuschia",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 15 h (2G) / Up to 10 h (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",,115 g (4.06 oz),"2014, May. Released 2014, July",Yezz Andy 3.5EH,,GSM / HSPA,Up to 600 h (2G) / Up to 400 h (3G),LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - SIM 1 or SIM 2,"LCD, 256K colors",142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/andy-5EI.jpg,- SIM 1 or SIM 2,,"3.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Red, Blue, Green",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 7 h 30 min (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1550 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",,160 g (5.64 oz),"2014, May. Released 2014, July",Yezz Andy 5EI,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - SIM 1 or SIM 2,"LCD, 256K colors",115.5 x 62 x 12.5 mm (4.55 x 2.44 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35ei.jpg,HSDPA 850 / 2100 - SIM 1 or SIM 2,,"3.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Blue, Green, Orange",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 15 h (2G) / Up to 10 h (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",,115 g (4.06 oz),"2014, May. Released 2014, July",Yezz Andy 3.5EI,,GSM / HSPA,Up to 600 h (2G) / Up to 400 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 900 / 2100 - SIM 1 or SIM 2,IPS LCD,165 x 84 x 7.8 mm (6.50 x 3.31 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-6q.jpg,,,"3.0, A2DP",Yes,Mediatek MT6582 (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDXC (dedicated slot),"Black, Gun Metal, Gold, Platinum",HSDPA 850 / 1900 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 10 h 30 min (3G),"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 3000 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"6.0 inches, 99.2 cm2(~71.6% screen-to-body ratio)",,160 g (5.64 oz),"2014, May. Released 2014, June",Yezz Andy 6Q,,GSM / HSPA,Up to 700 h (2G) / Up to 500 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
GSM 850 / 900 / 1800 / 1900 - SIM 2,"TFT, 65K colors",106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/niu-c21.jpg,No,,2.1,No,,No,Dual SIM (Mini-SIM),,No,No,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB,,32Mb 32Mb RAM,microSDHC,"Red, Green, Blue, Purple, White, Gray, Black",,,Up to 4 h,,Yes,,,No,,,,Stereo FM radio,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",,73 g without battery (2.57 oz),"2014, March. Released 2014, April",Yezz Classic C21,,GSM,Up to 150 h,,Video playerMusic playerOrganizer,Up to 48 kbps,,No,No,,
HSDPA 900 / 2100 - SIM 1 or SIM 2,IPS LCD,144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a5qp.jpg,,,"3.0, A2DP",Yes,Mediatek MT6592 (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-450MP4,8GB 1GB RAM,microSDXC (dedicated slot),"White, Blue, Red",HSDPA 850 / 1900 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h 30 min (3G),"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,5 MP,,,Octa-core 1.7 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 1800 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)",,123 g (4.34 oz),"2014, February. Released 2014, April",Yezz Andy A5QP,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
